SIMILARITY,old english,english alice,english herbals,english trees,portuguese plants,portuguese cotton,portuguese french crustaceans,french flowers,occitan,latin plants,latin medical plants,spanish cuentos,italian concilio,german plants,german rice,norwegian,greek hamlet,hungarian,polish,serbian,russian,turkish
old english,1.0,0.8485573903881675,0.8316082984369163,0.8337233061358267,0.7056076994139013,0.7799748874365826,0.6402944812873599,0.8244089499050504,0.801810396090241,0.6392117479685923,0.7660277095680822,0.809512912343446,0.7953989017721538,0.7959602888098227,0.9039889960100504,0.8465108339434563,0.8131651415509947,0.8314518645392471,0.7299526546571864,0.8067015798150995,0.8472198133884029,0.7685809757488895
english alice,0.8485573903881675,1.0,0.8421902241331644,0.8765900933162168,0.7033269984104744,0.7954076737350534,0.676818613698458,0.81407884750822,0.7886184035329268,0.6208295769555016,0.7424528821856093,0.7590050643485282,0.8302057497265195,0.8362058902055535,0.82394629146818,0.8356357828121802,0.8297397786017655,0.8234810650620075,0.802884603223411,0.849851360192186,0.8708812788325546,0.7664265698124577
english herbals,0.8316082984369163,0.8421902241331644,1.0,0.8925451176488347,0.7914319233042965,0.8533982763326331,0.700132052623735,0.8900776045376995,0.7941019331488712,0.6331764729859559,0.7728115722639171,0.8982551073742052,0.8213513677538219,0.8502084017029465,0.8614272951301881,0.8560247548027745,0.8518115051354799,0.8360963058809207,0.8070349340851595,0.855839700029757,0.8709213223875706,0.7893547017149939
english trees,0.8337233061358267,0.8765900933162168,0.8925451176488347,1.0,0.762093895764385,0.8066710745755028,0.7162367975015298,0.84329223402033,0.8491525927601742,0.6652776572575502,0.7670317296066802,0.8634298625465427,0.8367384092990261,0.8756404377187618,0.8099489948235676,0.8357051383752778,0.8155582661512257,0.8703981426316449,0.762932222994622,0.8038805047920191,0.8641951402853805,0.7729943975377216
portuguese plants,0.7056076994139013,0.7033269984104744,0.7914319233042965,0.762093895764385,1.0,0.815653316590548,0.6882862225817883,0.8582943291077068,0.7382477574154075,0.5661789465810724,0.7716100806194317,0.8755758272384495,0.816591614997896,0.733998605365229,0.8196907921815011,0.8342123807313447,0.8074745467305203,0.8737370931464002,0.8199660293622306,0.8575064960519269,0.7403803686593625,0.8946100463635688
portuguese cotton,0.7799748874365826,0.7954076737350534,0.8533982763326331,0.8066710745755028,0.815653316590548,1.0,0.776040759133661,0.8215148082590507,0.786731058934249,0.6208016761362721,0.79125862477939,0.8568602354152067,0.8009394361260548,0.8012212110458675,0.8262548251593831,0.7996040995858484,0.8305213183267204,0.8425819807598396,0.8800170784641419,0.8441230413399974,0.8177462665911839,0.8102763974621912
portuguese french crustaceans,0.6402944812873599,0.676818613698458,0.700132052623735,0.7162367975015298,0.6882862225817883,0.776040759133661,1.0,0.6598930751373557,0.6261288839125503,0.7647534259603748,0.86863980716771,0.7025457900295388,0.7706803303881307,0.7796505324134302,0.689574547819527,0.7475040072986385,0.7494214586674832,0.7471965028200005,0.7366334111805802,0.7466361361527735,0.6253824833465738,0.7199697372842674
french flowers,0.8244089499050504,0.81407884750822,0.8900776045376995,0.84329223402033,0.8582943291077068,0.8215148082590507,0.6598930751373557,1.0,0.8552074128791775,0.6092887881717592,0.7501463145084293,0.867935372941062,0.8520430360717854,0.8122394709246827,0.8454900640728567,0.8781055315634957,0.8430833558137512,0.8715824830580317,0.8018941548615166,0.8609279457109169,0.8149830952905869,0.7839251296634024
occitan,0.801810396090241,0.7886184035329268,0.7941019331488712,0.8491525927601742,0.7382477574154075,0.786731058934249,0.6261288839125503,0.8552074128791775,1.0,0.6702306807393327,0.7558346891236862,0.7711823463121114,0.7840642759253024,0.8947074415126164,0.8297488220133858,0.8730730205892604,0.8698564936521924,0.7810549907639212,0.7117066922332296,0.8320986285211995,0.8143666534403323,0.782575045126642
latin plants,0.6392117479685923,0.6208295769555016,0.6331764729859559,0.6652776572575502,0.5661789465810724,0.6208016761362721,0.7647534259603748,0.6092887881717592,0.6702306807393327,1.0,0.7620349839692959,0.6254209989264402,0.6856921774149319,0.759743405198129,0.6092940907465542,0.6128762203928667,0.6405588831027521,0.7103111269349011,0.5669749637117085,0.6138286208880426,0.5726088966507528,0.6520520958680192
latin medical plants,0.7660277095680822,0.7424528821856093,0.7728115722639171,0.7670317296066802,0.7716100806194317,0.79125862477939,0.86863980716771,0.7501463145084293,0.7558346891236862,0.7620349839692959,1.0,0.7438518034410788,0.8281276212175971,0.8024960409670362,0.8214765982280984,0.7543961045407974,0.7907694835767815,0.8029326122006325,0.7622469533803397,0.8155191004614191,0.7900977372909913,0.8539000411536588
spanish cuentos,0.809512912343446,0.7590050643485282,0.8982551073742052,0.8634298625465427,0.8755758272384495,0.8568602354152067,0.7025457900295388,0.867935372941062,0.7711823463121114,0.6254209989264402,0.7438518034410788,1.0,0.8464745899058758,0.7995261584565724,0.8377475502304061,0.8855718691815375,0.8193590495999488,0.8305230950685855,0.843371196046963,0.8722947388456888,0.8143636219740825,0.8520907024916068
italian concilio,0.7953989017721538,0.8302057497265195,0.8213513677538219,0.8367384092990261,0.816591614997896,0.8009394361260548,0.7706803303881307,0.8520430360717854,0.7840642759253024,0.6856921774149319,0.8281276212175971,0.8464745899058758,1.0,0.8395607405186527,0.8497020823950864,0.8257634375107604,0.8142173291718017,0.8586608202096747,0.8266034512843121,0.8222860767582238,0.8446520059420675,0.7838176974341153
german plants,0.7959602888098227,0.8362058902055535,0.8502084017029465,0.8756404377187618,0.733998605365229,0.8012212110458675,0.7796505324134302,0.8122394709246827,0.8947074415126164,0.759743405198129,0.8024960409670362,0.7995261584565724,0.8395607405186527,1.0,0.810748871660577,0.8289138526537588,0.8560778818071884,0.8073739459420954,0.7770628716036898,0.8072621971074009,0.82075321132014,0.7787823679723979
german rice,0.9039889960100504,0.82394629146818,0.8614272951301881,0.8099489948235676,0.8196907921815011,0.8262548251593831,0.689574547819527,0.8454900640728567,0.8297488220133858,0.6092940907465542,0.8214765982280984,0.8377475502304061,0.8497020823950864,0.810748871660577,1.0,0.8611650540835574,0.858561416577308,0.8463625849427551,0.8094478003687775,0.9029351976738786,0.8725740796391263,0.84646079705345
norwegian,0.8465108339434563,0.8356357828121802,0.8560247548027745,0.8357051383752778,0.8342123807313447,0.7996040995858484,0.7475040072986385,0.8781055315634957,0.8730730205892604,0.6128762203928667,0.7543961045407974,0.8855718691815375,0.8257634375107604,0.8289138526537588,0.8611650540835574,1.0,0.85322955667698,0.85573126530723,0.7961264336440331,0.919435963129208,0.834014170548318,0.8562832345924605
