SIMILARITY,old english,english alice,english herbals,english trees,portuguese plants,portuguese cotton,portuguese french crustaceans,french flowers,occitan,latin plants,latin medical plants,spanish cuentos,italian concilio,german plants,german rice,norwegian,greek hamlet,hungarian,polish,serbian,russian,turkish,arabic,hebrew,Voynich,Voynich A,Voynich B
old english,1.0,0.8178879025082367,0.8448903786592034,0.8251735595478524,0.8135094129224781,0.7799748874365826,0.6034443774853452,0.8578643931137211,0.801810396090241,0.6233341496586314,0.8289682395342781,0.8491014961723389,0.8484958724412798,0.8152727137436656,0.8328572744737082,0.8385471832439955,0.8211550903700676,0.815127821236482,0.7299526546571865,0.8553376186995548,0.8472198133884029,0.7769846921781897,0.8339968266734984,0.8650941468009802,0.7975674905380886,0.8465209650556549,0.8942365641470632
english alice,0.8178879025082367,1.0,0.8363241215830896,0.8857968811402561,0.8968516509772233,0.9005157088963435,0.736243364343993,0.8758751702382995,0.8009413814321318,0.6470185814968309,0.7762771074803433,0.8114018013726398,0.830827771219267,0.8309398191973647,0.8296581927610402,0.8039060370026428,0.8161684795771387,0.8531176346194094,0.8328357458250591,0.8998359239573156,0.8310281765339645,0.808797626525915,0.8544567539165108,0.8547532704204333,0.8193408640897842,0.8098585064391454,0.8121487415118346
english herbals,0.8448903786592034,0.8363241215830896,1.0,0.8855252491426744,0.8264982798004235,0.8461274350179734,0.6716094517989505,0.8412927301884645,0.818805404071002,0.6324660195713387,0.7864196647690979,0.887322685684667,0.8649929017194984,0.8233603309088936,0.835595663279725,0.8170008718811559,0.8152156298368717,0.8160892949667629,0.8287524511192226,0.8559149916267899,0.8982960193377165,0.8085758823632524,0.8750179076859527,0.8264237015034593,0.765300297109288,0.8122470512744442,0.7970416967340083
english trees,0.8251735595478524,0.8857968811402561,0.8855252491426744,1.0,0.8298565818361385,0.8256377160302104,0.6175414405764781,0.8440709988407232,0.8595468588203307,0.6660639996763489,0.8099467755832891,0.8218152005592902,0.8544172276850543,0.8346278275503739,0.8375643375819123,0.7995056043604253,0.797521609692023,0.8276951377046261,0.7646619245152149,0.831132226784364,0.8298820353524939,0.7737134707556504,0.8425174209030124,0.8439198708838729,0.7662013189885769,0.812228384611017,0.8002487932351866
portuguese plants,0.8135094129224781,0.8968516509772233,0.8264982798004235,0.8298565818361385,0.9999999999999999,0.8518600546030077,0.7572649380817437,0.889563409534176,0.821228775964571,0.6120113861466115,0.8250502231704373,0.8413299375874792,0.8763965346777212,0.8161541915972242,0.838771190521184,0.8771549966330449,0.8417558948741657,0.8191944325359889,0.7925072738401503,0.895235155479734,0.8463600915646642,0.7691124894208945,0.865222867378989,0.8511877580758063,0.7963282249193689,0.8025502287266766,0.8244446307240528
portuguese cotton,0.7799748874365826,0.9005157088963435,0.8461274350179734,0.8256377160302104,0.8518600546030077,1.0,0.708438541911511,0.831296540561145,0.786731058934249,0.5897663450612058,0.7804056085505187,0.7632896179550975,0.7973007040403559,0.801959221212729,0.8026683502309361,0.7838478452519816,0.780840225229684,0.8475280307592058,0.8800170784641419,0.8902834705150633,0.8177462665911839,0.82791224056457,0.8455849237566779,0.7956112387357025,0.7828178835076804,0.7480761142168049,0.7902815219030498
portuguese french crustaceans,0.6034443774853452,0.736243364343993,0.6716094517989505,0.6175414405764781,0.7572649380817437,0.708438541911511,1.0,0.6406838099433716,0.6210102149477393,0.6311480223570199,0.7236693828390107,0.6024501157153113,0.6391232248696513,0.6676579185023008,0.6882827528512262,0.6268505252828805,0.6406067520814035,0.7206426843965332,0.6767325042474722,0.6728300152404403,0.6006578576526725,0.6792512889276278,0.692155416179699,0.6823544438912569,0.7280821454186287,0.6354300337168854,0.7568798295674547
french flowers,0.8578643931137211,0.8758751702382995,0.8412927301884645,0.8440709988407232,0.889563409534176,0.831296540561145,0.6406838099433716,1.0,0.861827975461308,0.5851841206182056,0.8177203595170677,0.8427429163461198,0.8591068511185964,0.8333462420037151,0.8554304433822472,0.8776659289232261,0.8555809593766134,0.8203275163545218,0.8070538844299376,0.9028736499276361,0.8925483369266372,0.7410706726772737,0.8554261641903114,0.8305376188158069,0.7334581415342553,0.8431960146017309,0.8079065560461833
occitan,0.801810396090241,0.8009413814321318,0.818805404071002,0.8595468588203307,0.821228775964571,0.786731058934249,0.6210102149477393,0.861827975461308,1.0,0.6400592068491557,0.8674338451392893,0.8029285842932545,0.8373210653256252,0.8784083040897583,0.8551897599104997,0.8469210126080773,0.8566505586590777,0.8153047654716967,0.7117066922332296,0.8232094668420257,0.8143666534403323,0.767108147711892,0.7795627877578879,0.830796903180633,0.7837286162553596,0.836844418823368,0.8050722299303865
latin plants,0.6233341496586314,0.6470185814968309,0.6324660195713387,0.6660639996763489,0.6120113861466115,0.5897663450612058,0.6311480223570199,0.5851841206182056,0.6400592068491557,1.0,0.7643644841871715,0.6292058733867448,0.5747828060492607,0.7240437233329423,0.6366718976261996,0.581332528202791,0.6404939898179831,0.652567703440867,0.5804686192360345,0.617787439055997,0.5676300345504643,0.6197880988482728,0.5318946929809257,0.7190128026123033,0.8084890661607181,0.7810846969181122,0.6935879732308033
