Class,CLASS756,CLASS792,CLASS808,CLASS892,CLASS997,CLASS1085,CLASS1988,CLASS2063,CLASS2073,CLASS2207,CLASS2215,CLASS2220,CLASS2265,CLASS2268,CLASS2333,CLASS2353,CLASS2385,CLASS2387,CLASS2409,CLASS2421,CLASS2425,CLASS2428,CLASS2429,CLASS2434,CLASS2436,CLASS2437,CLASS2443,CLASS2449,CLASS2453,CLASS2454,CLASS2458,CLASS2460,CLASS2461,CLASS2466,CLASS2467,CLASS2468,CLASS2479,CLASS2480,CLASS2482,CLASS2483,CLASS2484,CLASS2488,CLASS2489,CLASS2491,CLASS2492,CLASS2493,CLASS2494,CLASS2499,CLASS2500,CLASS2501,CLASS2502,CLASS2503,CLASS2506,CLASS2507,CLASS2509,CLASS2512,CLASS2513,CLASS2514,CLASS2515,CLASS2516,CLASS2518,CLASS2521,CLASS2522,CLASS2523,CLASS2524,CLASS2526,CLASS2527,CLASS2528,CLASS2530,CLASS2531,CLASS2532,CLASS2533,CLASS2535,CLASS2536,CLASS2537,CLASS2538,CLASS2539,CLASS2540,CLASS2544,CLASS2545,CLASS2546,CLASS2549,CLASS2550,CLASS2551,CLASS2552,CLASS2553,CLASS2554,CLASS2555,CLASS2556,CLASS2557,CLASS2558,CLASS2559,CLASS2560,CLASS2561,CLASS2562,CLASS2563,CLASS2564,CLASS2565,CLASS2566,CLASS2567
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.97032151690024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.622516556291394,0,0,0,0.591715976331361,0,0,0,0,0,0,0,0,0,0,0,0,0,30.584192439862544,0,0,0,0,0,0
CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.501945525291829,1.3333333333333335,0,0,0,0,0,0,0,0,2.1505376344086025,0,0,0,0,0,0,0,0,15.891472868217054,0,0,0,3.543307086614173,0,0,0,0,0,0,0,0
DT,0,0,0,99.15509957754979,0,0,0,97.83616692426584,4.924242424242424,8.02919708029197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8391959798995,0,0,0,0,9.554140127388536,0,0,0,0,37.41935483870968,0,0,0,0,0,0,0,0,54.49101796407185,0,0,0,0,0,13.77245508982036,0,0,0,63.32179930795848,0,32.21153846153847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.158054711246201,0,3.543307086614173,0,0,0,0,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.40764331210191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0050251256281406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,96.38009049773756,0,0,0,0,0,0,0,0,0,0,95.72490706319702,0,0,0,88.59060402684564,0,0,20.19704433497537,0,0,0,0,0,0,0,2.2988505747126435,0,0,0,0,0,5.263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,5.467372134038801,0,0,0,0,0,0,3.0502885408079146,0,0,64.80263157894737,0,5.88235294117647,1.4792899408284024,0,15.6,0,1.5,0,0,0,0,0,56.42570281124498,86.15107913669064,0,87.24137931034483,0,10.596026490066226,0,89.32038834951457,0.7168458781362007,0,0,0,0,0,0,0.9708737864077669,0,0.7751937984496124,0,0,26.94063926940639,38.188976377952756,0.7692307692307693,0,1.507537688442211,3.3802816901408446,1.238390092879257,26.153846153846157,0.9685230024213075,2.5830258302583027
JJ,0,0,0,0,0,0,2.2058823529411766,0,0,0,0,0,0,0,6.666666666666667,0,0,1.7964071856287425,1.532567049808429,1.477832512315271,5.7324840764331215,13.218390804597702,13.756613756613756,59.3984962406015,0,0,6.0402684563758395,13.218390804597702,8.629441624365482,9.268292682926829,0,15.333333333333332,8.641975308641975,30.0,0,1.2738853503184715,10.555555555555555,0.5357142857142857,24.91349480968858,0,0,0,3.4482758620689653,2.9850746268656714,51.09170305676856,5.381165919282512,2.127659574468085,8.112874779541446,76.95852534562212,4.191616766467066,0,1.0471204188481675,2.314814814814815,13.953488372093023,1.1541632316570487,21.55688622754491,0,0,9.345794392523365,0,4.142011834319527,0.9615384615384616,1.6,1.1976047904191618,1.0,0.6756756756756757,6.593406593406594,23.618090452261306,12.062256809338521,8.88888888888889,6.2248995983935735,0,13.937282229965156,0.6896551724137931,2.4615384615384617,1.3245033112582782,2.4752475247524752,0.6472491909385114,1.4336917562724014,0.2958579881656805,0.8163265306122449,4.4520547945205475,1.8604651162790697,12.46376811594203,10.893854748603351,5.825242718446602,7.886435331230284,17.441860465116278,0.7220216606498195,6.382978723404255,1.36986301369863,0.7874015748031495,5.230769230769231,0.6872852233676976,33.165829145728644,5.070422535211268,0,4.615384615384616,3.87409200968523,21.033210332103323
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3952095808383236,0,0,0,0,0,0,0,0,4.697986577181208,1.7241379310344827,0,0,0,0,0,0,0,0,0,0,1.0380622837370241,0,0,0,0,0,0,0,35.46099290780142,0,0,0,0,0,0,0,0.16488046166529266,0,5.1194539249146755,0,0,0,2.366863905325444,0,0,0,0,0,0,0,0.7782101167315175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.608695652173913,0,0,0.6309148264984227,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2738853503184715,0,0,0,0,0,8.724832214765101,0,0,0,0,0,0,0,0,0,0,0,2.422145328719723,0,0,0,0,0,0.8733624454148471,0,0,0,0,0,0,0,0.9259259259259258,0,0,0,0,0,0,0,0.591715976331361,0,0,0,0,0,0,0,0.7782101167315175,0,0,0,3.484320557491289,0,0,0,0,0.6472491909385114,0,0,0,0.684931506849315,0,0,0.5586592178770949,0,0,0,0,0,0,0,0,0,0,0.5633802816901409,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.029411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.289940828402367,35.51020408163265,0,0,0,0,0,0,0,0,0,0,0,0,24.054982817869416,0,0,0,0,6.2953995157385,0
