Class,a,CLASS1358,CLASS2140,CLASS2276,CLASS2383,CLASS2425,CLASS2492,CLASS2502,CLASS2549,CLASS2552,CLASS2571,CLASS2572,CLASS2573,CLASS2575,CLASS2581,CLASS2588,CLASS2593,CLASS2596,CLASS2597,CLASS2599,CLASS2600,CLASS2602,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2611,CLASS2613,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2619,CLASS2620,CLASS2621,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627
CC,0,0,0,0,0,0,0,0,0.997506234413965,0,0,0,0,0,0,0,0,0,2.2774327122153206,0,0,0,0,0,0,0,74.94089834515366,0,0,0,0,0,0,0,0,18.406889128094726,0,0,0,0
CD,0,0,0,0,0,1.3953488372093024,0,0,0,0,0,0,0,0,0,1.7241379310344827,0,0,0,0,0,0.3194888178913738,0,0,0,0,0,3.5891089108910887,0,0,1.2693935119887165,0,3.976721629485936,7.703703703703704,0,0,0,0,0,0
DT,100.0,99.63614311704063,0,0,0,0,0,0,0,0,0,0,0,6.434316353887399,0,25.862068965517242,0,0,3.1055900621118013,0,0,0,0,2.2556390977443606,0,0,0,0,0,0,0,0,0,12.814814814814815,0,0.9687836383207751,17.496807151979567,0,0,0
EX,0,0,0,0,0,0,0,0,18.952618453865338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2152852529601722,0,0,0,0
IN,0,0,0,0,0,85.81395348837209,0,94.56342668863262,0,84.63476070528966,0,0.33444816053511706,0,22.78820375335121,2.93398533007335,0.7662835249042145,1.3062409288824384,4.901960784313726,0,67.89808917197452,0,0.7454739084132056,0,0,2.7739251040221915,0.5675368898978433,2.52167060677699,2.2277227722772275,80.47016274864376,0,54.01974612129761,0,0,5.407407407407407,9.352517985611511,1.2917115177610334,1.9157088122605364,0.4646840148698885,0.3870967741935484,0
JJ,0,0,0,0,0,0.9302325581395349,0,0,0,0,0.2688172043010753,10.200668896321071,1.9464720194647203,12.868632707774799,2.2004889975550124,0.7662835249042145,28.737300435413644,1.9607843137254901,0.8281573498964804,0,30.0,14.057507987220447,5.807365439093484,1.2030075187969926,11.927877947295423,19.182746878547103,0,19.925742574257427,0.7233273056057866,9.204545454545453,0.5641748942172073,2.101769911504425,12.318137730358874,4.222222222222222,0.8633093525179856,2.906350914962325,0.2554278416347382,17.750929368029738,1.4193548387096775,0
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9803921568627451,0,0,0,0.3194888178913738,0.28328611898017,0.30075187969924816,0,0,0,0.3712871287128713,0,0,0,1.6592920353982303,1.5518913676042678,4.296296296296296,0,0,0,0.18587360594795538,0,0
JJS,0,0,0,0,0,0,0,0,0,0,0,0.5016722408026756,0,0,0,0,0.29027576197387517,0,0,0,0,0,0.56657223796034,0,0,0,0,0,0,0.22727272727272727,0,0,0.7759456838021339,0,0,1.5069967707212055,0,1.3940520446096654,0,0
MD,0,0,0,0,3.3678756476683938,0,0,0,0,0,0,0,0,0,0,0,0,8.823529411764707,0,0,0,0,0,19.398496240601503,0,0,0,0,0,0,0,1.5486725663716814,0,0,0,0,0,1.3940520446096654,21.806451612903228,0
NN,0,0,0,0.7017543859649122,0,0.46511627906976744,4.112554112554113,0,0.997506234413965,3.5264483627204033,0.8064516129032258,17.05685618729097,2.67639902676399,0.5361930294906166,6.112469437652812,8.620689655172415,30.18867924528302,8.088235294117647,13.043478260869565,1.1464968152866242,35.11111111111111,45.260915867944625,42.20963172804532,3.308270676691729,14.701803051317613,34.0522133938706,0.5516154452324665,36.757425742574256,0.9041591320072333,29.204545454545457,2.3977433004231314,7.1902654867256635,23.47235693501455,13.333333333333334,4.460431654676259,8.073196986006458,2.7458492975734354,38.38289962825279,8.516129032258064,0.6067961165048543
