Class,a,CLASS355,CLASS1220,CLASS1776,CLASS2333,CLASS2439,CLASS2499,CLASS2513,CLASS2515,CLASS2531,CLASS2540,CLASS2550,CLASS2553,CLASS2554,CLASS2558,CLASS2561,CLASS2566,CLASS2567,CLASS2571,CLASS2573,CLASS2574,CLASS2576,CLASS2577,CLASS2580,CLASS2581,CLASS2582,CLASS2584,CLASS2588,CLASS2591,CLASS2592,CLASS2594,CLASS2595,CLASS2596,CLASS2598,CLASS2600,CLASS2601,CLASS2602,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2611,CLASS2613,CLASS2614,CLASS2615,CLASS2616,CLASS2617
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0470914127423825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.130434782608695,0,0,0,0,0,8.855291576673865,0,0,0,50.02865329512895,0,0,0,0
CD,0,0,0,0,0,0,0,0,1.69971671388102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.487341772151899,0,0,0,0,0,4.289940828402367,0,0,0,0,0,0,0,0,0.9249743062692704,0,0,0,1.1306532663316584,0,0,0,9.99039385206532,0.4838709677419355,0
DT,100.0,0,0,0,0,0,4.573170731707317,0,0,0,90.48387096774194,0,0,4.207119741100324,0,0,0,0,34.61538461538461,0,19.661016949152543,0,0,0,3.6392405063291138,8.981001727115718,0,0,0,0,0,0,0,0,0,0,2.8469750889679712,0,13.602391629297458,18.80781089414183,0,0,0,0,0,0.6303724928366762,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.207343412526997,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554016620498615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,98.66310160427807,0,0,0,82.01219512195121,0,0,0.6329113924050633,0,0,60.94276094276094,0,1.006711409395973,17.451523545706372,2.745995423340961,0,0,2.6476578411405294,0,7.017543859649122,0,0,0,0,0,9.424920127795527,0.5657708628005658,1.8018018018018018,3.698224852071006,0,26.495726495726498,0,0,0,38.19691577698695,0,17.040358744394617,33.401849948612536,84.55790784557908,0,52.68817204301075,0.5025125628140703,0,9.799426934097422,0,0.6724303554274735,0.6451612903225806,0.8680555555555556
JJ,0,0,0,0.4796163069544364,0,0,1.524390243902439,1.3059701492537312,2.26628895184136,24.050632911392405,0.6989247311827957,28.915662650602407,2.0202020202020203,9.06148867313916,10.738255033557047,3.8781163434903045,1.3729977116704806,10.766045548654244,11.282051282051283,3.054989816700611,0.6779661016949152,3.7280701754385963,5.7915057915057915,14.85148514851485,0.31645569620253167,5.008635578583765,0.9779951100244498,0.3194888178913738,21.4992927864215,1.8018018018018018,3.4023668639053253,0,1.282051282051282,38.85480572597137,4.797979797979798,0,3.3214709371292996,13.14655172413793,1.9431988041853512,0.7194244604316548,0.24906600249066002,1.2958963282937366,3.870967741935484,7.160804020100503,10.02710027100271,0.17191977077363896,17.435897435897434,7.877041306436119,25.161290322580644,1.7361111111111112
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1055900621118013,0,11.405295315682281,0,0,0,0,0,0,0,0,1.1315417256011315,0,0.7396449704142012,0,0,0,0,0,0.4744958481613286,0,0,0.513874614594039,0,0.32397408207343414,0,0.5025125628140703,0.40650406504065045,0,0.2564102564102564,0,0,0
JJS,0,0,0,0,0,0,0,0,0.56657223796034,0.6329113924050633,0,3.91566265060241,0,0,0,0,0,0.4140786749482402,0,0,0,0,0,0,0,0.3454231433506045,0,0,0,0,0.591715976331361,0,0.641025641025641,2.8629856850715747,0,0,0,0.43103448275862066,0,0,0,0,0,0.5025125628140703,0,0,0,0,0,0
MD,0,0,0,0,0,1.7857142857142856,0,0,0,4.746835443037975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.044728434504794,0,0,0,18.055555555555554,0,0,0,0,3.084223013048636,0,5.082212257100149,0,0,0,0,0,0,4.813753581661891,0,0,0,0
NN,0,0,0,1.1990407673860912,0.4987531172069825,0.25510204081632654,1.8292682926829267,0.7462686567164178,3.39943342776204,13.291139240506327,0.3763440860215054,29.819277108433734,7.4074074074074066,21.035598705501616,31.879194630872483,4.7091412742382275,7.322654462242563,31.88405797101449,2.564102564102564,0.40733197556008144,6.779661016949152,6.798245614035088,10.424710424710424,22.277227722772277,1.1075949367088607,36.96027633851468,5.378973105134474,7.987220447284344,36.06789250353607,5.9459459459459465,51.03550295857988,3.2407407407407405,11.11111111111111,29.447852760736197,35.35353535353536,14.187643020594965,10.438908659549229,43.31896551724138,0.7473841554559043,5.0359712230215825,0.49813200498132004,2.0518358531317493,1.935483870967742,27.889447236180903,25.474254742547426,0.28653295128939826,23.333333333333332,15.369836695485112,44.83870967741935,6.944444444444445
NNP,0,0,0.8021390374331552,0,0.4987531172069825,0,1.524390243902439,0.7462686567164178,0,2.2151898734177213,0,15.66265060240964,0.6734006734006733,2.5889967637540456,1.342281879194631,13.573407202216067,0.9153318077803204,18.219461697722565,0.5128205128205128,0.40733197556008144,4.745762711864407,2.1929824561403506,4.247104247104247,9.653465346534654,64.87341772151899,2.072538860103627,0.9779951100244498,0.6389776357827476,17.68033946251768,0.36036036036036034,6.952662721893491,1.1574074074074074,2.9914529914529915,2.044989775051125,1.7676767676767675,10.755148741418765,1.542111506524318,7.758620689655173,8.221225710014949,1.1305241521068858,0,1.079913606911447,0,10.301507537688442,20.867208672086722,3.7822349570200573,22.564102564102566,7.300672430355427,3.225806451612903,0.3472222222222222
NNPS,0,0,0,0,0,0,0,0,0,0,0,0.6024096385542169,0,0,0,0,0.4576659038901602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408997955010225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNS,0,0,0,0,0,0,0,0.3731343283582089,0,1.2658227848101267,0,4.819277108433735,0,2.26537216828479,0,1.9390581717451523,0.9153318077803204,9.730848861283643,0,3.2586558044806515,0,5.0438596491228065,2.5096525096525095,5.9405940594059405,1.89873417721519,12.089810017271157,6.112469437652812,1.1182108626198082,4.9504950495049505,2.5225225225225225,12.42603550295858,0,4.487179487179487,9.202453987730062,11.868686868686869,0.6864988558352403,6.049822064056939,6.25,0,3.0832476875642345,0,0.21598272138228944,3.010752688172043,3.7688442211055273,7.723577235772358,0.1146131805157593,9.230769230769232,1.0566762728146013,7.741935483870968,2.7777777777777777
PRP,0,99.63235294117648,0,97.12230215827337,91.2718204488778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.91525423728814,0.43859649122807015,1.5444015444015444,2.722772277227723,0,0,16.87041564792176,0,0,0,0,0,17.94871794871795,0,0,0,0.4744958481613286,3.2327586206896552,0,0,0,0,1.5053763440860215,0.25125628140703515,0,6.934097421203439,0,50.816522574447646,0,25.694444444444443
PRP$,0,0,0,0,0,0,0,0,0,0,6.505376344086021,0,0,48.54368932038835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.164424514200299,0,0,0,0,0,0,0,0,0,0,43.22916666666667
RB,0,0,0,1.1990407673860912,1.99501246882793,0,0,8.582089552238806,17.280453257790366,6.329113924050633,0.4838709677419355,1.2048192771084338,0,0.6472491909385114,52.348993288590606,7.202216066481995,39.816933638443935,5.590062111801243,7.179487179487179,13.64562118126273,2.3728813559322033,1.0964912280701753,34.16988416988417,27.475247524752476,19.303797468354432,0.8635578583765112,8.06845965770171,2.8753993610223643,6.789250353606789,5.225225225225225,3.8461538461538463,0.6944444444444444,0,5.316973415132924,18.68686868686869,25.171624713958813,10.438908659549229,10.775862068965516,11.360239162929746,6.885919835560124,0.37359900373599003,0.5399568034557235,2.1505376344086025,11.055276381909549,4.200542005420054,1.489971346704871,9.743589743589745,1.921229586935639,5.0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2958579881656805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3225806451612903,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9396551724137931,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.379965457685664,18.09290953545232,0,0,0,0,0,0,0,0,0,0,0,0,10.585817060637206,0,0,0,0,13.550135501355012,0,0,0,0,0
TO,0,0,0,0,0,93.11224489795919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.203661327231121,0,0,0,0,0,0,0,0,0,0,0,0.7072135785007072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
