Class,CLASS2643,CLASS2646,CLASS2648,CLASS2649,CLASS2651,CLASS2652,CLASS2653,CLASS2655,CLASS2656,CLASS2657,,Focus
CC,0,0,0,0,1.5081206496519721,0,0,0,0,26.395812562313058,,94.14813167532822
CD,0,0,0,3.0356100408639812,1.411446249033256,0,0,0.3557312252964427,0.2584721424468696,0.14955134596211367,,59.69280090480545
DT,0.6684491978609626,0,0,76.50321074138937,0.4447022428460944,0,0,0.592885375494071,7.093624353819644,0,,88.90556758668609
EX,0,0,0,0,0,0,0,3.0039525691699605,0,0,,100.0
FW,0,0,0.10325245224574084,0,0,0,0,0,0,0,,100.0
IN,86.31907308377896,0,0.20650490449148168,0,0,0,1.6989145823501652,11.106719367588932,7.524411257897761,13.010967098703889,,70.16598415256905
JJ,2.272727272727273,1.4199655765920827,10.635002581311307,0,18.65815931941222,3.2942238267148016,0.8966493629070316,3.517786561264822,4.192992533026995,0.6729810568295114,,40.26619294076138
JJR,0,0.6454388984509466,0.10325245224574084,0,0.42536736272235115,0,0,0,1.8954623779437105,0,,61.991918552275195
JJS,0,0,0.20650490449148168,0,0.6187161639597835,0,0,0,0.2871912693854107,0.049850448654037885,,55.5625833158657
MD,0,12.736660929432015,0,0,0,0.6768953068592057,3.6809815950920246,0,0,0,,74.76389152788363
NN,0.4456327985739751,3.657487091222031,45.22457408363449,0.2626970227670753,37.18097447795824,2.9332129963898916,1.0854176498348278,2.2529644268774702,10.798391728891442,3.3649052841475577,,48.51658041388542
NNP,0.4010695187165776,0.30120481927710846,1.7036654620547238,0,16.647331786542924,0.4963898916967509,0.18876828692779613,15.65217391304348,3.4462952326249283,6.580259222333002,,44.912221922090175
NNPS,0,0,0,0,0.11600928074245939,0,0,0,0,0,,100.0
NNS,0.5793226381461676,1.2478485370051635,9.757356737222509,0.08756567425569177,8.217324052590874,0.947653429602888,0.9438414346389806,0.11857707509881424,4.5376220562894884,0.6729810568295114,,41.51107124675406
PRP,0,0,0,2.4518388791593697,0,36.55234657039711,0,52.29249011857707,7.409534750143595,0,,60.00470329591791
PRP$,0,0,0,16.90017513134851,0.17401392111368907,0,0,0,0,0,,98.87278396112073
RB,0.267379679144385,7.74526678141136,16.00413009808983,0,4.273008507347254,18.366425992779785,1.0854176498348278,6.007905138339921,5.973578403216543,12.238285144566301,,28.42868933307309
RBR,0,0,0,0,0,0.09025270758122744,0,0,0.05743825387708214,0,,68.69276948120843
RBS,0,0,0,0,0.17401392111368907,0,0,0,0,0,,100.0
RP,0,0,0,0,2.2815158546017016,0,0,0,7.9551981619758765,0,,78.42871082384832
TO,0,31.411359724612737,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0.4735792622133599,,100.0
VB,0.7130124777183601,14.500860585197934,0.46463603510583373,0,0.36736272235112144,0.9025270758122743,0.4719207173194903,0,20.850086157380815,2.4925224327018944,,57.06304242666609
VBD,2.5846702317290555,1.2048192771084338,7.072792978833248,0,1.0440835266821344,5.324909747292419,74.13874469089194,0,4.164273406088455,15.403788634097706,,64.49952723220919
VBG,2.5401069518716577,0.9466437177280551,2.1166752710376873,0.4086398131932283,0.908739365815932,10.920577617328519,3.4922133081642284,0.07905138339920949,9.304997128087306,0.5982053838484547,,38.84122529279249
VBN,1.7825311942959003,0.387263339070568,1.4455343314403717,0,1.1407579273008508,10.559566787003611,1.132609721566777,0,2.2400919012062035,0,,53.38964709730849
VBP,0.7130124777183601,14.802065404475043,0.2581311306143521,0,0.058004640371229696,1.3989169675090252,0.5191127890514393,0,0.31591039632395174,0.3489531405782652,,78.53450524180029
VBZ,0.35650623885918004,0.08605851979345956,1.1357769747031492,0,0.19334880123743234,1.6245487364620936,8.400188768286927,0.15810276679841898,0.17231476163124643,0,,67.33688887758251
WDT,0,0,0.20650490449148168,0,0,0,0,1.9762845849802373,0,0,,89.98077871165457
WP,0,0,0,0,0,0,0,2.411067193675889,0,3.414755732801595,,67.89212566133558
WP$,0,0,0.15487867836861124,0,0,0,0,0,0,0,,100.0
WRB,0,0.08605851979345956,0,0,0,0,0,0,0,5.084745762711865,,98.16469555176938

Focus,86.3805398520873,42.16914350949362,50.47443323912423,78.06653959834473,45.66890621192785,44.74854321678391,75.845250493926,54.976222689124,27.609379917142117,37.54452328759139

Adjective,2.272727272727273,2.0654044750430294,10.944759938048529,0,19.702242846094354,3.2942238267148016,0.8966493629070316,3.517786561264822,6.375646180356116,0.7228315054835492,,38.72814740827118
Adverb,0.267379679144385,7.831325301204819,16.00413009808983,0,4.447022428460943,18.456678700361014,1.0854176498348278,6.007905138339921,6.031016657093625,17.323030907278167,,28.926739526780743
Conjunction,0,0,0,0,1.5081206496519721,0,0,0,0,26.395812562313058,,94.14813167532822
Determiner,0.6684491978609626,0,0.20650490449148168,76.50321074138937,0.4447022428460944,0,0,2.5691699604743086,7.093624353819644,0,,86.42382432587613
GrammarOther,0,12.736660929432015,0,0,2.2815158546017016,0.6768953068592057,3.6809815950920246,3.0039525691699605,7.9551981619758765,0,,44.18923797279005
Noun,1.4260249554367204,5.206540447504303,56.68559628291172,0.3502626970227671,62.1616395978345,4.377256317689531,2.2180273714016048,18.023715415019762,18.782309017805858,10.61814556331007,,40.122864547271305
Other,0,0,0.10325245224574084,3.0356100408639812,1.411446249033256,0,0,0.3557312252964427,0.2584721424468696,0.6231306081754735,,52.94177948956472
Preposition,86.31907308377896,31.411359724612737,0.20650490449148168,0,0,0,1.6989145823501652,11.106719367588932,7.524411257897761,13.010967098703889,,56.18297044397288
Pronoun,0,0,0.15487867836861124,19.35201401050788,0.17401392111368907,36.55234657039711,0,54.70355731225296,7.409534750143595,3.414755732801595,,49.63364648350636
Verb,8.689839572192515,31.927710843373497,12.493546721734642,0.4086398131932283,3.712296983758701,30.73104693140794,88.1547899952808,0.23715415019762848,37.04767375071798,18.84346959122632,,36.065933749878376

Focus,85.55843593616733,43.71130952306467,57.7078414339244,76.5990057355213,63.91142873601851,47.084505520345274,89.19458246445437,53.10844664292523,34.811833078853766,33.172688292116916

