Class,CLASS2634,CLASS2643,CLASS2644,CLASS2646,CLASS2647,CLASS2649,CLASS2651,CLASS2653,CLASS2654,CLASS2655,CLASS2656,,Focus
CC,0,0,0,55.64657694558222,0,0,8.408679927667269,0,0,0,0,,86.5512727457811
CD,0,0,0,0,0,7.646474677259185,0.27124773960216997,0.24509803921568626,0.6138865368331922,0.0925925925925926,0,,85.1381428326883
DT,0,95.16908212560386,0,0,0,2.234359483614697,0,2.886710239651416,0.23285351397121082,0,5.5,,88.91437276955281
EX,0,0,0,0,0,0,0,2.0697167755991286,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0.04233700254022015,0,0,,100.0
IN,0,0,0,36.044470450555885,2.4955436720142603,4.915590863952334,8.860759493670885,0.054466230936819175,0,0.2777777777777778,57.72222222222222,,57.273224586083394
JJ,9.474260679079956,1.26347082868822,13.103778096604495,0.17554125219426564,1.3666072489601901,3.128103277060576,1.2206148282097649,0.789760348583878,19.34801016088061,0.0925925925925926,1.8333333333333333,,41.03496798220397
JJR,0,0,0.1434720229555237,0,0,0,0,0.10893246187363835,1.5029635901778153,0.8333333333333334,0,,62.45834511463638
JJS,0,0.37160906726124115,0.19129603060736491,0.11702750146284377,0,0,0,0,0.6773920406435224,0,0,,53.52095666371615
MD,0.8214676889375685,0,0,0,0,0,0,0,0,11.54320987654321,0,,92.92738040706581
NN,6.407447973713033,0.8918617614269788,45.67192730750837,1.7554125219426564,7.308377896613191,12.065541211519365,2.3508137432188065,3.376906318082789,37.02370872142252,2.4074074074074074,1.7777777777777777,,42.40336719157486
NNP,0.49288061336254113,0.11148272017837235,2.4868483978957436,0.3510825043885313,3.7433155080213902,2.5819265143992056,3.842676311030741,15.441176470588236,17.527519051651144,0.7716049382716049,0.4166666666666667,,42.857354236295805
NNPS,0,0,0,0,0,0,0,0,0.0846740050804403,0.06172839506172839,0,,68.08159194401665
