Class,CLASS2605,CLASS2636,CLASS2639,CLASS2642,CLASS2645,CLASS2647,CLASS2648,CLASS2649,CLASS2650,CLASS2653,CLASS2654,CLASS2655,,Focus
CC,0,0,0,0,0,0,0,0,0,0,23.9873417721519,0,,100.0
CD,0,3.342245989304813,0,0,0,7.318789584799437,0.1364256480218281,0,0,0.753442452585087,0.12658227848101267,0.27803521779425394,,63.902472224100926
DT,98.6522911051213,15.775401069518717,0,0,0.6651884700665188,50.879662209711476,0,0,0,0.28578851649779163,1.9198312236286919,0.46339202965708987,,62.5635511192581
EX,0,0,0,0,0,0,0,0,0,0,0,2.3478529502625887,,100.0
FW,0,0,0.12658227848101267,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0.9358288770053476,0.25316455696202533,0.35246727089627394,87.27272727272727,0,0,12.695840086439764,0.13364517206815904,0,17.046413502109704,0.06178560395427865,,73.0291308450123
JJ,0,7.620320855614973,0.12658227848101267,1.1581067472306144,2.7494456762749446,0,1.6371077762619373,6.537007023230686,23.58837287003007,11.145752143413874,2.3628691983122363,0.1235712079085573,,42.04585061012233
JJR,0,4.411764705882353,0,0,0,0,1.227830832196453,0,0.10023387905111927,0.18186541958950378,0,0.06178560395427865,,74.13009129465897
JJS,0,0.6684491978609626,0,0,0,0,0,0,0.13364517206815904,0.831384775266303,0.04219409282700422,0,,59.90524417163273
MD,0,0,0,0,0,0,17.007730786721236,0.8103727714748784,0,0,0,0,,95.14637379605287
NN,0.48517520215633425,13.23529411764706,1.3291139240506329,6.294058408862034,0.3547671840354767,0,1.409731696225557,7.023230686115613,37.42064817908453,44.34918160561185,2.890295358649789,2.255174544331171,,44.681374320503416
NNP,0,3.6764705882352944,0.12658227848101267,3.6757301107754277,0.5764966740576497,0,0.22737608003638018,0.37817396002160997,2.5392582692950216,21.92777344764874,3.9451476793248945,13.685511275872722,,46.14977957961655
NNPS,0,0,0,0,0,0,0,0,0,0.1558846453624318,0,0,,100.0
NNS,0.16172506738544476,7.954545454545454,1.5189873417721518,3.2225579053373616,0.5764966740576497,0,0,1.3506212857914641,6.715669896424991,10.44427123928293,0.7383966244725738,0.06178560395427865,,38.21357133862817
PRP,0,15.775401069518717,0,5.337361530715005,0,0,0,0.4321988114532685,0,0,0,65.64720420142108,,75.3200540372036
PRP$,0,0,0,0,0,40.74595355383533,0,0,0,0.23382696804364772,0,0,,99.3791615310471
RB,0,5.347593582887701,2.151898734177215,8.610271903323262,0.4434589800443459,0,8.185538881309688,12.965964343598054,16.90611426662212,1.1431540659911665,15.400843881856542,0.09267840593141798,,30.889199784208536
RBR,0,0.1336898395721925,0,0,0,0,0,0.10804970286331712,0,0,0,0,,67.8735379857438
RBS,0,0,0,0,0,0,0,0,0,0.23382696804364772,0,0,,100.0
RP,0,0,0,0,0,0,0,21.339816315505132,0,0,0,0,,100.0
TO,0,0,0,0,0,0,33.19690768531151,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0.10548523206751054,0.4324992276799506,,80.9988308387475
VB,0,1.0026737967914439,1.0126582278481013,52.467270896273924,0.8869179600886918,0,3.0468394724874943,0.9184224743381956,0.4343468092215168,0.46765393608729544,0.5063291139240507,0.15446400988569664,,85.02223070618804
VBD,0,2.0053475935828877,79.30379746835443,5.287009063444108,1.6851441241685146,0,11.732605729877218,5.024311183144246,4.076177748078851,1.1171732917640946,16.60337552742616,0,,60.735795325456685
VBG,0.5929919137466307,11.163101604278076,7.468354430379747,1.9133937562940584,2.261640798226164,0.211118930330753,0.4092769440654843,16.423554835224202,2.0380888740394254,1.0392309690828787,0.8649789029535865,0.1235712079085573,,40.66987915781169
VBN,0,2.473262032085562,2.088607594936709,5.236656596173213,0.975609756097561,0,0.3183265120509322,8.103727714748784,1.8376211159371867,1.1171732917640946,0.29535864978902954,0.2162496138399753,,37.6073435124251
VBP,0,0.4679144385026738,0.8227848101265823,5.186304128902316,0.6208425720620843,0,11.641655297862664,1.7828200972447326,0.10023387905111927,0.0779423226812159,0,0.09267840593141798,,57.466044890510204
VBZ,0,0.267379679144385,1.6455696202531647,0,0.4434589800443459,0,0,1.6747703943814154,0.968927497494153,0.2598077422707197,3.2911392405063293,0,,41.46708720265557
WDT,0,0,0,0,0,0,0,0,0.13364517206815904,0,0,1.5446400988569662,,91.65658543327277
WP,0,0,0,0,0,0,0,0,0,0,2.890295358649789,1.8844609206054992,,69.19181172714232
WP$,0,0,0,0,0,0,0,0,0.10023387905111927,0,0,0,,100.0
WRB,0,0,0,0,0,0,0.09095043201455207,0,0,0,4.30379746835443,0,,97.76406156611837

Focus,98.72820252276021,29.035248402872043,80.8523039517834,53.81968493237217,87.45838027124536,64.99374134040215,43.95482829155385,32.788661979377984,47.43080034343413,52.340873289036175,36.1047676414273,74.25477029253018

Adjective,0,12.700534759358288,0.12658227848101267,1.1581067472306144,2.7494456762749446,0,2.8649386084583903,6.537007023230686,23.822251921149352,12.159002338269682,2.4050632911392404,0.18535681186283595,,39.31918473595582
Adverb,0,5.481283422459893,2.151898734177215,8.610271903323262,0.4434589800443459,0,8.27648931332424,13.074014046461372,16.90611426662212,1.3769810340348143,19.70464135021097,0.09267840593141798,,31.933724751400888
Conjunction,0,0,0,0,0,0,0,0,0,0,23.9873417721519,0,,100.0
Determiner,98.6522911051213,15.775401069518717,0,0,0.6651884700665188,50.879662209711476,0,0,0.13364517206815904,0.28578851649779163,1.9198312236286919,2.008032128514056,,61.81467316153446
GrammarOther,0,0,0,0,0,0,17.007730786721236,22.15018908698001,0,0,0,2.3478529502625887,,63.75305534290072
Noun,0.646900269541779,24.86631016042781,2.9746835443037973,13.192346424974822,1.507760532150776,0,1.6371077762619373,8.752025931928687,46.67557634480454,76.87711093790595,7.5738396624472575,16.00247142415817,,40.068500218811344
Other,0,3.342245989304813,0.12658227848101267,0,0,7.318789584799437,0.1364256480218281,0,0,0.753442452585087,0.2320675105485232,0.7105344454742045,,60.03772467611027
Preposition,0,0.9358288770053476,0.25316455696202533,0.35246727089627394,87.27272727272727,0,33.19690768531151,12.695840086439764,0.13364517206815904,0,17.046413502109704,0.06178560395427865,,58.517736470043424
Pronoun,0,15.775401069518717,0,5.337361530715005,0,40.74595355383533,0,0.4321988114532685,0.10023387905111927,0.23382696804364772,2.890295358649789,67.53166512202658,,55.685490753459476
Verb,0.5929919137466307,17.379679144385026,92.34177215189874,70.09063444108763,6.873614190687362,0.211118930330753,27.148703956343795,33.92760669908158,9.455395923822254,4.078981553650299,21.561181434599156,0.5869632375656472,,35.84397187127616

Focus,98.62423833399762,28.86899837568605,93.67394327251687,69.31425870803713,86.60042050567847,61.247961488133576,43.581938098138984,36.499070848324294,50.57418410377944,79.0677307906341,31.52657280889545,74.7024182408863

