Class,CLASS2576,CLASS2631,CLASS2639,CLASS2641,CLASS2643,CLASS2645,CLASS2647,CLASS2648,CLASS2649,CLASS2651,CLASS2652,CLASS2653,CLASS2654,,Focus
CC,4.0020523345305286,11.690046760187041,0,0,0,0,45.35659312467932,0,0,0,0,0,0,,74.76831934996366
CD,0,0,0,0,4.915730337078652,0.27666769136181985,0.3078501795792714,0,0,0,3.837638376383764,0,0.34782608695652173,,60.758319092935984
DT,95.89533093894305,0,0,55.14758819294456,0,1.1988933292345527,0,0,0.6729475100942126,0,0.33210332103321033,0,6.463768115942028,,66.20070474158818
EX,0,0,0,0,0,0,0,0,3.4096007178106778,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0.0768344218209758,0,,100.0
IN,0,29.392117568470272,0,0,0,7.531509375960652,3.950743971267317,0.4083484573502722,0,63.27120822622108,0,0,8.753623188405797,,58.304719965252325
JJ,0,0.4008016032064128,1.831069108092144,0,8.497191011235955,3.9348293882569934,0,0.18148820326678766,3.9030955585464335,1.9280205655526992,12.952029520295202,28.73607376104495,2.1159420289855073,,45.322326345919414
JJR,0,0,1.5948021264028351,0,0.2808988764044944,2.1211189671072854,0,0,0,0,0.11070110701107011,0.0768344218209758,0,,59.868113825421666
JJS,0,0.13360053440213762,0,0,0.49157303370786515,0,0,0,0,0,0.9225092250922509,0.1536688436419516,0.2898550724637681,,49.95013750259495
MD,0,0,17.48375664500886,0,0,0.46111281893636646,0,3.539019963702359,0,0,0,0,0,,81.48840786848825
NN,0,5.210420841683367,4.90253987005316,0.6479481641468683,30.89887640449438,8.422994159237627,0.1539250897896357,1.043557168784029,1.2113055181695829,0.3856041131105398,45.1660516605166,41.75950825970035,8.666666666666668,,39.9245252829837
NNP,0,11.289245156980627,1.3585351447135263,0,40.02808988764045,3.9655702428527513,0.7183170856849667,0.09074410163339383,0.1794526693584567,0.28920308483290486,9.85239852398524,1.536688436419516,13.855072463768117,,48.59008675143929
NNPS,0,0,0,0,0.1404494382022472,0,0,0,0,0,0.14760147601476015,0,0,,67.72497778602809
NNS,0,0.33400133600534404,0,0.6479481641468683,8.567415730337078,3.074085459575776,0.513083632632119,1.3157894736842104,0.493494840735756,0.28920308483290486,9.815498154981551,7.990779869381483,3.4492753623188404,,35.55362323019875
PRP,0,0,0,0,0,0.3688902551490931,0,0,71.60161507402422,0,0,0,25.130434782608695,,76.04650701156943
PRP$,0,0,0,41.68466522678186,0,0,0,0,0,0,0.33210332103321033,0,0,,99.14685492181037
RB,0,14.295257181028726,10.809214412285883,0,1.75561797752809,25.02305564094682,0.1539250897896357,8.938294010889292,9.01749663526245,0.12853470437017994,1.107011070110701,10.641567422205148,1.4492753623188406,,32.91472093157383
RBR,0,0,0,0,0,0.12296341838303104,0,0,0,0,0,0,0,,100.0
RBS,0,0,0,0,0,0,0,0,0,0,0.33210332103321033,0,0,,100.0
RP,0,0,0,0,0,8.515216723024901,0,0,0,0,4.354243542435424,0,0,,71.76053433075982
TO,0,0,0,0,0,0,0,0,0,23.45758354755784,0,0,0,,100.0
UH,0,0.9352037408149633,0,0,0,0.1537042729787888,0,0,0,0,0,0,0,,85.86822413359519
VB,0,1.1356045424181698,26.22563496751329,0,0.2808988764044944,1.1374116200430373,0.4104669061056952,0.18148820326678766,0,0.6426735218508998,0.25830258302583026,0.4994237418363427,19.797101449275363,,61.28562668189981
VBD,0,0,1.6538688718251624,0,0.2808988764044944,8.914847832769752,31.605951770138535,71.9600725952813,0.08972633467922835,1.4781491002570695,1.7712177121771218,0.6146753745678064,2.6956521739130435,,61.66735335924454
VBG,0,0.46760187040748163,1.06320141760189,1.0079193664506838,0.1404494382022472,12.8804180756225,0.8722421754746024,3.856624319419238,0,1.4138817480719794,2.066420664206642,2.0745293891663468,3.797101449275362,,41.74654292011225
VBN,0,0,0.531600708800945,0,0.49157303370786515,6.17891177374731,0,5.353901996370237,0.08972633467922835,0.5784061696658097,1.3284132841328413,2.0745293891663468,0.782608695652174,,42.72656040774051
VBP,0,0.2004008016032064,20.43709391612522,0,0.21067415730337077,1.168152474638795,0,0.49909255898366606,0,0.4498714652956298,0,0.1536688436419516,0.463768115942029,,85.6992894914951
VBZ,0,0,0.11813349084465447,0,0,1.414079311404857,0,0.9074410163339384,0.1794526693584567,5.044987146529563,0.36900369003690037,0.42258932001536686,0.463768115942029,,55.635754637851164
WDT,0,0,0,0,0,0.12296341838303104,0,0,2.243158366980709,0,0,0,0,,94.51208744280495
WP,0,9.151636606546425,0,0,0,0,0,0,2.736653207716465,0,0,0,0,,78.48901064676808
WP$,0,0,0,0,0,0.09222256378727328,0,0,0,0,0,0,0,,100.0
WRB,0,13.627254509018035,0.11813349084465447,0,0,0,0,0,0,0,0,0,0,,99.0726409347078

Focus,95.96915451756864,38.27874610917753,42.401081493264776,68.74307880019117,52.072398705561184,31.55336558155744,64.79895412207446,73.3835344293152,74.84023646041932,67.10461560642027,50.10709125326114,52.46456997375566,35.55720785699464

Adjective,0,0.5344021376085504,3.425871234494979,0,9.269662921348315,6.055948355364279,0,0.18148820326678766,3.9030955585464335,1.9280205655526992,13.985239852398523,28.966577026507878,2.4057971014492754,,41.92567768180315
Adverb,0,27.92251169004676,10.927347903130537,0,1.75561797752809,25.14601905932985,0.1539250897896357,8.938294010889292,9.01749663526245,0.12853470437017994,1.4391143911439113,10.641567422205148,1.4492753623188406,,35.10113017613933
Conjunction,4.0020523345305286,11.690046760187041,0,0,0,0,45.35659312467932,0,0,0,0,0,0,,74.76831934996366
Determiner,95.89533093894305,0,0,55.14758819294456,0,1.3218567476175838,0,0,2.916105877074922,0,0.33210332103321033,0,6.463768115942028,,65.07535958603185
GrammarOther,0,0,17.48375664500886,0,0,8.976329541961267,0,3.539019963702359,3.4096007178106778,0,4.354243542435424,0,0,,49.27949826170962
Noun,0,16.833667334669336,6.2610750147666865,1.2958963282937366,79.63483146067416,15.462649861666154,1.3853258081067215,2.450090744101633,1.8842530282637955,0.9640102827763495,64.98154981549816,51.28697656550135,25.971014492753625,,36.58883405393159
Other,0,0.9352037408149633,0,0,4.915730337078652,0.43037196434060865,0.3078501795792714,0,0,0,3.837638376383764,0.0768344218209758,0.34782608695652173,,53.50328280791423
Preposition,0,29.392117568470272,0,0,0,7.531509375960652,3.950743971267317,0.4083484573502722,0,86.72879177377891,0,0,8.753623188405797,,64.10840169471466
Pronoun,0,9.151636606546425,0,41.68466522678186,0,0.4611128189363664,0,0,74.33826828174068,0,0.33210332103321033,0,25.130434782608695,,54.34111076142645
Verb,0,1.8036072144288577,50.029533372711164,1.0079193664506838,1.404494382022472,31.693821088226255,32.88866085171883,82.75862068965516,0.3589053387169134,9.60796915167095,5.793357933579336,5.839416058394161,28.0,,35.96891970063443

Focus,95.63161973360147,36.94583921526437,56.131728524841485,65.53425710425898,80.72727993743072,36.16856646148471,62.08375990460495,82.95597128293738,75.6375312051763,86.39534759765728,66.38913065584293,56.36128369964215,37.76329487920737

