Class,CLASS2622,CLASS2626,CLASS2632,CLASS2634,CLASS2635,CLASS2643,CLASS2645,CLASS2646,CLASS2647,CLASS2648,CLASS2650,CLASS2651,CLASS2652,CLASS2653,,Focus
CC,0,0,0,0.8046817849305048,0,0,0,0,0,0,3.433098591549296,0,26.417948071590626,0,,85.85365168113493
CD,0,0,0,0.6583760058522311,2.876984126984127,1.9098548510313216,0,0,0.13748854262144822,0,4.577464788732395,0,0.15124779430299976,0,,51.07789251270351
DT,0,0,0,0,0,1.489686783804431,0.7096575131132367,0,0,98.14970563498738,0.39612676056338025,7.230869001297018,7.007814469372321,0.672645739910314,,84.08811831799966
EX,7.622868605817453,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08968609865470852,,100.0
IN,0,3.9420756234915526,0,0,0,0.15278838808250572,0,0,0,0,0.7922535211267605,71.04409857328146,19.384925636501134,0.49327354260089684,,74.91531564501692
JJ,0,0,3.145695364238411,6.510607168983175,8.134920634920634,6.149732620320856,12.095032397408207,40.911817636472705,1.4207149404216315,0,0.9242957746478873,2.821011673151751,0.3529115200403327,0.5381165919282511,,48.3477815987933
JJR,0,0,1.2417218543046358,0,0.2976190476190476,2.5210084033613445,0.12341869793273681,0.1799640071985603,0.5499541704857929,0,0,0,0.050415931434333254,0,,53.618058967175216
JJS,0,0,0,0,0,0.07639419404125286,0.9873495834618945,0,0,0,0,0.38910505836575876,0.050415931434333254,0,,68.1025734900502
MD,0,0,1.2417218543046358,0,0,0,0,0,13.565536205316223,0,0,0,0,3.497757847533632,,74.7531883032466
NN,1.4042126379137412,0,5.21523178807947,4.09656181419166,59.32539682539682,25.17188693659282,37.64270286948473,32.99340131973605,2.6581118240146653,0.16820857863751051,5.457746478873239,2.2697795071335927,3.024955886059995,1.031390134529148,,38.2781326100787
NNP,0,0.8849557522123894,0.5794701986754967,28.96854425749817,1.8849206349206349,4.39266615737204,26.565874730021598,1.3197360527894422,0.7791017415215399,0,0.6161971830985915,0.35667963683527887,5.67179228636249,0.3139013452914798,,50.32152378131883
NNPS,0,0,0,0,0,0,0.18512804689910523,0,0,0,0,0,0,0,,100.0
NNS,0,0.16090104585679807,0.7450331125827815,1.755669348939283,8.234126984126984,10.427807486631016,10.64486269669855,2.399520095980804,0.09165902841429881,0.1261564339781329,2.2007042253521125,0.7457846952010376,0.6301991429291656,0.40358744394618834,,37.96079879567653
PRP,79.63891675025076,64.52131938857603,0.6622516556291391,38.697878566203364,0,5.805958747135217,0,0,0,0,8.362676056338028,0,0,0,,50.66548634815795
PRP$,0,0,0.7450331125827815,0,0,0,0,0,0,0,25.484154929577464,0,0,0,,96.98238799013505
RB,0.20060180541624875,0,31.20860927152318,15.508412582297002,1.1904761904761905,16.92131398013751,2.12897253933971,15.176964607078583,6.92025664527956,0,1.3204225352112675,2.6264591439688716,8.923619863876985,0.6278026905829596,,33.791947957613026
RBR,0,0,0,0,0,0.07639419404125286,0,0.11997600479904018,0,0,0,0,0,0,,69.86135825912537
RBS,0,0,0,0,0.8928571428571428,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,11.706349206349206,2.826585179526356,0,0,0,0,0,6.5823605706874195,0,0,,61.484353981834715
TO,0,0,0,0,0,0,0,0,33.45554537121907,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0.19098548510313218,0,0,0,0,0,0,0.3529115200403327,0,,71.36276523833102
VB,0,0.4022526146419952,1.5728476821192054,0,1.1904761904761905,1.1077158135981666,0.061709348966368406,0.3599280143971206,12.23648029330889,0,37.36795774647887,0.06485084306095978,0.5545752457776657,1.0762331838565022,,67.56292581318772
VBD,0,0,9.023178807947021,0.43891733723482074,0.5952380952380952,6.875477463712758,1.1416229558778155,0.5398920215956808,1.2832263978001834,0.08410428931875526,4.929577464788732,1.0376134889753565,15.528106881774642,71.39013452914799,,62.262066234646795
VBG,0,0,17.3841059602649,0.7315288953913679,0,7.066462948815889,1.9438444924406046,1.1397720455908817,0.8249312557286892,0.8830950378469302,1.7605633802816902,2.6264591439688716,1.134358457272498,6.950672645739911,,41.643624279347605
VBN,0,0,18.79139072847682,0.2926115581565472,1.5873015873015872,1.9098548510313216,0.9564949089787103,1.3797240551889622,0.4124656278643446,0.37846930193439865,0.48415492957746475,1.3618677042801557,0.17645576002016636,1.9282511210762334,,61.15690342047033
VBP,0,0,2.566225165562914,0,0,0.19098548510313218,0.154273372415921,0,16.17781851512374,0,0.39612676056338025,0.25940337224383914,0.050415931434333254,0.9865470852017937,,77.15296375983006
VBZ,0,0,2.566225165562914,0.2926115581565472,0,1.145912910618793,0.154273372415921,0,0.09165902841429881,0.21026072329688814,0,0.12970168612191957,0.10083186286866651,8.116591928251122,,63.92566381054279
WDT,5.015045135406218,0,0.33112582781456956,0,0,0,0,0,0,0,0,0,0,0,,93.53393956605382
WP,6.118355065195587,0,0,0,0,0,0,0,0,0,0,0,3.4534913032518273,0,,70.94185624425981
WP$,0,0,0,0,0,0.1145912910618793,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0.09165902841429881,0,0,0,5.142425006301991,0,,98.1296319270599

Focus,79.80929349248859,92.26086230182108,40.73525170836235,50.11306239620994,61.72399421871672,33.16916496600912,49.25805956164633,55.14697847266275,44.11454945604683,98.1045451162406,45.539917376047214,71.35662394844591,36.82125178745058,72.87602365522642

Adjective,0,0,4.387417218543047,6.510607168983175,8.432539682539682,8.747135217723454,13.205800678802838,41.09178164367127,1.9706691109074244,0,0.9242957746478873,3.21011673151751,0.45374338290899924,0.5381165919282511,,45.158752274510604
Adverb,0.20060180541624875,0,31.20860927152318,15.508412582297002,2.083333333333333,16.99770817417876,2.12897253933971,15.296940611877623,7.011915673693858,0,1.3204225352112675,2.6264591439688716,14.066044870178976,0.6278026905829596,,32.29865732349114
Conjunction,0,0,0,0.8046817849305048,0,0,0,0,0,0,3.433098591549296,0,26.417948071590626,0,,85.85365168113493
Determiner,5.015045135406218,0,0.33112582781456956,0,0,1.489686783804431,0.7096575131132367,0,0,98.14970563498738,0.39612676056338025,7.230869001297018,7.007814469372321,0.672645739910314,,80.07442764807963
GrammarOther,7.622868605817453,0,1.2417218543046358,0,11.706349206349206,2.826585179526356,0,0,13.565536205316223,0,0,6.5823605706874195,0,3.497757847533632,,37.31825866638805
Noun,1.4042126379137412,1.0458567980691875,6.539735099337749,34.82077542062912,69.44444444444444,39.99236058059588,75.03856834310399,36.7126574685063,3.528872593950504,0.2943650126156434,8.274647887323942,3.372243839169909,9.32694731535165,1.7488789237668163,,33.3339344754104
Other,0,0,0,0.6583760058522311,2.876984126984127,2.100840336134454,0,0,0.13748854262144822,0,4.577464788732395,0,0.5041593143433325,0.08968609865470852,,48.161575784403524
Preposition,0,3.9420756234915526,0,0,0,0.15278838808250572,0,0,33.45554537121907,0,0.7922535211267605,71.04409857328146,19.384925636501134,0.49327354260089684,,58.80376643018261
Pronoun,85.75727181544634,64.52131938857603,1.4072847682119205,38.697878566203364,0,5.920550038197097,0,0,0,0,33.84683098591549,0,3.4534913032518273,0,,45.10982323014754
Verb,0,0.4022526146419952,51.90397350993377,1.755669348939283,3.3730158730158726,18.29640947288006,4.412218451095341,3.4193161367726455,31.026581118240145,1.5559293523969722,44.93838028169014,5.4798962386511025,17.54474413914797,90.44843049327355,,36.24096541578732

Focus,84.58776196574958,91.60182863909736,57.4121841493449,47.99342026741892,68.89647939046827,41.11673489237682,77.40702015562742,52.94571235001623,45.14557365497578,97.95618228544262,51.31339831255053,68.71058221852512,29.687882259396194,91.38037374032163

