Class,CLASS2608,CLASS2611,CLASS2613,CLASS2631,CLASS2632,CLASS2642,CLASS2644,CLASS2645,CLASS2646,CLASS2647,CLASS2648,CLASS2649,CLASS2650,CLASS2651,CLASS2652,,Focus
CC,1.071080817916261,0,0,0,0,0,0,2.9290274126924523,0,0,0,0,32.62764632627647,0,0,,88.68627438363997
CD,0,0,3.5590277777777777,0.6885998469778117,2.677746999076639,4.3578866178172,0,0,0,0,0.15881418740074113,0,0,0,0.2514668901927913,,48.705359065292164
DT,0,0,0,1.1476664116296864,1.0156971375807942,1.4269186270728884,7.1681131468981025,96.99586932031544,0,0,0,0,0,0,2.179379715004191,,87.63663196140034
EX,0,0,0,5.814843152257077,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0.13360053440213762,0,0,0,0,0,0,,100.0
IN,7.497565725413827,0.2008032128514056,0,0,0,0,67.37383477981356,0,0,0.20508613617719443,0,0.8708272859216255,22.758405977584058,0.19598236158745713,4.5683151718357085,,66.36956451581526
JJ,1.071080817916261,0.8032128514056224,5.729166666666666,0,6.740535549399815,10.258387967605092,2.860816457730633,0,10.220440881763528,31.829368334700575,1.5352038115404976,0.6773101112723754,0.62266500622665,3.7726604605585496,1.1316010058675607,,40.902660593746575
JJR,0,0.2008032128514056,0.3472222222222222,0,0.2770083102493075,2.545314307751639,0,0,0,0.6152584085315832,0.7940709370037057,0,0,0,0,,53.93366198143522
JJS,0,0,0.3472222222222222,0,0.18467220683287164,0,0.32144005143040827,0,0.13360053440213762,1.1484823625922889,0,0,0.062266500622665005,0,0,,53.219135339971835
MD,0,0,0,0,0,0,0,0,0,0,17.998941238750664,0,0,0.7349338559529642,1.4249790444258172,,88.85280138329884
NN,0.4868549172346641,4.216867469879518,38.97569444444444,3.0604437643458304,56.417359187442294,8.831469340532202,2.6036644165863065,0,62.25784903139613,31.419196062346185,1.2175754367390152,4.01548137397194,3.8605230386052307,2.4987751102400786,5.155071248952221,,36.70635661805868
NNP,1.7526777020447908,4.317269076305221,34.20138888888889,30.145371078806427,1.7543859649122806,2.121095256459699,0.28929604628736744,0,3.0728122912491647,17.760459392945037,0,0.1935171746492501,6.133250311332503,0.6369426751592357,3.352891869237217,,40.79874653932821
NNPS,0,0,0,0,0,0.07713073659853452,0,0,0,0.16406890894175555,0,0,0,0,0,,73.06739213028244
NNS,0.7789678675754625,1.104417670682731,11.371527777777777,0,8.771929824561402,4.820671037408407,0.6107360977177756,0,12.491649966599866,7.588187038556193,0,1.4029995162070632,0.43586550435865506,0.6369426751592357,2.9756915339480305,,32.07053937173328
PRP,0,66.56626506024097,0,50.4973221117062,0,4.165059776320864,0,0,0.5344021376085505,0,0,0,0,45.565899069083784,4.442581726739313,,50.874860761679976
PRP$,0,0,0,0,0,19.899730042421908,0,0,0,0,0,0,0,3.0867221950024497,0.37720033528918695,,85.13693372795194
RB,1.071080817916261,17.8714859437751,1.6493055555555556,0,0.9233610341643583,15.233320478210565,3.6322725811636127,0,3.473613894455578,0.7793273174733388,8.364213869772366,3.967102080309628,20.018679950186797,7.006369426751593,7.334450963956413,,28.116044414487767
RBR,0,0,0,0,0,0.07713073659853452,0,0,0,0,0,0,0,0.09799118079372857,0,,68.69404739227572
RBS,0,0,0,0,0.8310249307479225,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,10.895660203139428,0,8.903889424622308,0,0,0,0,0,0,0,0,,68.53517255990907
TO,0,0,0,0,0,0,0,0,0,0,38.64478560084701,0,0,0,0,,100.0
UH,0,1.4056224899598393,0,0,0,0,0,0,0,0,0,0,0.1556662515566625,0,0,,89.8694053685182
VB,0.7789678675754625,0,0.3472222222222222,0,0.9233610341643583,1.349787890474354,0.19286403085824494,0,0.6680026720106881,0.20508613617719443,2.8586553732133404,0.5805515239477503,0.62266500622665,0.39196472317491426,44.63537300922045,,82.32180244322021
VBD,60.564751703992215,0,0.1736111111111111,0,1.10803324099723,8.522946394138064,1.5429122468659595,0,0.46760187040748163,1.1484823625922889,13.075701429327689,67.24721819061442,0,4.311611954924057,2.682313495389774,,52.83320801722362
VBG,0.4868549172346641,0.4016064257028112,0.4340277777777778,0.1530221882172915,2.4007386888273317,8.252988816043192,2.475088396014143,0,1.9372077488309953,1.0664479081214109,0.15881418740074113,7.982583454281568,0.4047322540473225,11.21999020088192,2.0536462699077953,,34.81686323231335
VBN,0,1.3052208835341366,0,0,1.7543859649122806,3.1623602005399154,1.285760205721633,0,0.26720106880427524,0.8613617719442166,0,1.8384131591678763,0,7.251347378735913,4.4844928751047775,,36.22949568619433
VBP,0.2921129503407984,0,0.26041666666666663,0,0,0.4242190512919399,0.25715204114432655,0,0.13360053440213762,0.08203445447087777,5.3996823716251985,0.6773101112723754,0.062266500622665005,1.5188633023027927,10.77116512992456,,57.51916690046397
VBZ,0.3894839337877313,0.4016064257028112,0,0,0.46168051708217916,1.195526417277285,0.09643201542912247,0,0.7348029392117569,0.08203445447087777,0,8.659893565553944,0,1.1268985791278785,0.16764459346186086,,63.61902795105622
WDT,0,0,0,3.825554705432287,0,0,0,0,0,0,0.21175224986765487,0,0,0,0,,94.52535565012268
WP,0,0,0,4.667176740627391,0,0,0,0,0,0,0,0,4.265255292652553,0,0,,68.21805704119895
WP$,0,0,0,0,0,0.11569610489780179,0,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0.13360053440213762,0,0,0,6.351183063511831,0,0,,97.81421433278969

Focus,79.52934112285212,69.08604164400796,53.23336288818744,58.01329853889585,59.01514021087706,29.438733785676757,67.8484084820377,97.03380024845887,65.62239007811958,49.390919168627164,48.66293006214936,68.8794019362782,44.19550691914294,52.10905339668594,46.67282651605978

Adjective,1.071080817916261,1.004016064257028,6.423611111111111,0,7.202216066481994,12.80370227535673,3.1822565091610415,0,10.354041416165666,33.593109105824446,2.3292747485442034,0.6773101112723754,0.684931506849315,3.7726604605585496,1.1316010058675607,,39.895561487627155
Adverb,1.071080817916261,17.8714859437751,1.6493055555555556,0,1.7543859649122808,15.310451214809099,3.6322725811636127,0,3.6072144288577155,0.7793273174733388,8.364213869772366,3.967102080309628,26.369863013698627,7.104360607545321,7.334450963956413,,30.031186024134666
Conjunction,1.071080817916261,0,0,0,0,0,0,2.9290274126924523,0,0,0,0,32.62764632627647,0,0,,88.68627438363997
Determiner,0,0,0,4.973221117061973,1.0156971375807942,1.4269186270728884,7.1681131468981025,96.99586932031544,0,0,0.21175224986765487,0,0,0,2.179379715004191,,84.35243672920242
GrammarOther,0,0,0,5.814843152257077,10.895660203139428,0,8.903889424622308,0,0,0,17.998941238750664,0,0,0.7349338559529642,1.4249790444258172,,46.27013636189623
Noun,3.0185004868549177,9.63855421686747,84.54861111111111,33.205814843152254,66.94367497691597,15.850366370998842,3.5036965605914494,0,77.82231128924516,56.931911402789176,1.2175754367390152,5.611998064828254,10.429638854296389,3.7726604605585496,11.483654652137467,,30.563009676045038
Other,0,1.4056224899598393,3.5590277777777777,0.6885998469778117,2.677746999076639,4.3578866178172,0,0,0.13360053440213762,0,0.15881418740074113,0,0.1556662515566625,0,0.2514668901927913,,41.96221453350593
Preposition,7.497565725413827,0.2008032128514056,0,0,0,0,67.37383477981356,0,0,0.20508613617719443,38.64478560084701,0.8708272859216255,22.758405977584058,0.19598236158745713,4.5683151718357085,,52.841676841427564
Pronoun,0,66.56626506024097,0,55.16449885233359,0,24.18048592364057,0,0,0.5344021376085505,0,0,0,4.265255292652553,48.652621264086235,4.8197820620285,,44.45043874429938
Verb,62.51217137293087,2.108433734939759,1.2152777777777777,0.1530221882172915,6.64819944598338,22.907828769764752,5.85020893603343,0,4.208416833667335,3.445447087776867,21.492853361566965,86.98597000483792,1.0896637608966375,25.82067613914748,64.79463537300921,,35.21243377410699

Focus,80.56085289092111,66.41505302871316,85.61623488416797,59.673100097584566,66.57534213386597,31.59166602545617,64.77733813465821,96.78692768142771,79.09232618410893,65.49219937702702,45.73010573642253,87.62742867921375,40.639094350179676,56.16426918100419,63.423287899563974

