Class,CLASS2571,CLASS2624,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2639,CLASS2640,CLASS2643,CLASS2644,CLASS2645,CLASS2647,CLASS2648,CLASS2649,CLASS2650,,Focus
CC,4.198062432723358,0,0,0,0,0,0.9963768115942028,0,0,0,0,0,0,0,0,0,29.232914923291492,,84.86778308735107
CD,0,2.8128031037827355,0.8506616257088847,0.8695652173913043,0,0,0.5434782608695652,0,0,0.20804438280166435,0,0,7.375886524822695,1.310322786832854,0,0,0,,54.40296159961369
DT,95.69429494079655,0,0,2.318840579710145,0,0,0,0,0,0,0.9715025906735751,1.6174402250351618,53.333333333333336,0,8.002689979825153,0,2.5383542538354256,,64.18702882113979
EX,0,0,0,0,0,0,0,0,0,0,4.922279792746114,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0.11661807580174927,0,0,0,0,0,0,0,0,,100.0
IN,0,0,0,0,1.661392405063291,0,86.86594202898551,0.2700877785280216,2.740524781341108,0,0,6.962025316455696,0,0.15979546180888463,39.4754539340955,0,20.446304044630402,,58.5055553147818
JJ,0,8.535402521823473,1.3232514177693762,4.251207729468599,1.5031645569620253,0,0.5434782608695652,0.2700877785280216,6.41399416909621,2.1497919556171983,0,15.471167369901547,0,11.089805049536592,3.026227303295225,29.71698113207547,0.16736401673640167,,38.12770679104503
JJR,0,0.2909796314258002,0,0,0,0,0,0,3.8483965014577257,1.0402219140083218,0,0,0,0.6072227548737615,0,0.09433962264150944,0,,66.32414500737049
JJS,0,0,0.1890359168241966,0,0,0,0,0,0,0,0,0,0,0.9587727708533078,0.3362474781439139,0.18867924528301888,0.05578800557880056,,57.53928482297044
MD,0,0,0,0,0,0,0,5.266711681296422,0.8746355685131195,20.527045769764214,0,0,0,0,0,0,0,,78.07504951376988
NN,0,57.613967022308444,7.9395085066162565,6.183574879227053,6.882911392405064,0,0.2717391304347826,1.6205266711681297,8.279883381924199,2.2884882108183078,1.2305699481865284,14.767932489451477,0.6382978723404255,34.292106104186644,1.0087424344317417,50.99056603773585,2.9567642956764293,,37.984344842864594
NNP,0,2.0368574199806013,42.06049149338374,0.8695652173913043,0.7120253164556962,0.8527131782945736,0,0.4051316677920324,1.1078717201166182,1.1789181692094313,0,1.8284106891701828,0,27.325023969319272,0.3362474781439139,2.311320754716981,6.359832635983263,,54.372880675354686
NNPS,0,0.19398642095053348,0,0.1932367149758454,0,0,0,0,0,0,0,0,0,0.06391818472355384,0,0,0,,59.17833320115464
NNS,0,8.438409311348206,1.1342155009451798,5.507246376811594,3.0854430379746836,0.15503875968992248,0.36231884057971014,1.2153950033760972,1.8075801749271136,0.13869625520110956,0,5.414908579465542,0.2127659574468085,10.578459571748162,0.4371217215870881,9.245283018867925,0.44630404463040446,,30.845007964526914
PRP,0,0,0,0.1932367149758454,8.38607594936709,68.68217054263566,0,0,0,0.5547850208044383,85.68652849740933,10.40787623066104,0,0.06391818472355384,0,0,0,,60.59028059175211
PRP$,0,0,0,0,0,4.883720930232558,0,0,0,0,0,0,36.59574468085106,0.28763183125599234,0,0,0,,87.62192298272443
