Class,CLASS68,CLASS2608,CLASS2610,CLASS2622,CLASS2623,CLASS2626,CLASS2630,CLASS2633,CLASS2635,CLASS2637,CLASS2641,CLASS2642,CLASS2643,CLASS2645,CLASS2646,CLASS2647,CLASS2648,CLASS2649,,Focus
CC,99.77142857142857,0,1.328502415458937,0,0,0,0,7.575757575757576,0,0,2.942285929837797,0,0,0,0,0,0,0,,89.04687621611833
CD,0,0,0.7246376811594203,0.29880478087649404,0,0,0,0,0.7401315789473684,1.8360949395432153,0,0,7.658321060382916,0.5538461538461538,0,0,0,1.531959852086635,,57.67832696707473
DT,0,0,0,0,0,0,0,0,7.483552631578948,0,70.53941908713693,0,53.240058910162006,13.661538461538461,0.9733939000648929,0,0,0,,58.46327153838197
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.931862426995457,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059224163458691144,0,,100.0
IN,0,0.8303677342823249,9.29951690821256,8.864541832669323,1.024713682941531,0,0,35.84415584415584,0,0,0,75.28132033008252,0,0.8,0,0,0.11844832691738229,0,,61.10679747102653
JJ,0,0,0,0.398406374501992,1.62748643761302,4.487917146144994,0,1.7316017316017316,2.631578947368421,15.181370353784146,1.735194266314598,2.738184546136534,0,2.0307692307692307,0.12978585334198572,0,26.769321883328395,3.6978341257263603,,45.69449923944233
JJR,0,0,0,1.4940239043824701,0,0,0,0.08658008658008658,0.1644736842105263,0.17913121361397222,0,0,0,0,0,0,0.44418122594018355,3.5393555203380873,,63.00312023988389
JJS,0,0,0,0,0,0,0,0.08658008658008658,0,1.3434841021047919,0.37721614485099964,0,0,0,0,0,0.11844832691738229,0.10565240359218173,,67.0229790482877
MD,0,0,0,3.386454183266932,0,1.726121979286536,0,0,0,0,0,0,0,0,0,21.052631578947366,0,0,,80.55992845146874
NN,0,1.1862396204033214,0.36231884057971014,2.589641434262948,6.630500301386377,7.019562715765247,0,4.588744588744588,8.552631578947368,30.362740707568292,4.639758581667295,3.075768942235559,0,2.0307692307692307,0.9085009733939001,0,32.60290198400948,58.53143159006867,,40.71997855708989
NNP,0,0.3558718861209964,0.8454106280193237,1.8924302788844622,3.556359252561784,1.0356731875719216,0.44493882091212456,5.757575757575758,42.02302631578947,35.37841468875952,0.6035458317615994,0.6751687921980495,0,0.8615384615384615,0,0,1.8359490672194254,3.1695721077654517,,52.74316995147604
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12307692307692308,0,0,0,0.21130480718436345,,71.2351919130795
NNS,0,0.2372479240806643,1.4492753623188406,0.49800796812749004,1.8685955394816152,1.0356731875719216,0.22246941045606228,0.6926406926406926,2.7960526315789473,9.807433945364979,1.4334213504337987,1.6129032258064515,0,2.1538461538461537,0,0,7.22534794196032,10.45958795562599,,33.890952389717036
PRP,0,0,0,0.796812749003984,6.389391199517782,0,89.21023359288098,0,0,0,8.751414560543191,0.07501875468867217,0,0.12307692307692308,85.85334198572355,0,0,0,,62.33660139312532
PRP$,0,0,0,0,0,0,0,0,0,0.40304523063143755,2.3764617125612975,0,37.99705449189985,0,0,0,0,0,,92.96620427495148
RB,0,13.997627520759192,0.36231884057971014,2.9880478087649402,10.427968655816757,20.253164556962027,0,14.415584415584416,17.434210526315788,1.0747872816838333,1.3202565069784986,1.4253563390847712,0,2.769230769230769,0,9.102167182662539,18.892508143322477,1.3734812466983624,,27.300190097879817
RBR,0,0,0,0,0,0.23014959723820483,0,0,0,0,0.07544322897019992,0,0,0,0,0,0,0,,77.86338549967236
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4754358161648178,,100.0
RP,0,0,0,0,0,0,0,0,6.0855263157894735,0,0,7.614403600900226,0,0,0,0,0,6.2334918119387215,,54.58087551637948
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.20123839009288,0,0,,100.0
UH,0,0,0,0,0,0,0,0.6060606060606061,0.41118421052631576,0,0,0,0,0,0,0,0,0,,70.00126509792636
VB,0,0.2372479240806643,0.36231884057971014,27.589641434262944,51.35623869801085,1.4959723820483315,0,0.9523809523809524,0.9868421052631579,0.17913121361397222,0,0.22505626406601648,0,0.9846153846153847,0,0,0.5922416345869115,0.5282620179609087,,65.91082678056475
VBD,0,59.07473309608541,74.39613526570048,3.187250996015936,5.726341169379144,8.745684695051784,0,0,1.3980263157894737,0.5373936408419167,0.15088645794039984,1.1627906976744187,0,57.53846153846154,0,15.170278637770899,4.14569144210838,1.479133650290544,,43.547179021250045
VBG,0,1.0676156583629894,1.570048309178744,1.693227091633466,1.6877637130801686,27.27272727272727,0,0.5627705627705628,5.921052631578947,0.6269592476489028,3.7344398340248963,3.8259564891222806,0.22091310751104565,9.16923076923077,0,0.18575851393188852,1.53982824992597,1.9017432646592711,,44.677980772267325
VBN,0,0.7117437722419928,0,2.49003984063745,7.59493670886076,16.570771001150746,0,0.30303030303030304,1.9736842105263157,0.08956560680698611,0.2640513013956997,0.9377344336084021,0,2.5846153846153843,0,0,1.1252591057151318,1.3734812466983624,,47.94691963231767
