Class,CLASS2593,CLASS2601,CLASS2618,CLASS2620,CLASS2625,CLASS2627,CLASS2629,CLASS2631,CLASS2633,CLASS2634,CLASS2637,CLASS2638,CLASS2639,CLASS2640,CLASS2643,CLASS2645,CLASS2646,CLASS2647,CLASS2648,,Focus
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02061855670103,4.529616724738676,0,56.055802155992396,0,0,,80.69876801938145
CD,0,0,0,0,0,0,0,0,2.6752767527675276,2.789598108747045,0.1985440105890139,0,0,0,0.34843205574912894,0,0,2.9825064525379985,0,,50.74748051706657
DT,0,0,0,0,1.7201834862385321,0,0,1.1045029736618521,0,1.2293144208037825,0,0,16.22340425531915,0,0,0.6073409030895167,0,76.31201605965013,0,,79.06978017938185
EX,0,0,0,0,8.715596330275229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052812252442566675,0,0,0,,100.0
IN,0,0,0,0,0,3.94842868654311,0.26229508196721313,20.475785896346643,0,0.425531914893617,0,98.75195007800312,4.078014184397164,37.06185567010309,7.4332171893147505,0.052812252442566675,1.7755231452124285,0,35.483870967741936,,50.38109734388393
JJ,19.73365617433414,5.590062111801243,10.684273709483794,9.1,0,0,0.6557377049180327,2.9736618521665252,8.025830258302582,4.25531914893617,2.0516214427531434,0.15600624024961,0.1773049645390071,0.30927835051546393,1.1033681765389083,22.154739899656718,0,1.2905075996558646,3.5483870967741935,,31.18247939458338
JJR,0,0.2484472049689441,0,0,0,0,0,0,0.27675276752767525,0.2364066193853428,0.9927200529450696,0,0,0,0,2.112490097702667,0,0,0,,58.54601233061775
JJS,0,0.4968944099378882,0,0,0,0,0,0,0.18450184501845018,0,0,0,0,0,0,0.8449960390810668,0,0.28677946659019216,0,,53.88002070575261
MD,0,0,1.800720288115246,0,0,0,5.114754098360655,0,0,0,19.589675711449374,0,0,0,0,0,0,0,0,,75.18138579897598
NN,59.32203389830508,58.38509316770186,3.961584633853541,1.2,1.146788990825688,0,3.8032786885245904,7.391673746813934,57.656826568265686,14.184397163120568,5.029781601588352,0.15600624024961,0.1773049645390071,4.7938144329896915,6.736353077816492,30.44626353313969,0.507292327203551,0.43016919988528823,0.5806451612903226,,36.16725604186253
NNP,2.4213075060532687,1.8633540372670807,0.8403361344537815,0,0,0.8863819500402902,0.5245901639344263,0.8496176720475787,1.9372693726937271,24.491725768321512,0.9927200529450696,0.15600624024961,0.26595744680851063,8.8659793814433,3.426248548199768,21.996303142329023,0,0.08603383997705764,0.5161290322580645,,44.735099372519656
NNPS,0,0,0,0,0,0,0.13114754098360656,0,0,0,0,0,0,0,0,0.10562450488513335,0,0,0,,69.16321040479897
NNS,1.573849878934625,24.596273291925467,1.800720288115246,0.5,0,0.16116035455278002,1.7049180327868854,3.3984706881903146,8.948339483394834,4.822695035460993,0.13236267372600927,0,0.5319148936170213,0.10309278350515465,1.5679442508710801,8.846052284129918,0.507292327203551,0.14338973329509608,0.3225806451612903,,42.97665118520154
PRP,0,0,0.9603841536614646,66.3,75.68807339449542,64.62530217566479,0,0.33984706881903143,0,4.91725768321513,0,0,0,0,13.588850174216027,0,0,0,0,,49.31700970182677
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23765513599155003,0,16.604531115572126,0,,98.52061102634839
RB,10.16949152542373,1.3664596273291925,27.73109243697479,20.5,0,0,3.1475409836065573,15.378079864061172,1.2915129151291513,20.472813238770684,11.912640635340834,0,0.44326241134751776,17.628865979381445,0.9291521486643438,5.175600739371535,0.19023462270133165,1.0037281330656724,0.903225806451613,,28.18493451049796
