Class,CLASS2588,CLASS2599,CLASS2600,CLASS2623,CLASS2625,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2633,CLASS2635,CLASS2638,CLASS2639,CLASS2641,CLASS2642,CLASS2643,CLASS2644,CLASS2645,CLASS2646,CLASS2647,,Focus
CC,0,0,0,0,0,9.954493742889648,0,0,0,0,0,0,0,0,0,0,2.9467321496033247,0,55.14660012476607,0,,81.43699396694987
CD,0,0,0,0,0,0,0,0,0,0,1.0440835266821344,0,0,0.21126760563380279,0,5.2026013006503256,0,1.7985611510791366,0.37429819089207733,0,,62.735902810751924
DT,0,0,0,0,0,5.802047781569966,0,0,1.3464991023339317,0,0.7540603248259861,0,13.005464480874318,0,0,0.4502251125562781,96.10880241783151,0,0,0,,81.71178399072691
EX,0,0,0,0,0,0,0,0,6.822262118491921,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0.11376564277588168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,87.12753277711562,0,0,0,24.914675767918087,0,6.657608695652175,0.17953321364452424,0,0.23201856148491878,0.2691790040376851,56.33879781420765,0.21126760563380279,1.196013289036545,14.057028514257128,0,0.12846865364850976,1.7467248908296942,28.247162673392186,,46.317768738965945
JJ,23.71967654986523,5.601907032181168,6.8674698795180715,4.746835443037975,0,2.1046643913538112,9.213051823416507,12.364130434782608,0,0,5.220417633410673,3.297442799461642,2.459016393442623,0.35211267605633806,1.2624584717607974,1.1005502751375689,0,20.991778006166495,0.12476606363069245,0.6935687263556116,,30.621595638489442
JJR,0.40431266846361186,0,0,0,0,0,0.28790786948176583,0,0.17953321364452424,0,0.11600928074245939,0,0,1.056338028169014,0,0,0,2.055498458376156,0,0,,54.78782796549698
JJS,0,0,0.48192771084337355,0,0,0.11376564277588168,0,0,0,0,0,0,0.546448087431694,0,0,0,0,0.8221993833504625,0,0,,52.92754358220575
MD,0,0,0,0,9.252669039145907,0,0,0,0,0,0,1.0094212651413188,0,20.845070422535212,0,0,0,0,0,0,,71.7134282980255
NN,53.908355795148246,0.47675804529201427,58.91566265060241,1.7932489451476792,0,5.290102389078498,58.061420345489445,1.358695652173913,3.680430879712747,0,8.178654292343387,7.065948855989233,1.530054644808743,2.887323943661972,8.637873754152823,7.103551775887944,0.34000755572346053,31.86022610483042,0.37429819089207733,3.6569987389659517,,35.567688815198565
NNP,2.6954177897574128,0.47675804529201427,3.8554216867469884,0.7383966244725738,0,7.849829351535837,2.015355086372361,0.9510869565217392,3.680430879712747,0.4357298474945534,30.39443155452436,0.13458950201884254,0.9289617486338797,1.1971830985915493,0.7308970099667774,1.0005002501250626,0,21.479958890030833,0.2495321272613849,0,,44.750377620015875
NNPS,0,0,0,0,0,0,0,0,0,0,0,0.13458950201884254,0,0,0,0,0,0.10277492291880781,0,0,,69.50822544985616
NNS,3.908355795148248,0.5959475566150179,20.602409638554217,0.949367088607595,0,0.4550625711035267,8.92514395393474,0.6793478260869565,0,0.2178649237472767,3.1322505800464038,2.489905787348587,0.546448087431694,0.14084507042253522,4.318936877076411,2.8014007003501753,0.11333585190782018,8.196300102774924,0.37429819089207733,0.8827238335435058,,36.93956191267092
PRP,0,0,0,0,0,0,0,0,71.27468581687613,87.36383442265794,0.23201856148491878,0.5383580080753702,0,0,15.548172757475085,31.665832916458232,0,0,0,0,,53.990552484126454
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.96448224112056,0,0.2312435765673176,0,0,,99.16942161903869
RB,8.221024258760108,0.47675804529201427,2.1686746987951806,33.016877637130804,0.3558718861209964,19.340159271899886,0.9596928982725527,36.41304347826087,0.4488330341113106,2.0697167755991286,26.160092807424597,2.557200538358008,2.021857923497268,12.676056338028168,0.8637873754152824,0.10005002501250625,0,5.78108941418294,0.18714909544603867,0.5044136191677175,,33.68698837389699
RBR,0,0,0,0,0,0,0,0,0,0,0,0.13458950201884254,0,0,0,0.10005002501250625,0,0,0,0,,69.64830884771555
RBS,0,0,0,0,0,0,0.8637236084452975,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,11.324376199616124,0,0,0,4.292343387470997,0,0,0,0,0,0,0,0,12.799495586380832,,59.34024227606714
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.02774274905423,,100.0
UH,0,0,0,0,0,0,0,0,1.2567324955116697,0,0.2900232018561485,0,0,0,0,0,0,0,0,0,,82.41788514095673
VB,1.3477088948787064,0.47675804529201427,0,0.6329113924050633,0,0.9670079635949944,0.9596928982725527,0.6793478260869565,0,0,1.1020881670533642,1.1440107671601614,1.2021857923497268,17.887323943661972,57.20930232558139,0,0,0.1798561151079137,0.18714909544603867,0.12610340479192939,,69.52551112669234
VBD,0.2695417789757413,0.834326579261025,0.3614457831325301,6.5400843881856545,85.88374851720047,0.11376564277588168,0.5758157389635317,0.2717391304347826,0,0,7.5406032482598615,63.39165545087483,5.901639344262295,1.971830985915493,3.5880398671096345,0.2001000500250125,0,0.8478931140801645,38.427947598253276,0.37831021437578816,,48.81177743001557
