Class,to,and,CLASS2599,CLASS2610,CLASS2621,CLASS2622,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2632,CLASS2633,CLASS2636,CLASS2637,CLASS2638,CLASS2639,CLASS2642,CLASS2643,CLASS2644,CLASS2645,CLASS2646,,Focus
CC,0,100.0,0,1.2925969447708578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.458867300537413,,89.44934533961485
CD,0,0,0,0.7050528789659225,10.522151898734178,0,0,0,0,0,0.9782608695652175,0.6060606060606061,0,0,0.2,0,0,1.40218878248974,0,0,0,,72.72581043899163
DT,0,0,0,0,1.5822784810126582,0,0,0,0,0,1.4130434782608696,0,0,0,0,0.9640102827763496,11.155577788894448,0.786593707250342,80.13350286077558,0.8077544426494345,3.761885076477883,,79.45049415573266
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.092622509423801,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06839945280437756,0,0,0,,100.0
IN,0,0,0,9.048178613396004,0,0.6763285024154589,2.93040293040293,0,0,0.5333333333333333,0,0,0,86.88387635756057,0,73.13624678663238,0,0.307797537619699,0,0,30.384456386936755,,54.89601130792083
JJ,0,0,58.620689655172406,0.7050528789659225,5.1424050632911396,0.7729468599033816,1.282051282051282,6.155950752393981,0,20.0,3.260869565217391,3.9057239057239053,1.4901960784313726,4.010025062656641,2.0666666666666664,0.6426735218508998,5.552776388194097,12.243502051983585,0,4.577275175013463,0.41339396444811904,,45.25361205323276
JJR,0,0,0,0,0.23734177215189875,0,0,0,0,0,0,0.13468013468013468,0,0,1.7999999999999998,0,0,0.2393980848153215,0,3.4464189553042544,0.0826787928896238,,63.555855517837145
JJS,0,0,0,0,0,0,0,0.27359781121751026,0,0,0,0,0,0,0.13333333333333333,0,0.5002501250625313,1.094391244870041,0,0,0.0826787928896238,,56.922768771278875
MD,0,0,0,0,0,0,7.142857142857142,0,0,0,0,0,0,0,19.733333333333334,0,0.750375187593797,0,0,0,0,,74.61122609691029
NN,0,0,17.345872518286313,0.5875440658049353,52.84810126582279,0.6763285024154589,1.3736263736263736,60.191518467852255,0.22197558268590456,51.33333333333333,9.565217391304348,7.9461279461279455,7.215686274509804,0.9189640768588136,4.333333333333334,3.534704370179949,10.55527763881941,37.07250341997264,0.34965034965034963,1.669359181475498,4.34063662670525,,32.78051214911002
NNP,0,0,0.20898641588296762,0.8225616921269095,1.5031645569620253,0.4830917874396135,0.3663003663003663,1.7783857729138166,0.4439511653718091,5.6000000000000005,2.391304347826087,35.15151515151515,0.7058823529411765,0.3341687552213868,1.2666666666666666,0.7069408740359897,1.500750375187594,27.667578659370722,0,0,7.565109549400578,,48.21869633136888
NNPS,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0,0,0,0,0,0,0.13679890560875513,0,0,0,,70.86476973826453
NNS,0,0,0.7314524555903866,1.1750881316098707,7.59493670886076,0,2.0146520146520146,21.3406292749658,0.22197558268590456,3.3333333333333335,8.043478260869565,0.20202020202020202,4.705882352941177,0.4177109440267335,0,1.1568123393316194,3.401700850425213,10.875512995896033,0.28607755880483154,0.3769520732364028,0.3307151715584952,,35.96706445742412
PRP,0,0,0,0,0,0,0,0,89.01220865704772,0,0.43478260869565216,0,8.313725490196077,0,0,0,12.006003001500751,0,0,71.24394184168013,0,,61.10720951740044
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307797537619699,18.404322949777495,0,0,,98.28657555584272
RB,0,0,16.614420062695924,0.5875440658049353,1.3449367088607596,15.169082125603865,0.8241758241758242,1.094391244870041,0,14.133333333333335,7.608695652173914,31.64983164983165,1.2549019607843137,0.835421888053467,12.0,0.2570694087403599,14.057028514257128,1.1627906976744187,0,7.4851911685514265,13.766019016122364,,27.699819573402845
RBR,0,0,0.20898641588296762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10005002501250625,0,0,0,0,,73.50073355894837
RBS,0,0,0,0,0.7120253164556962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,9.335443037974683,0,0,0,0,0,0,4.983164983164983,0,0,0,13.046272493573266,0,0,0,0,0,,58.79425537157952
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0.33670033670033667,0,0,0,0,0,0,0,0,0.5787515502273667,,71.53342597016152
VB,0,0,0.3134796238244514,0.35252643948296125,0.949367088607595,0.5797101449275363,0.5494505494505495,0,0,0.4,1.956521739130435,0.13468013468013468,66.90196078431373,0.5012531328320802,17.8,0.6426735218508998,1.0005002501250626,0.13679890560875513,0,0,0.9921455146754857,,72.81682971964807
VBD,0,0,0.8359456635318705,72.38542890716803,1.1075949367088607,52.46376811594203,76.83150183150184,0.4103967168262654,0,0.4,36.41304347826087,7.205387205387205,4.235294117647059,1.7543859649122806,2.0666666666666664,2.377892030848329,4.102051025512756,0.9917920656634747,0,0.10770059235325795,0.20669698222405952,,42.54954340335561
VBG,0,0,1.3584117032392893,2.5851938895417157,3.0063291139240507,0.8695652173913043,2.564102564102564,2.5991792065663475,0,0.8,15.108695652173912,2.087542087542088,1.5686274509803921,0.9189640768588136,1.5333333333333332,1.6066838046272494,20.110055027513756,0.8549931600547196,0.3814367450731087,0,0.9921455146754857,,39.411202068782245
VBN,0,0,1.1494252873563218,0,1.661392405063291,9.951690821256038,1.5567765567765568,0,0,0.4,4.130434782608695,2.356902356902357,1.019607843137255,1.5037593984962405,0.6,1.1568123393316194,8.404202101050526,0.3761969904240766,0,0,0.28937577511368334,,35.98947879649753
VBP,0,0,0,0.23501762632197415,0,0,0.27472527472527475,0.4103967168262654,0,0,1.4130434782608696,0,1.019607843137255,0.5012531328320802,23.066666666666666,0.5141388174807198,1.5507753876938468,0.2393980848153215,0,0,0.12401818933443572,,77.86564556783875
VBZ,0,0,0,0.4700352526439483,0,14.879227053140095,1.5567765567765568,2.3255813953488373,0,0,0.9782608695652175,1.144781144781145,0.2352941176470588,0.3341687552213868,0,0,1.9509754877438719,0.06839945280437756,0,0,0,,61.7796756348914
WDT,0,0,0,0,0,0,0,0,0,0,0,0.26936026936026936,0,0,0,0,0,0,0,2.6925148088314486,0,,90.90593557684373
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2848680667743673,5.6634973129392305,,71.56087309243605
WP$,0,0,0,0,0,0,0,0,0,0,0,0.20202020202020202,0,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,0,0,0,0,0,8.43323687474163,,98.37802253319325

Focus,100.0,100.0,63.87924237468647,79.7000586581735,55.41910165760663,58.086096574273746,77.23566764445981,65.42684544210468,98.98741320487959,57.563159470991835,42.88763780848284,47.795238035279525,68.05262638230111,87.63376551157631,40.80002951690462,73.85186951680105,31.020525259964028,49.189293646091556,82.06766662391188,71.38895948604409,39.885933277521524

Adjective,0,0,58.620689655172406,0.7050528789659225,5.379746835443038,0.7729468599033816,1.282051282051282,6.429548563611491,0,20.0,3.260869565217391,4.04040404040404,1.4901960784313726,4.010025062656641,3.9999999999999996,0.6426735218508998,6.053026513256628,13.577291381668948,0,8.023694130317716,0.5787515502273667,,42.63541063236724
Adverb,0,0,16.823406478578892,0.5875440658049353,2.056962025316456,15.169082125603865,0.8241758241758242,1.094391244870041,0,14.133333333333335,7.608695652173914,31.64983164983165,1.2549019607843137,0.835421888053467,12.133333333333333,0.2570694087403599,14.157078539269634,1.1627906976744187,0,7.4851911685514265,22.199255890863995,,27.563796296263515
Conjunction,0,100.0,0,1.2925969447708578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.458867300537413,,89.44934533961485
Determiner,0,0,0,0,1.5822784810126582,0,0,0,0,0,1.4130434782608696,0.26936026936026936,0,0,0,0.9640102827763496,11.155577788894448,0.786593707250342,80.13350286077558,3.500269251480883,3.761885076477883,,77.06962684159706
GrammarOther,0,0,0,0,9.335443037974683,0,7.142857142857142,0,0,0,0,4.983164983164983,0,0,19.733333333333334,13.046272493573266,0.750375187593797,0,0,4.092622509423801,0,,41.53967415482842
Noun,0,0,18.286311389759668,2.5851938895417157,61.946202531645575,1.1594202898550725,3.7545787545787546,83.31053351573186,0.8879023307436182,60.266666666666666,20.217391304347824,43.299663299663294,12.627450980392158,1.670843776106934,5.6000000000000005,5.3984575835475574,15.457728864432218,75.75239398084815,0.6357279084551812,2.0463112547119007,12.236461347664324,,29.10319266027533
Other,0,0,0,0.7050528789659225,10.522151898734178,0,0,0,0,0,0.9782608695652175,0.9427609427609427,0,0,0.2,0,0,1.4705882352941178,0,0,0.5787515502273667,,67.96698813256694
Preposition,100.0,0,0,9.048178613396004,0,0.6763285024154589,2.93040293040293,0,0,0.5333333333333333,0,0,0,86.88387635756057,0,73.13624678663238,0,0.307797537619699,0,0,30.384456386936755,,47.10207280554338
Pronoun,0,0,0,0,0,0,0,0,89.01220865704772,0,0.43478260869565216,0.20202020202020202,8.313725490196077,0,0,0,12.006003001500751,0.307797537619699,18.404322949777495,74.52880990845449,5.6634973129392305,,53.70606057039924
Verb,0,0,3.657262277951933,76.02820211515863,6.724683544303797,78.74396135265701,83.33333333333334,5.745554035567716,0,2.0,60.0,12.929292929292929,74.98039215686273,5.5137844611528815,45.06666666666666,6.298200514138816,37.118559279639825,2.667578659370725,0.3814367450731087,0.10770059235325795,2.60438197602315,,28.622786696533037

Focus,100.0,100.0,60.44556463415073,82.31554909757085,60.7880742543786,81.0014630974153,82.49227217484602,85.12662768634844,98.90747673074178,62.43557397531961,63.47786127258944,49.35680206045477,74.63780718975895,86.70871353188043,52.45309365413814,71.63319416859822,37.57053711381818,77.70760450056771,80.42402987171644,72.51683504722271,36.65139154107662

