Class,and,CLASS74,CLASS2588,CLASS2596,CLASS2597,CLASS2602,CLASS2606,CLASS2618,CLASS2619,CLASS2621,CLASS2625,CLASS2629,CLASS2636,CLASS2637,CLASS2638,CLASS2639,CLASS2640,CLASS2641,CLASS2642,CLASS2643,CLASS2644,CLASS2645,,Focus
CC,100.0,0,0,4.0020523345305286,0,0,0,0,0,0,0,0,0.9865470852017937,0,0,0,0,0,0,0,8.486905916585838,0,,87.93185350901179
CD,0,0,0,0,0,0,0,0,10.08729388942774,0.2331002331002331,3.6764705882352944,0,0.5381165919282511,0,0,0,0,0,0,0,0.4364694471387003,0.2894821486008363,,68.82382993419708
DT,0,0,1.8050541516245486,95.89533093894305,0,2.0758122743682312,0,0,0.8729388942774006,0,0,0,0,0,19.734660033167494,0,0,0,54.43223443223443,0,1.1639185257032008,0,,61.415882134900954
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4445159215181733,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1251564455569462,0,0,,100.0
IN,0,0,0,0,0,0.36101083032490977,0,1.5686274509803921,0,0,0,0,6.9058295964125564,0.1855287569573284,63.18407960199005,83.73177842565597,1.544943820224719,0,0,0,34.96605237633366,0.16082341588935348,,54.6916829816457
JJ,0,0.273224043715847,0,0,5.949367088607595,16.15523465703971,67.73399014778325,0.39215686274509803,5.140640155189137,0,16.544117647058822,0,0.8968609865470852,1.1750154607297465,2.8192371475953566,3.7317784256559765,1.053370786516854,3.149606299212598,0,3.316645807259074,1.454898157129001,6.272113219684786,,50.074303761623526
JJR,0,0,0,0,0,0.2707581227436823,0,0,0.2909796314258002,1.1655011655011656,0.21008403361344538,0,0,0,0,0,0,0.9448818897637795,0,0,0.09699321047526674,2.122869089739466,,48.255513422131266
JJS,0,0,0,0,0.5063291139240507,0,0.24630541871921183,0,0.19398642095053348,0,1.365546218487395,0,0,0,0.8291873963515755,0,0,0.15748031496062992,0,0,0.09699321047526674,0,,46.858911745984436
MD,0,0,0,0,0,0,0,0,0,22.999222999222997,0,0,0,0,0,0,5.477528089887641,0,0,0.9386733416770965,0,0,,79.38612386484093
NN,0,0,1.444043321299639,0,64.43037974683544,52.888086642599276,6.527093596059114,0.39215686274509803,54.99515033947624,2.797202797202797,32.090336134453786,0,0.26905829596412556,6.740878169449598,0.6633499170812603,3.2653061224489797,2.7387640449438204,36.29921259842519,0.6593406593406593,6.195244055068836,4.655674102812803,9.71373431971695,,33.585041964678844
NNP,0,0,0.24067388688327318,0,1.6455696202531647,3.790613718411552,1.2315270935960592,0.39215686274509803,1.6488845780795343,1.4763014763014763,26.05042016806723,0.44493882091212456,1.6143497757847534,3.6487322201607912,0.9950248756218906,0.11661807580174927,0.42134831460674155,25.433070866141733,0,0.4380475594493116,8.389912706110572,16.05017690575748,,39.13857234526098
NNPS,0,0,0,0,0,0,0,0,0.19398642095053348,0,0,0,0,0,0,0,0.1404494382022472,0.15748031496062992,0,0,0,0,,55.50363635305033
NNS,0,0,0,0,20.253164556962027,5.866425992779783,0.24630541871921183,0,6.595538312318137,0.1554001554001554,11.397058823529411,0.22246941045606228,1.0762331838565022,4.1434755720470005,0.33167495854063017,1.1078717201166182,1.4044943820224718,9.291338582677165,0.6593406593406593,1.1264080100125156,0.38797284190106696,3.1199742682534577,,35.01089957045159
PRP,0,0,95.54753309265945,0,0,0,0,0,0,0,0,89.21023359288098,0,14.471243042671613,0,0,0,0.15748031496062992,0,0.5006257822277848,0.09699321047526674,20.360244451592152,,57.84125301166165
PRP$,0,0,0,0,0,0,0,0,0,0,0.4726890756302521,0,0,0,0,0,0,0,42.417582417582416,0,0,0,,98.85156011709194
RB,0,0,0,0,1.0126582278481013,12.093862815884476,18.96551724137931,1.045751633986928,1.3579049466537343,13.442113442113444,0.9453781512605042,0,0.4484304932735426,1.5460729746444033,2.902155887230514,0.9329446064139941,0.9831460674157303,2.9133858267716537,0,25.46933667083855,17.26479146459748,19.105821807655193,,31.404987300125846
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1251564455569462,0,0.0643293663557414,,72.81264450068427
RBS,0,0,0,0,0,0,0,0,0.8729388942774006,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,11.445198836081474,0,0,0,0,0,0,0,0,7.874015748031496,0,6.4455569461827285,0,2.3801865551624317,,51.96676093225469
TO,0,99.72677595628416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6789524733268671,0.16082341588935348,,82.19423646801327
VB,0,0,0,0,0,0.2707581227436823,0,0.522875816993464,0.9699321047526674,20.124320124320125,0.21008403361344538,0,1.6143497757847534,53.61781076066791,1.4925373134328357,0,0.42134831460674155,0.5511811023622047,0,1.6896120150187734,0.38797284190106696,0.1929880990672242,,68.12348626084288
VBD,0,0,0,0,0.37974683544303794,0.45126353790613716,0.7389162561576355,66.66666666666666,0.4849660523763337,1.8648018648018647,1.050420168067227,0,55.24663677130045,3.710575139146568,3.316749585406302,0.7580174927113703,73.03370786516854,2.047244094488189,0,14.205256570713393,0.3394762366634336,4.084914763589579,,46.38877036318266
VBG,0,0,0,0,1.2658227848101267,0.631768953068592,1.1083743842364533,0.9150326797385622,0.19398642095053348,0.2331002331002331,0.7878151260504201,0,2.1524663677130045,1.7316017316017316,2.570480928689884,2.1574344023323615,5.758426966292135,4.094488188976378,0.805860805860806,18.961201501877348,2.0853540252182348,5.886137021550337,,37.455558523049305
VBN,0,0,0,0,0,1.3537906137184115,1.354679802955665,0.9150326797385622,1.2609117361784674,0.1554001554001554,0.26260504201680673,0,0,0.8658008658008658,0.33167495854063017,1.9241982507288629,2.9494382022471908,1.811023622047244,0,16.082603254067585,0.3394762366634336,1.2544226439369572,,51.356426068414315
VBP,0,0,0,0,0,0,0,0,0,19.19191919191919,0.26260504201680673,0,0.17937219730941703,7.111935683364255,0.4975124378109453,0.46647230320699706,0.7724719101123595,0,0,2.065081351689612,0.1454898157129001,0.16082341588935348,,64.76223723996468
VBZ,0,0,0,0,1.3924050632911391,0,0,20.784313725490197,0,0,0,0,0.35874439461883406,0,0.16583747927031509,0.8163265306122449,2.0365168539325844,0.5511811023622047,0,0.5632040050062578,0.09699321047526674,0.9327758121582503,,74.41442229664062
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2503128911138924,0,1.608234158893535,,86.93762848509942
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.644034917555771,1.9620456738501126,,79.44955674880757
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964940495336121,,100.0
WRB,0,0,0,0,0,0.18050541516245489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.893307468477207,0,,98.13916859225343

Focus,100.0,99.71976555578036,96.40861996485131,95.96915451756864,69.0857820318936,57.73729232970346,71.0992935852642,73.85044666274388,58.31917768413879,43.8006172812225,46.23439602813792,99.23886423841178,76.4782885692522,55.85791276908688,65.45840059302621,84.34088885451094,73.78858083747713,46.49892096464438,68.7316301558949,37.301403736137146,41.092832698712556,32.597123979786566

Adjective,0,0.273224043715847,0,0,6.455696202531645,16.425992779783392,67.98029556650246,0.39215686274509803,5.625606207565472,1.1655011655011656,18.119747899159663,0,0.8968609865470852,1.1750154607297465,3.6484245439469323,3.7317784256559765,1.053370786516854,4.251968503937007,0,3.316645807259074,1.6488845780795343,8.394982309424252,,47.37780218340064
Adverb,0,0,0,0,1.0126582278481013,12.274368231046932,18.96551724137931,1.045751633986928,2.2308438409311346,13.442113442113444,0.9453781512605042,0,0.4484304932735426,1.5460729746444033,2.902155887230514,0.9329446064139941,0.9831460674157303,2.9133858267716537,0,25.594493116395498,27.158098933074687,19.170151174010936,,32.01689144937217
Conjunction,100.0,0,0,4.0020523345305286,0,0,0,0,0,0,0,0,0.9865470852017937,0,0,0,0,0,0,0,8.486905916585838,0,,87.93185350901179
Determiner,0,0,1.8050541516245486,95.89533093894305,0,2.0758122743682312,0,0,0.8729388942774006,0,0,0,0,0,19.734660033167494,0,0,0,54.43223443223443,0.2503128911138924,1.1639185257032008,1.608234158893535,,60.69975532115086
GrammarOther,0,0,0,0,0,0,0,0,11.445198836081474,22.999222999222997,0,0,0,0,0,0,5.477528089887641,7.874015748031496,0,7.384230287859825,0,4.824702476680605,,44.02357343952974
Noun,0,0,1.6847172081829123,0,86.32911392405063,62.54512635379061,8.004926108374384,0.7843137254901961,63.433559650824435,4.428904428904429,69.53781512605042,0.6674082313681868,2.9596412556053813,14.53308596165739,1.9900497512437811,4.4897959183673475,4.705056179775281,71.18110236220473,1.3186813186813187,7.759699624530664,13.433559650824442,28.883885493727888,,30.23931513254785
Other,0,0,0,0,0,0,0,0,10.08729388942774,0.2331002331002331,3.6764705882352944,0,0.5381165919282511,0,0,0,0,0,0,0.1251564455569462,1.1154219204655673,0.45030556449018977,,64.67169703124782
Preposition,0,99.72677595628416,0,0,0,0.36101083032490977,0,1.5686274509803921,0,0,0,0,6.9058295964125564,0.1855287569573284,63.18407960199005,83.73177842565597,1.544943820224719,0,0,0,34.96605237633366,0.16082341588935348,,47.41477205762899
Pronoun,0,0,95.54753309265945,0,0,0,0,0,0,0,0.4726890756302521,89.21023359288098,0,14.471243042671613,0,0,0,0.15748031496062992,42.417582417582416,0.5006257822277848,6.741028128031038,22.418784174975876,,48.02959925059774
Verb,0,0,0,0,3.037974683544304,2.707581227436823,3.2019704433497536,89.80392156862743,2.909796314258002,41.56954156954157,2.5735294117647056,0,59.55156950672646,67.03772418058132,8.374792703150913,6.122448979591836,84.97191011235955,9.05511811023622,0.805860805860806,53.56695869837297,3.3947623666343354,12.512061756191702,,31.32598340230997

Focus,100.0,99.69678749985968,96.11274194826724,95.63161973360147,88.211621666466,63.906474095846555,68.6975860960777,95.51779345523215,63.33427275660165,52.68367730004419,72.31157457831092,99.17766315260505,80.96080410661746,66.86273251969291,62.29324473345649,83.17315139643333,84.75023440904963,72.65285513789229,65.52154598440552,55.404981619348646,38.92327192899052,33.676378533748604

