Class,to,and,CLASS2592,CLASS2605,CLASS2613,CLASS2616,CLASS2619,CLASS2623,CLASS2625,CLASS2627,CLASS2628,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2635,CLASS2637,CLASS2638,CLASS2639,CLASS2640,CLASS2641,CLASS2643,CLASS2644,,Focus
CC,0,100.0,9.836065573770492,0,0,0,0,0,0,0,0,0,0,0,0,7.695690413368514,0,0,0,0,0,0,0.5450941526263627,,84.62360538778302
CD,0,0,0,0,0,0,0,0,0,11.97119711971197,0,0,0.9355509355509356,0,0.1841620626151013,0,0,2.4683925346177005,0,0,0.5438066465256798,0,0.29732408325074333,,73.50327127695151
DT,0,0,0,0,0,0,0,1.1261261261261262,0,5.4905490549054905,0,0,0,0,0,4.001759014951627,0,1.3847080072245637,14.926372155287817,0,2.3564954682779455,100.0,0,,77.29023023001457
EX,0,0,0,0,0,0,0,5.7057057057057055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12040939193257075,0,0,0,0,0,,100.0
IN,0,0,0,60.13245033112583,0,0,1.3972055888223553,0.15015015015015015,1.5028901734104045,0,0,0,0,0,0,31.75021987686895,0,0.2408187838651415,76.70682730923694,0,0,0,34.04360753221011,,49.22284936336258
JJ,0,0,0,1.0596026490066226,6.635622817229336,2.3578363384188625,0.998003992015968,0.9009009009009009,0,3.7803780378037803,0,7.627829002514669,0,49.184782608695656,1.780233271945979,0.30782761653474056,3.813953488372093,16.315472606863334,2.4096385542168677,18.23394495412844,3.3232628398791544,0,3.5678889990089195,,42.13525752845452
JJR,0,0,0,0,0.23282887077997672,0,0,0,0,0.27002700270027,0,0,0,0,0.9208103130755065,2.8144239226033423,1.1162790697674418,0.12040939193257075,0,0.40137614678899086,0,0,0,,51.666043482722934
JJS,0,0,0,0,0.23282887077997672,0,0,0,0,0,0,0,0,0,0,0.08795074758135445,1.5813953488372092,0,0.6693440428380187,0.8600917431192661,0,0,0.09910802775024777,,51.952525792346464
MD,0,0,0,0,0,0,0,0,0,0,0,1.2573344509639564,0,0,22.958870472682626,0,0,0,0,0,0,0,0,,94.71400024226276
NN,0,0,6.431273644388398,6.225165562913907,60.768335273573925,4.854368932038835,4.39121756487026,2.7027027027027026,0.46242774566473993,50.67506750675067,0,7.041072925398156,3.6382536382536386,41.1231884057971,2.271332105586249,4.881266490765172,43.16279069767442,13.606261288380495,1.1378848728246318,35.837155963302756,11.48036253776435,0,0.6937561942517344,,29.75244563626505
NNP,0,0,0.25220680958385877,0,1.5133876600698486,6.934812760055478,0.8982035928143712,4.2042042042042045,0,1.5301530153015301,0.9623797025371827,0.3352891869237217,40.228690228690226,1.358695652173913,1.043585021485574,5.452946350043975,23.069767441860463,10.957254665863937,0.33467202141900937,28.49770642201835,2.7794561933534743,0,1.0901883052527255,,38.4681871003159
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18604651162790697,0,0,0.11467889908256881,0.12084592145015105,0,0,,56.69460631815137
NNS,0,0,3.0264817150063053,2.119205298013245,22.0023282887078,3.744798890429958,0.19960079840319359,0.7507507507507507,0,7.110711071107111,0.17497812773403326,1.8440905280804691,0,1.5398550724637683,0,0.6596306068601583,12.0,3.3714629741119806,0.13386880856760375,9.403669724770642,6.948640483383686,0,0.9415262636273538,,33.27364461730034
PRP,0,0,0,0,0,14.701803051317613,0,59.60960960960961,0,0,70.16622922134734,0.6705783738474435,54.98960498960499,0,0,0,0,0,0,0,14.259818731117823,0,0,,47.50388389938218
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8372093023255814,0,0,0,34.98489425981873,0,0,,97.58456938457343
RB,0,0,2.1437578814627996,0.26490066225165565,0.6984866123399301,1.8030513176144243,16.56686626746507,12.687687687687689,0,0.9000900090009001,0,18.189438390611905,0,0.8152173913043478,10.804174340085943,24.142480211081793,2.3255813953488373,30.583985550872967,2.3427041499330654,0.7454128440366973,3.8670694864048336,0,0.9415262636273538,,32.52737551747836
RBR,0,0,0,0,0,0,0,0,0,0,0,0.3352891869237217,0,0,0,0,0,0,0,0,0,0,0,,100.0
RBS,0,0,0,0,0,0,0,0,0,0.8100810081008101,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,26.887417218543046,0,0,0,0,0,10.621062106210621,0,0,0,0,0,0,0,4.455147501505118,0,0,0,0,0,,68.00728481264021
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,1.0510510510510511,0,0,0,0,0,0,0,0,0,0.30102347983142685,0,0,0,0,0,,79.88275322299903
VB,0,0,0.25220680958385877,0,0,44.24410540915395,53.59281437125748,0,0.23121387283236997,0.9000900090009001,0.4374453193350831,1.6764459346186085,0,0,15.65377532228361,1.3192612137203166,0,0.5418422636965683,0.13386880856760375,0,1.3897280966767371,0,1.1397423191278493,,56.08173012917958
VBD,0,0,68.09583858764186,0,0.3492433061699651,1.1095700416088765,8.582834331337326,0.15015015015015015,88.32369942196532,0.27002700270027,0,8.130762782900252,0,0.36231884057971014,16.63597298956415,0,1.7674418604651163,6.742925948223961,0.13386880856760375,1.2041284403669725,3.0211480362537766,0,37.01684836471754,,45.802125331202134
VBG,0,0,6.0529634300126105,1.3245033112582782,1.8626309662398137,1.1095700416088765,2.095808383233533,0.15015015015015015,2.0809248554913293,1.4401440144014401,0,29.840737636211234,0.2079002079002079,0.6340579710144928,0.7366482504604052,1.1433597185576077,2.3255813953488373,2.4683925346177005,0.535475234270415,0.286697247706422,9.607250755287009,0,3.3201189296333005,,44.74478809599932
VBN,0,0,2.01765447667087,1.7218543046357615,0.8149010477299184,1.6643550624133148,10.578842315369261,0.15015015015015015,1.1560693641618496,0.9900990099009901,0,13.66303436714166,0,0.9963768115942028,0.12277470841006752,0,1.5813953488372092,2.9500301023479834,0,0.286697247706422,1.0876132930513596,0,1.4866204162537164,,39.41194057105843
VBP,0,0,0,0.26490066225165565,0.3492433061699651,15.672676837725383,0.29940119760479045,0.22522522522522523,1.2716763005780347,0,0,2.7661357921207044,0,0,14.978514426028239,0,0,0.2408187838651415,0,0.17201834862385323,0,0,0.7928642220019821,,56.628138842300835
VBZ,0,0,0.7566204287515763,0,1.3969732246798603,0,0,0.3003003003003003,2.0809248554913293,0.45004500450045004,0,2.8499580888516345,0,0,0.12277470841006752,0,0.18604651162790697,0.30102347983142685,0,0.11467889908256881,0.36253776435045315,0,8.424182358771061,,50.514364574905045
WDT,0,0,0,0,0,0,0,3.7537537537537538,0,0,0,0.3352891869237217,0,0,0,0,0,0,0,0,0,0,0,,91.79379063796515
WP,0,0,0,0,0,0,0,4.57957957957958,0,0,0,0,0,0,0,6.024626209322779,0,0,0,0,0,0,0,,69.78392885892778
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1806140878988561,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18115942028985507,0,8.970976253298153,0,0,0,0,0,0,0,,97.95056506393792

Focus,100.0,100.0,69.3191675999276,65.08760967920327,66.03594403403235,49.11955706833046,56.63954181502222,61.551050514361435,90.78018259375686,53.9536398634399,97.75658537779412,38.71536194256867,67.17095225567176,65.56462356494413,39.731600775463505,40.69878272695336,52.20512011116901,38.35496153826278,77.99503619692767,50.291891557759584,40.943137695958136,100.0,52.563857852565675

Adjective,0,0,0,1.0596026490066226,7.1012805587892895,2.3578363384188625,0.998003992015968,0.9009009009009009,0,4.05040504050405,0,7.627829002514669,0,49.184782608695656,2.701043585021486,3.2102022867194373,6.511627906976744,16.435881998795907,3.0789825970548863,19.495412844036696,3.3232628398791544,0,3.666997026759167,,39.146927008195995
Adverb,0,0,2.1437578814627996,0.26490066225165565,0.6984866123399301,1.8030513176144243,16.56686626746507,12.687687687687689,0,1.7101710171017102,0,18.524727577535625,0,0.9963768115942029,10.804174340085943,33.113456464379944,2.3255813953488373,30.583985550872967,2.3427041499330654,0.7454128440366973,3.8670694864048336,0,0.9415262636273538,,33.544592608529946
Conjunction,0,100.0,9.836065573770492,0,0,0,0,0,0,0,0,0,0,0,0,7.695690413368514,0,0,0,0,0,0,0.5450941526263627,,84.62360538778302
Determiner,0,0,0,0,0,0,0,4.87987987987988,0,5.4905490549054905,0,0.3352891869237217,0,0,0,4.001759014951627,0,1.3847080072245637,14.926372155287817,0,2.3564954682779455,100.0,0,,74.8263023712305
GrammarOther,0,0,0,26.887417218543046,0,0,0,5.7057057057057055,0,10.621062106210621,0,1.2573344509639564,0,0,22.958870472682626,0,0,4.455147501505118,0,0,0,0,0,,49.11092772546971
Noun,0,0,9.709962168978562,8.344370860927153,84.28405122235156,15.533980582524272,5.489021956087825,7.657657657657658,0.46242774566473993,59.31593159315931,1.137357830271216,9.220452640402346,43.86694386694386,44.02173913043478,3.314917127071823,10.993843447669306,78.4186046511628,27.93497892835641,1.606425702811245,73.8532110091743,21.329305135951664,0,2.725470763131814,,26.003691539460522
Other,0,0,0,0,0,0,0,1.0510510510510511,0,11.97119711971197,0,0,0.9355509355509356,0,0.1841620626151013,0,0,2.889825406381698,0,0,0.5438066465256798,0,0.29732408325074333,,67.73053892039864
Preposition,100.0,0,0,60.13245033112583,0,0,1.3972055888223553,0.15015015015015015,1.5028901734104045,0,0,0,0,0,0,31.75021987686895,0,0.2408187838651415,76.70682730923694,0,0,0,34.04360753221011,,44.34255084475894
Pronoun,0,0,0,0,0,14.701803051317613,0,64.1891891891892,0,0,70.16622922134734,0.6705783738474435,54.98960498960499,0,0,6.024626209322779,0.8372093023255814,0.1806140878988561,0,0,49.244712990936556,0,0,,42.525973953505925
Verb,0,0,77.17528373266077,3.3112582781456954,4.772991850989523,63.8002773925104,75.1497005988024,0.975975975975976,95.14450867052024,4.05040504050405,0.4374453193350831,58.9270746018441,0.2079002079002079,1.9927536231884058,48.250460405156545,2.4626209322779244,5.86046511627907,13.24503311258278,0.8032128514056225,2.064220183486239,15.468277945619336,0,52.18037661050545,,28.634793938706597

Focus,100.0,100.0,76.69346806823499,61.64982359254962,85.96449466943051,64.16009575449166,74.55681933281177,62.91127653293992,97.76363662944604,58.34770219529483,97.57435545108541,60.072789459423426,66.24100692997963,64.23793563190495,56.20118902368011,39.28430123937565,82.0591075511393,38.186804822159814,75.94627993740465,76.84820986630567,51.74411791641538,100.0,61.28968299188327

