Class,CLASS2224,CLASS2595,CLASS2596,CLASS2607,CLASS2609,CLASS2613,CLASS2620,CLASS2621,CLASS2622,CLASS2623,CLASS2625,CLASS2626,CLASS2629,CLASS2631,CLASS2632,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2638,CLASS2639,CLASS2640,CLASS2641,CLASS2643,,Focus
CC,97.6510067114094,1.4341590612777053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9467321496033247,7.331378299120235,0,,89.11181684386719
CD,0,0.7822685788787485,0,0,0,13.147914032869783,0,0,0,2.4807527801539777,0,0,0,1.0011123470522802,2.523076923076923,0.7328990228013029,0,0,0,0.21008403361344538,0,0,0,0,,63.684534125880546
DT,0,0,0,0,0,1.1378002528445006,0,0,0,0,1.3297872340425532,0,0,2.6696329254727478,0,0,15.917201998572446,0,0,0,0,96.10880241783151,3.812316715542522,0.5432814197754438,,79.30361722911483
EX,0,0,0,0,10.354223433242508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14992503748125938,0,0,0,,100.0
IN,0,3.650586701434159,0,0.43907793633369924,0,0,4.601571268237935,0,0,0,0,0.8547008547008548,0,0,0,0,0.4996431120628123,0.39556962025316456,92.14285714285714,0,1.3493253373313343,0,32.25806451612903,40.92720028975009,,57.490116427354856
JJ,0,0,61.89320388349514,14.928649835345773,0,0,7.07070707070707,6.164383561643835,0.9864364981504316,8.810949529512403,8.067375886524824,0,0,5.89543937708565,9.661538461538461,2.198697068403909,2.9264810849393292,17.484177215189874,0,2.380952380952381,1.5742128935532234,0,0.3351487222454964,3.2959072799710247,,40.80144318645208
JJR,0,0,0,0,0,0,0,0,0,0.2566295979469632,0,0,0,0,0.43076923076923074,5.374592833876222,0,0.949367088607595,0,1.050420168067227,0,0,0.0837871805613741,0,,66.81333755685472
JJS,0,0,0,0.21953896816684962,0,0,0,0.273972602739726,0,0,0,0,0,0,0.9230769230769231,0,0.7137758743754461,1.3449367088607596,0,0,0,0,0.0837871805613741,0,,47.79349713140687
MD,0,0,0,0,0,0,1.6835016835016834,0,0,0,0,9.523809523809524,0,0,0,0,0,0,0,20.72829131652661,0,0,0,0,,70.1302665943744
NN,0,0.651890482398957,9.587378640776699,59.49506037321625,1.3623978201634876,0,8.417508417508419,60.54794520547945,3.45252774352651,57.57057313943541,1.0638297872340425,0.9768009768009768,0,21.913236929922135,27.323076923076922,9.527687296416937,0.8565310492505354,46.677215189873415,4.017857142857143,2.5910364145658265,8.470764617691154,0.34000755572346053,4.063678257226645,0.8692502716407098,,30.62815303028531
NNP,0,1.955671447196871,0,3.4028540065861685,0,0,0.7856341189674524,1.7808219178082192,0.2466091245376079,1.6253207869974338,0,0.2442002442002442,0.44493882091212456,5.3392658509454956,38.03076923076923,44.381107491856675,0.21413276231263384,11.39240506329114,0.17857142857142858,0.350140056022409,4.422788605697151,0,7.121910347716799,0.6519377037305324,,45.96194364409711
NNPS,0,0,0,0,0,0,0,0,0.2466091245376079,0,0,0,0,0,0.12307692307692308,0,0,0.15822784810126583,0,0,0,0,0,0,,57.85192375760319
NNS,0,1.0430247718383312,0.9708737864077669,4.829857299670691,0,0,0.7856341189674524,21.36986301369863,3.3292231812577064,8.468776732249786,0.26595744680851063,0.2442002442002442,0.22246941045606228,11.67964404894327,12.615384615384615,0.16286644951140067,0.14275517487508924,10.838607594936708,0,0.1400560224089636,4.497751124437781,0.11333585190782018,0.20946795140343527,0.398406374501992,,33.21864519078463
PRP,0,0,0,0,72.0708446866485,10.619469026548673,0.8978675645342313,0,0,0,70.39007092198581,0,89.21023359288098,16.907675194660733,0,0,0,0,0,0,7.946026986506746,0,0,0,,47.56333352808121
PRP$,0,0,0,0,0,73.19848293299621,0,0,0,0,0,0,0,0,0,0,0.6423982869379015,0,0,0,0,0,0,0,,99.09601014435717
