Class,to,CLASS2524,CLASS2592,CLASS2596,CLASS2597,CLASS2603,CLASS2613,CLASS2615,CLASS2618,CLASS2622,CLASS2623,CLASS2624,CLASS2626,CLASS2627,CLASS2629,CLASS2630,CLASS2631,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2639,CLASS2640,CLASS2641,CLASS2642,,Focus
CC,0,99.79013641133263,1.3994910941475827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13317892298784,0,0,,89.67432908706814
CD,0,0,0.7633587786259541,0,0,0,0,0,2.8656126482213438,0,0,0,1.1406844106463878,0,0,0,3.3400133600534407,0,0,0,0.20394289598912305,0,0,0,7.017543859649122,,52.05251265377466
DT,0,0,0,0,0,0,0,0,0,0,1.7162471395881007,93.5935935935936,0,0,0,0,0.7348029392117569,0,0,16.057838660578387,0,1.4492753623188406,5.269253039953677,0,47.233468286099864,,62.01066727154944
EX,0,0,0,0,0,0,0,0,0,0,8.695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1260239445494644,0,0,0,,100.0
IN,0,0,4.198473282442748,0,86.89427312775331,0.33003300330033003,0,89.3387314439946,0,0.1813236627379873,0,0,5.196451204055767,0,0,0,0.26720106880427524,0,0,58.143074581430746,0,0,42.32773595830921,0.634455832113226,0,,46.88343426915219
JJ,0,0,0,6.25,4.955947136563877,0.44004400440044,60.704960835509134,0,7.707509881422925,8.250226654578423,0,1.7017017017017018,6.590621039290241,0.5072463768115941,2.054054054054054,1.7664376840039255,3.3400133600534407,17.736486486486484,10.359408033826638,0.45662100456621,2.311352821210061,13.988657844990549,0.6369426751592357,0.7320644216691069,0,,41.0275486254006
JJR,0,0,0,0,0,0,0,0,0.2964426877470355,0.1813236627379873,0,0,0,0,0,6.280667320902846,0.2004008016032064,0.22522522522522523,0,0,1.8354860639021073,0.1260239445494644,0,0,0,,70.3130709296707
JJS,0,0,0,0.5555555555555556,0,0,0,0,0,0,0,0.5005005005005005,0.25348542458808615,0,0,0.39254170755642787,0,1.4639639639639639,0,0,0,0,0.11580775911986102,0,0,,49.20378080582422
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5856236786469344,0,20.122365737593473,0,0,3.806734992679356,0,,79.58890589342532
