Class,to,and,CLASS2482,CLASS2554,CLASS2579,CLASS2581,CLASS2600,CLASS2609,CLASS2611,CLASS2612,CLASS2613,CLASS2618,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2627,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2637,CLASS2639,CLASS2640,CLASS2641,,Focus
CC,0,100.0,0,0,0,0,0,4.0226921093347086,1.3173652694610778,0,0,9.892594686263426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,86.7343863376105
CD,0,0,0,0,0,0,0,0,0,14.66854724964739,0,0,0,0.5429864253393665,0,1.1264080100125156,0,0,0,0,2.682701202590194,0.6880733944954129,1.4089347079037802,0.1986754966887417,0,0,,69.15504430232656
DT,0,0,100.0,0,0,1.8337408312958436,0,94.37854564208354,0,1.2693935119887165,2.3734177215189876,5.144149236856981,0,0,1.631116687578419,0,26.867469879518076,0,0,0,1.0175763182238668,0,0,0,0,0,,57.61576788019116
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81039755351682,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0.2564102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0,0,3.993610223642172,0,0,0.5128205128205128,0,9.221556886227544,0,0,6.048615036743923,82.1954484605087,2.0814479638009047,0,29.411764705882355,32.28915662650602,0,0,0,0,0,0,0,0.3251277287505806,87.467498699948,,47.56354766129244
JJ,0,0,0,0.3194888178913738,1.9011406844106464,0,1.6666666666666667,0,0.47904191616766467,0.2820874471086037,2.689873417721519,2.2046353872244207,0.2677376171352075,0.7239819004524887,3.5131744040150563,4.380475594493117,5.1807228915662655,0,45.10514865844815,5.838509316770186,13.043478260869565,1.6055045871559634,12.61168384879725,0.13245033112582782,7.0599163957268924,2.548101924076963,,41.45103551128388
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21754894851341552,0.2484472049689441,0,5.045871559633028,0.6529209621993127,0.9933774834437087,0,0,,71.25102822458011
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0.2677376171352075,0,0,0,1.2048192771084338,0,0.145032632342277,0.2484472049689441,0,0,1.0996563573883162,0,0,0,,54.119411068308374
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8820577164366372,0,0,0,0,0,0,0,0,24.7682119205298,0,0,,92.92376945462574
