Class,to,CLASS71,CLASS2481,CLASS2598,CLASS2600,CLASS2602,CLASS2603,CLASS2605,CLASS2606,CLASS2612,CLASS2615,CLASS2616,CLASS2617,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2631,CLASS2632,CLASS2634,CLASS2635,CLASS2637,CLASS2638,CLASS2639,CLASS2640,,Focus
CC,0,99.77142857142857,0,11.659192825112108,0,1.390644753476612,0,0,12.934220251293421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79.70148775368303
CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.71004243281471,0.3474232773595831,2.9896907216494846,0,0,0,2.717391304347826,0,0,0.6311360448807855,0,0.20161290322580644,,69.3448908225719
DT,0,0,100.0,0,0,0,0,98.61396303901438,0,0,0,0,0,0,1.726121979286536,1.272984441301273,0,0,0,0,0,0,0,0,17.321178120617112,0.946969696969697,0,,62.59136860433902
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.745684695051784,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0.19047619047619047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0,0,0,0,4.171934260429835,84.5350052246604,0,13.377679231337769,0,0.8805031446540881,0.38095238095238093,90.88145896656535,0,0,0,7.122177185871453,0,0,0,0,0,0,0,0,81.25,0,,50.09240284612269
JJ,0,0,0,2.9895366218236172,0,0.5056890012642226,5.6426332288401255,0,0.14781966001478197,10.232558139534884,0.37735849056603776,7.142857142857142,0.4559270516717325,55.611222444889776,0,0,1.447596988998263,4.948453608247423,0,6.61764705882353,11.595866819747416,10.48913043478261,15.575221238938052,0.9206798866855523,6.311360448807854,0.5050505050505051,2.083333333333333,,39.69398133783972
JJR,0,0,0,0,0,0,0,0,0,1.8604651162790697,0,0,0,0,0,0,0,0.30927835051546393,0,0.24509803921568626,0,0,4.3067846607669615,0,0,0,1.0080645161290323,,60.3697502975563
JJS,0,0,0,0,0,0,0,0,0,0.6201550387596899,0,0,0.303951367781155,0.2004008016032064,0,0,0,0.2061855670103093,0,0.24509803921568626,0,0.10869565217391304,1.415929203539823,0,0.7012622720897616,0,0,,43.16291856962779
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7221584385763489,0,0,5.524079320113314,0,0,19.892473118279568,,75.2787438366337
NN,0,0,0,2.391629297458894,2.801120448179272,0.37926675094816686,0.8359456635318705,0.4620123203285421,3.5476718403547673,51.31782945736434,0,46.85714285714286,4.86322188449848,34.06813627254509,0.5753739930955121,0,6.601042269832079,59.896907216494846,0,62.745098039215684,7.462686567164178,6.956521739130435,29.67551622418879,2.903682719546742,14.165497896213184,2.7777777777777777,4.368279569892473,,30.072551867016777
NNP,0,0,0,0,0.5602240896358543,1.1378002528445006,0.6269592476489028,0,15.003695491500368,5.271317829457364,0.25157232704402516,31.71428571428571,0.60790273556231,1.903807615230461,0.23014959723820483,0,0.9264620729588882,1.5463917525773196,0.9482758620689655,1.5931372549019607,0.2296211251435132,25.76086956521739,27.90560471976401,0.424929178470255,3.716690042075736,0.4419191919191919,1.2768817204301075,,38.95463982606432
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2359882005899705,0.141643059490085,0,0,0,,71.63644888194955
NNS,0,0,0,0.5979073243647235,0,1.0113780025284451,0.522466039707419,0.4620123203285421,0.4434589800443459,17.209302325581397,0,6.857142857142858,1.6717325227963524,1.2024048096192386,0,0,3.7058482918355526,8.45360824742268,0,19.852941176470587,1.2629161882893225,1.0326086956521738,9.734513274336283,1.4872521246458925,8.695652173913043,0.12626262626262627,0,,32.88793900348977
PRP,0,0,0,0,92.85714285714286,0,0,0,0,0,0,0,0,0,75.9493670886076,0,6.137811233352634,0,69.13793103448276,0,0.9184845005740528,0,0,0,16.54978962131837,0,0,,50.72463151989383
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.8953323903819,0.5211349160393747,0,0,0,0,0,0,0,0,0,0,,99.3453704742419
RB,0,0,0,39.76083707025411,0,0.37926675094816686,1.044932079414838,0,25.79453067257945,1.2403100775193798,1.6352201257861636,1.2380952380952381,0.303951367781155,0.7014028056112225,0,0,10.01737116386798,1.134020618556701,1.6379310344827587,1.3480392156862746,13.777267508610791,37.173913043478265,1.238938053097345,2.26628895184136,5.189340813464235,0.12626262626262627,12.096774193548388,,36.37988498209288
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2296211251435132,0,0,0,0.1402524544179523,0,0,,71.48999336021761
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9278350515463918,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.164948453608247,0,0,0,4.021739130434782,0,0,7.012622720897616,6.502525252525253,0,,51.228517810301256
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,1.9607843137254901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2717391304347826,0,0,0,0,0,,88.20264529559645
VB,0,0,0,1.345291479820628,0,1.8963337547408345,0,0,0.5912786400591279,0.7751937984496124,0.5031446540880503,0.19047619047619047,0,0.7014028056112225,0,0,45.04921829762594,1.0309278350515463,0.43103448275862066,0,1.4925373134328357,0.3804347826086957,0,5.736543909348442,1.1220196353436185,0.8838383838383838,17.6747311827957,,59.23177108401131
VBD,0,0,0,10.31390134529148,0,77.87610619469027,1.8808777429467085,0,0.6651884700665188,2.7906976744186047,66.66666666666666,0.7619047619047619,0,0.4008016032064128,0,0,5.790387955993052,0,0,0.3676470588235294,21.92881745120551,6.195652173913044,1.12094395280236,65.43909348441926,2.524544179523142,2.6515151515151514,1.881720430107527,,42.812513111027805
