Class,to,and,CLASS2477,CLASS2571,CLASS2574,CLASS2588,CLASS2592,CLASS2594,CLASS2599,CLASS2607,CLASS2609,CLASS2612,CLASS2614,CLASS2616,CLASS2618,CLASS2621,CLASS2625,CLASS2626,CLASS2627,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2638,CLASS2639,,Focus
CC,0,100.0,0,0,0,0,0,0,0,25.147058823529413,4.004106776180698,0,0.5698005698005698,1.694915254237288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,77.62541812248541
CD,0,0,0,0,0,0,16.149068322981368,0,0,0,0,0,0,0,0,0,0,0,2.0644511581067473,0.2025658338960162,0,2.920443101711984,0,0.9009009009009009,0,0,0.4669260700389105,0,,71.79837257399814
DT,0,0,100.0,0,0,0,1.3975155279503106,0,0,0,93.94250513347022,0,12.962962962962962,6.00924499229584,0,27.805486284289277,0,1.7142857142857144,0,0,0,0,0,0,0,0,0,0,,55.53885898603789
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.685714285714285,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09165902841429881,0,0,0,,100.0
IN,0,0,0,78.45934379457917,0,0,0,0,1.1734028683181226,17.794117647058822,0,0.1941747572815534,0,37.750385208012325,92.71317829457364,52.7431421446384,0,0,0,0,0,0,39.943741209563996,0,0.32080659945004586,39.13373860182371,0.311284046692607,0,,37.64303835091867
JJ,0,0,0,6.134094151212553,3.8745387453874542,64.82861400894187,0,25.578034682080926,19.295958279009128,0.29411764705882354,0.3593429158110883,8.83495145631068,4.131054131054131,0,0,5.236907730673317,5.291005291005291,0,14.400805639476335,0.4726536124240378,4.541326067211625,7.049345417925479,1.4767932489451476,3.3533533533533535,1.5582034830430798,0.7598784194528876,1.4785992217898831,0,,38.53573035391496
JJR,0,0,0,0,0,0,0,0,0.9126466753585397,0,0,0.1941747572815534,0,0,0,0,0,0,0,1.8230925050641458,0,0.3021148036253776,0,0,3.0247479376718607,0,0,0,,56.4673640270692
JJS,0,0,0,0,1.6605166051660518,0,0,0.2890173410404624,0,0,0.10266940451745381,0,0,0,0.31007751937984496,1.2468827930174564,0.21164021164021166,0,1.0574018126888218,0,0,0,0,0,0,0,0,0,,45.80855570995426
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9864956110736,1.3623978201634876,0,0,0,3.5747021081576533,0,0,0,,80.88710555761298
