Class,to,CLASS1284,CLASS2471,CLASS2526,CLASS2570,CLASS2586,CLASS2593,CLASS2601,CLASS2605,CLASS2606,CLASS2607,CLASS2613,CLASS2615,CLASS2617,CLASS2621,CLASS2622,CLASS2623,CLASS2625,CLASS2626,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2638,,Focus
CC,0,0,0,99.79013641133263,0,0,0,0,1.3349514563106795,0,0,0,0,0,0,0,0,8.63344844597928,0,0,0,0,0,0,0,0,0,0,0,,90.93815691599893
CD,0,0,0,0,0,0,0,0,0.7281553398058253,14.71004243281471,0,0,0,0,0,0,0,0,0,3.837298541826554,0,0,0.7182761372705506,0,0,0,0,0,2.43161094224924,,67.4230805367872
DT,0,0,100.0,0,0,0,0,0,0,1.272984441301273,0,0,0,0,0,0,1.726121979286536,0,0,2.1488871834228704,1.2331838565022422,0,0,0,93.8726663475347,17.296786389413988,0,0,0,,61.86633069781984
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.745684695051784,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1519756838905775,,100.0
IN,0,98.84836852207293,0,0,0,0,0,77.41228070175438,9.344660194174757,0,0.261437908496732,94.36997319034852,0,0,0,1.6,0,36.06314750863345,0,18.49577897160399,0,0,0,3.396851698425849,0,0,0.2896451846488052,0.5766062602965404,0,,44.724245080521854
JJ,0,0,0,0,4.737732656514383,2.394106813996317,65.61210453920219,5.701754385964912,0,0,0,0.2680965147453083,6.122448979591836,2.4691358024691357,19.334975369458128,0.9142857142857144,0,0.493339911198816,0,5.525709900230238,4.820627802690583,2.7210884353741496,4.549082202713488,1.4913007456503728,1.6275730014360938,1.9848771266540641,23.316437364228822,0,3.571428571428571,,43.65838790481412
JJR,0,0,0,0,0,0,0,0,0,0,0.261437908496732,0,0,0,0,0,0,0,0,0,0.336322869955157,1.2755102040816326,0.39904229848363926,0,0,0,0.2896451846488052,0,5.775075987841945,,70.13043417208257
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0.5442176870748299,0,1.8472906403940887,0,0,0.09866798223976321,0,0,0.2242152466367713,0,0,0,0.47869794159885115,0,0,0,0,,60.85989917363872
MD,0,0,0,0,2.5380710659898478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.561224489795919,0,0,0,0,0,15.733113673805601,0,,64.28073582531995
NN,0,0,0,0,9.475465313028765,2.394106813996317,7.4277854195323245,1.2061403508771928,0.3640776699029126,0,3.7908496732026142,0.2680965147453083,60.952380952380956,21.340388007054674,31.527093596059114,9.37142857142857,0.5753739930955121,4.884065120868279,0,8.902532617037604,62.33183856502242,3.316326530612245,11.1731843575419,2.4026512013256007,1.1488750598372426,2.551984877126654,44.170890658942795,0,44.30091185410334,,29.90742559739552
NNP,0,0,0,0,0.338409475465313,0.9208103130755065,0,0.8771929824561403,0.6067961165048543,0,5.359477124183006,0.2680965147453083,1.7687074829931975,3.527336860670194,33.497536945812804,1.0285714285714285,0,8.830784410458806,0.9623797025371827,2.83960092095165,1.905829596412556,1.445578231292517,38.22825219473264,0.16570008285004142,0.14360938247965532,0.28355387523629494,3.113685734974656,0,20.13677811550152,,41.01975623008064
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16570008285004142,0,0,0,0,0.303951367781155,,72.59594237033416
NNS,0,0,0,0,1.5228426395939088,7.366482504604052,0,0.5482456140350876,1.2135922330097086,0,0,0.5361930294906166,22.312925170068027,14.462081128747794,7.0197044334975365,2.857142857142857,0,0.5920078934385792,0.17497812773403326,6.983883346124328,8.295964125560538,0.17006802721088435,1.1971268954509178,1.8227009113504555,0.23934897079942558,0.8506616257088847,2.896451846488052,0,12.386018237082066,,30.943705451606636
PRP,0,0,0,0,1.353637901861252,19.521178637200737,0,0,0,0,86.66666666666667,0,0,40.917107583774246,0,0,75.9493670886076,0,70.16622922134734,0.3069838833461243,0,0,0,0,0,0,0,0,0,,45.343184400804816
PRP$,0,0,0,0,0,0,0,0,0,81.8953323903819,0,0,0,0,0.5541871921182266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,99.30611305220701
RB,0,0,0,0,18.95093062605753,2.578268876611418,20.907840440165064,1.3157894736842104,0.3640776699029126,0,0.39215686274509803,0,1.0884353741496597,0.3527336860670194,0.49261083743842365,1.2571428571428571,0.23014959723820483,17.06956092747903,0,16.270145817344588,1.345291479820628,14.45578231292517,24.341580207501995,1.2427506213753108,1.675442795595979,28.92249527410208,18.82693700217234,0.4942339373970346,0.303951367781155,,28.431335881424737
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3527336860670194,0,0,0,0,0,0,0,0,0,0,0,0,0.1448225923244026,0,0,,75.66810860845814
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0089686098654709,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35379892555641,13.228699551569505,0,0,0,0,9.735349716446125,0,0,0,,56.22714501147268
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,1.8300653594771243,0,0,0,0,0,0,0,0,0,0,0,0.39904229848363926,0,0,0,0,0,0,,83.40058882749844
