Class,to,and,CLASS2396,CLASS2480,CLASS2560,CLASS2589,CLASS2593,CLASS2599,CLASS2600,CLASS2601,CLASS2602,CLASS2603,CLASS2604,CLASS2606,CLASS2607,CLASS2609,CLASS2613,CLASS2618,CLASS2620,CLASS2623,CLASS2625,CLASS2627,CLASS2629,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,,Focus
CC,0,100.0,0,0,0,0,0,0,0,0,0,0,4.0393578456758155,0,0,0,0,0,0,0,0,0,1.1144883485309016,0,19.886363636363637,0,0,0,0,0,,80.90043559051928
CD,0,0,0,0,0,5.196451204055767,0,0,0,0,5.631067961165048,0,0,0,0,14.857142857142858,0,1.5100671140939599,0,0,0.36991368680641185,0,0.60790273556231,0,0,0.5976095617529881,0,0,0,0,,56.45330359553068
DT,0,0,0,100.0,0,0,1.744186046511628,0,0,0,0,0,94.76954945624028,0,0,0,0,6.543624161073826,8.88671875,16.241806263656226,0,0,0,0,0,0,0,1.1728709841917389,0,0.5169442848937392,,58.71507820473316
EX,0,0,0,0,0,0,0,0,0,10.540915395284326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0.27932960893854747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0,99.28057553956835,0,0,0,0,86.20283018867924,0,0,0,0,0,0,0,0,0,0,61.71875,47.99708667152222,0,0.16406890894175555,23.404255319148938,6.757594544327341,11.25,0.33200531208499334,0.301659125188537,0,0.7919366450683946,0.402067777139575,,42.7973118778776
JJ,0,0,0,0,10.412926391382406,29.150823827629914,0,5.306603773584905,0,0,4.466019417475728,68.86792452830188,0,6.437768240343347,4.9079754601226995,0,0,5.87248322147651,0.68359375,2.9133284777858703,4.192355117139334,0.3281378178835111,0,1.301921884686919,1.8181818181818181,4.316069057104914,17.722473604826547,4.946455889852117,0.7199424046076314,9.99425617461229,,39.8037119617224
JJR,0,0,0,0,0.5385996409335727,0,0,0,0,0,0,0,0,0.28612303290414876,0,0,0,0,0,0,3.3292231812577064,0,0,0,0,4.581673306772909,0,0.2039775624681285,0,0,,62.13480637929568
JJS,0,0,0,0,0,0.7604562737642585,0,0,0,0,0,0.3144654088050315,0,0.5722460658082975,0,0,0,0,0.1953125,0.7283321194464676,0,0,0,0,0,0,0,1.2238653748087711,0,0,,43.14502621439176
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.619217081850536,0,0,0,4.192355117139334,0,0,0,0,0,0,0,5.615550755939525,0.8615738081562321,,81.62535016332424
NN,0,0,0,0,54.219030520646314,11.787072243346007,2.3255813953488373,0.2358490566037736,7.402234636871509,0.6934812760055479,60.970873786407765,2.6729559748427674,0.4660797514241326,59.65665236051502,22.85276073619632,0,0,10.06711409395973,3.125,4.515659140568099,7.644882860665844,0.6562756357670222,0.303951367781155,6.6336019838809674,5.0,8.03452855245684,46.53092006033182,46.86384497705253,2.663786897048236,6.0884549109707065,,28.821228011931137
NNP,0,0,0,0,0.8976660682226212,39.29024081115336,0.46511627906976744,0.7075471698113208,0,0,2.3300970873786406,1.5723270440251573,0,1.859799713876967,3.374233128834356,0,0,5.5369127516778525,0.5859375,0.3641660597232338,0.6165228113440198,4.5118949958982775,0.7092198581560284,4.277743335399876,7.386363636363637,35.723771580345286,7.46606334841629,21.927587965323813,0.28797696184305255,0.402067777139575,,38.7042067067383
NNPS,0,0,0,0,0,0.25348542458808615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2039775624681285,0,0,,69.91542222400122
NNS,0,0,0,0,3.949730700179533,8.99873257287706,0,0.589622641509434,3.6312849162011176,0,14.174757281553399,0,0.15535991714137753,21.45922746781116,8.742331288343557,0,0,10.234899328859061,1.26953125,0.43699927166788055,0.2466091245376079,0.7383100902378998,1.0131712259371835,3.781773093614383,0,1.6600265604249667,2.48868778280543,12.136664966853646,0.5759539236861051,0.8615738081562321,,29.856946251624233
PRP,0,0,0,0,0,0,92.32558139534883,0,0,73.37031900138696,0,0,0,0,35.58282208588957,0,0,0.6711409395973155,0,0,0.9864364981504316,65.79163248564397,0,6.571605703657781,0,0,0,0,0,0,,48.1990134741157
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.71428571428572,0,0,0,0,0,0,0,0,0,0,0,0.4589495155532891,0,0,,99.43070222829363
RB,0,0,0,0,0.5385996409335727,1.0139416983523446,0,0.2358490566037736,4.050279329608938,0,1.1650485436893203,23.89937106918239,0,1.859799713876967,0.3067484662576687,0,26.156583629893237,8.389261744966444,15.33203125,6.991988346686089,4.069050554870531,0.2461033634126333,0.303951367781155,0.9919404835709857,20.34090909090909,27.02523240371846,12.594268476621417,1.4788373278939317,0.9359251259899208,27.742676622630675,,27.805619160331922
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3067484662576687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11487650775416428,,76.80344450565664
RBS,0,0,0,0,0,0,0,0,0,0,1.7475728155339807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,21.18491921005386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.785142024763292,0,0,0,0,0,4.913678618857902,0,0,0,0,,62.730873467223404
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,1.627906976744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33200531208499334,0,0,0,0,,84.19570617029392
VB,0,0,0.3597122302158274,0,1.2567324955116697,0.5069708491761723,0,0.4716981132075472,0.27932960893854747,0,0.5825242718446602,0.7861635220125787,0,0,0.7668711656441718,0,0,3.3557046979865772,0,0.29133284777858703,19.97533908754624,0.41017227235438886,1.3171225937183384,60.44637321760694,0,0,0.3770739064856712,0,0.14398848092152627,1.0913268236645606,,67.72067040098784
