Class,to,CLASS71,CLASS2404,CLASS2481,CLASS2524,CLASS2526,CLASS2556,CLASS2583,CLASS2584,CLASS2600,CLASS2605,CLASS2607,CLASS2608,CLASS2609,CLASS2613,CLASS2614,CLASS2615,CLASS2620,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2627,CLASS2628,CLASS2629,CLASS2631,CLASS2632,CLASS2633,CLASS2635,CLASS2636,,Focus
CC,0,99.77142857142857,0,0,1.403061224489796,4.526987811955891,0,0,0,0,0,0,0,0,0,0,11.920980926430518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,84.99668551823795
CD,0,0,0,0,0.7653061224489796,0,0,0,0,0,0,0,13.147914032869783,5.811623246492986,0,0,0,0,0,0,0,2.3878858474082705,1.1421319796954315,0,0,0,0,0,0.7971656333038087,0.3138075313807531,0,,58.38004948190964
DT,0,0,0,100.0,0,95.35693557748114,0,1.8337408312958436,0,0,20.042872454448016,0,1.1378002528445006,0,0,0,0.7493188010899182,0,0,0,0,0,0,21.0576015108593,0,0,0,0,8.060230292294065,0,1.1294876966518759,,54.696454211273306
EX,0,0,0,0,0,0,0,0,0,0,8.145766345123258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0.34602076124567477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0,99.28057553956835,0,4.209183673469387,0,77.99642218246869,0,0,0,0,0,0,0,0,0,13.147138964577657,0,8.500477554918815,92.86846275752774,0.5181347150259068,0.29120559114735,0.5076142131979695,61.095372993389994,0,0.2590673575129534,0,35.3307392996109,0,0,1.4521984671238404,,40.45322407745778
JJ,0,0,0,0,0,0,8.586762075134168,0,2.4469820554649266,62.14833759590793,0,10.899653979238755,0,5.210420841683367,0,11.02661596958175,0.4087193460490463,4.398826979472141,2.9608404966571156,0,0.5181347150259068,9.26033779848573,4.695431472081219,4.1548630783758265,6.135770234986945,17.184801381692573,0,2.4124513618677046,8.591674047829938,21.12970711297071,0.44372730939895116,,35.84621213698275
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5703422053231939,0.13623978201634876,0,1.4326647564469914,0,0,0.23296447291788003,0,0,0,0.2590673575129534,0,5.136186770428015,0,1.2552301255230125,0,,59.453645393057094
JJS,0,0,0,0,0.25510204081632654,0,0,0,0,0,0,0,0,0.4008016032064128,0,0,0,0,0,0.31695721077654515,0,0.64065230052417,0,0.9442870632672332,0.26109660574412535,0,0,0,0,1.9874476987447698,0,,46.82281475723624
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.619217081850536,0,0,1.466275659824047,3.2473734479465137,0,0,0,0,0,0,0,0,0,0,0,3.146430012101654,,85.51052726816874
