Class,the,to,CLASS2236,CLASS2405,CLASS2483,CLASS2554,CLASS2558,CLASS2582,CLASS2592,CLASS2593,CLASS2594,CLASS2600,CLASS2604,CLASS2608,CLASS2609,CLASS2614,CLASS2616,CLASS2618,CLASS2619,CLASS2622,CLASS2623,CLASS2624,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,,Focus
CC,0,0,97.86995515695067,0,0,0,0,0,0,16.386554621848738,1.4012738853503186,0,0,0,0,0,0,0,0,0,0,0,0,15.021459227467812,0,0,0,0,0,0,0,0,,75.94241581943183
CD,0,0,0,0,0,0,0,1.8518518518518516,13.147914032869783,0,0,0,0,0,0,0,0,0,0,0.2457002457002457,0,0,0.3790271636133923,0,0,0,0,1.7048794826572604,3.8606403013182673,0,0,0.9336099585062241,,61.59414303670234
DT,100.0,0,0,0,100.0,0,0,8.024691358024691,1.1378002528445006,0,0,81.59609120521174,0,0,0,0,1.8226002430133657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53.85446262991689
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.234507897934387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0.2145922746781116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0,0,97.52650176678446,0,0,0,0.823045267489712,0,55.88235294117647,4.203821656050955,0,0,0.3518029903254178,0,0,0.24301336573511542,0,0,0.2457002457002457,0,0,0.2526847757422615,11.416309012875537,0,76.63865546218489,0,0,0.4708097928436911,0,50.150150150150154,0,,46.206839976290446
JJ,0,0,0,0.35335689045936397,0,9.120171673819742,3.68763557483731,7.613168724279835,0,0,0.5095541401273885,5.537459283387622,9.415584415584416,0.8795074758135445,15.755627009646304,10.61381074168798,0,2.7923211169284468,3.1818181818181817,2.538902538902539,5.921052631578947,0,1.2002526847757422,1.3733905579399142,0,3.0252100840336134,9.667673716012084,18.106995884773664,5.743879472693032,61.197604790419156,0.22522522522522523,0,,35.609625128022174
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24301336573511542,0,0,2.211302211302211,0,0,0,0,0,0,0.3021148036253776,4.174015285126396,0.18832391713747645,0,0,0,,65.26974942356388
JJS,0,0,0,0,0,0,0.43383947939262474,0,0,0.42016806722689076,0,1.6286644951140066,0,0,0,0,0,2.2687609075043627,0,0,0.5263157894736842,0,0,0,0,0,0,0.9994121105232217,0,0,0,0,,46.374378461905394
MD,0,0,0,0,0,0,0,0,0,0,0,0,2.4350649350649354,0,0,0,0,0,0,24.242424242424242,0,9.101516919486581,0,0,0,0,0,0,0,0,0,0,,71.63920259777576
NN,0,0,0,0,0,67.38197424892704,54.66377440347071,10.905349794238683,0,6.302521008403361,0.3821656050955414,2.44299674267101,8.766233766233766,2.550571679859279,7.717041800643088,0.3836317135549872,5.224787363304982,26.17801047120419,3.6363636363636362,3.43980343980344,61.18421052631579,0,6.82248894504106,3.1759656652360517,0,0.5042016806722689,64.45115810674723,33.68606701940035,16.0075329566855,8.622754491017965,5.555555555555555,3.8381742738589213,,28.6235124221178
NNP,0,0,0,0,0,2.896995708154506,6.941431670281996,5.1440329218107,0,0.8403361344537815,1.1464968152866242,0.4885993485342019,0.6493506493506493,0.3518029903254178,3.376205787781351,0,6.925880923450791,49.73821989528796,0.45454545454545453,0.4095004095004095,1.9736842105263157,0,4.611497157296273,6.094420600858369,0.4439511653718091,0.5042016806722689,1.7119838872104733,29.218106995884774,13.93596986817326,0,0.37537537537537535,40.14522821576764,,37.56848236776081
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1759014951627089,0,0,0,0.6980802792321117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,81.73826433774013
NNS,0,0,0,0,0,5.793991416309012,21.908893709327547,11.316872427983538,0,1.050420168067227,1.2738853503184715,0.8143322475570033,1.461038961038961,2.0228671943711523,1.2861736334405145,0,0,13.089005235602095,1.2121212121212122,0.16380016380016382,20.789473684210527,0,4.232469993682881,0.17167381974248927,0.22197558268590456,0.5042016806722689,10.574018126888216,4.644326866549089,8.851224105461393,0.9580838323353293,0.6756756756756757,0,,29.68186369235933
PRP,0,0,0,0,0,0,0,0.823045267489712,10.619469026548673,0,0,0,1.2987012987012987,0,0,69.30946291560103,30.619684082624545,0,0,0,0,0,6.696146557169931,0,89.01220865704772,0,0,0,1.4124293785310735,0,9.984984984984985,54.87551867219918,,44.66776193721085
PRP$,0,0,0,0,0,0,0,0,73.19848293299621,0,0,0,0,0,0,0,0,1.5706806282722512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,97.85405669381353
RB,0,0,2.130044843049327,0,0,1.8240343347639485,0.6507592190889371,7.613168724279835,0,2.3109243697478994,0.3821656050955414,5.700325732899023,15.422077922077923,2.0228671943711523,49.356913183279744,17.774936061381077,0.3645200486026731,0.34904013961605584,46.96969696969697,14.496314496314497,1.3157894736842104,0,1.010739102969046,28.49785407725322,0,0.5602240896358543,1.1077542799597182,0.7642563198118754,23.540489642184557,19.281437125748504,1.0510510510510511,0,,30.510049673051693
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0.6493506493506493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
