Class,to,CLASS70,CLASS2398,CLASS2474,CLASS2552,CLASS2564,CLASS2571,CLASS2573,CLASS2585,CLASS2586,CLASS2595,CLASS2596,CLASS2597,CLASS2604,CLASS2605,CLASS2606,CLASS2607,CLASS2608,CLASS2609,CLASS2610,CLASS2616,CLASS2618,CLASS2622,CLASS2623,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,,Focus
CC,0,99.77142857142857,0,0,0,0,0,0,0,0,0,0,0,0,1.3480392156862746,0,0,0,0,0,10.580411124546554,0,0,0,0,0,0,0,0,0,0,5.496828752642706,0,,85.26118772051198
CD,0,0,0,0,0,0,0,0,0,0,0,1.9189765458422177,0,0,0.7352941176470588,0,0,0,0,0,0,0,0,0,2.2078621432417878,0,0,0,0,0.6901840490797546,0,0.21141649048625794,10.919540229885058,,66.79618321442842
DT,0,0,0,100.0,0,0,0,0,0,0,0,5.11727078891258,0,2.832512315270936,0,0,0,98.4400215169446,0,0,5.501813784764209,0,0,26.681614349775785,0,0,0,0,0,1.1503067484662577,0,0,0.7389162561576355,,57.77595178230539
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.828220858895705,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24630541871921183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0,100.0,0,0,0,0,0,0,0,67.5564681724846,0,0,11.69950738916256,9.436274509803921,48.49094567404427,0,0,0,0,7.0737605804111245,90.92240117130308,0,15.358744394618833,0,0,92.74725274725274,0.7323568575233023,0,0,0.2965159377316531,0.9866102889358703,0,,38.356185944991175
JJ,0,0,0,0,0,8.384458077709612,5.091649694501019,0,59.82404692082112,0,11.90965092402464,6.609808102345416,5.773955773955774,13.423645320197044,0,0,12.749003984063744,0,0,31.053604436229204,4.2321644498186215,0.43923865300146414,2.9002320185614847,5.605381165919283,15.993537964458804,0,0,0.4660452729693742,6.758080313418217,0.15337423312883436,3.039288361749444,1.3389711064129668,6.157635467980295,,33.26550894503231
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0.6142506142506142,0,0,0,0,0,0,0,0,0,0,0,0.32310177705977383,0,0,0,6.268364348677767,0,2.001482579688658,0,0.24630541871921183,,68.8940832733823
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0.2457002457002457,0,0.24509803921568626,0,0.398406374501992,0,0,0,0,0.29282576866764276,0,1.1210762331838564,1.4001077005923532,0,0,0,0,0,0,0,0.3284072249589491,,45.039792921340606
MD,0,0,0,0,0,0,0,0,0,7.37527114967462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.193075898801598,1.4691478942213516,0,19.421793921423276,0,0,,62.701594066154996
NN,0,0,0,0,0,50.10224948875256,24.643584521384927,1.7518248175182483,10.263929618768328,2.1691973969631237,1.2320328542094456,10.660980810234541,62.53071253071253,33.62068965517241,0.3676470588235294,8.853118712273641,19.12350597609562,0.48413125336202256,0,56.931608133086876,3.8089480048367594,4.685212298682284,8.352668213457076,1.905829596412556,36.13354873451804,0,0.5494505494505495,3.861517976031957,7.737512242899118,3.067484662576687,2.891030392883618,5.567300916138125,53.20197044334976,,25.968953792061328
NNP,0,0,0,0,0,5.930470347648262,3.462321792260693,0.291970802919708,0,3.68763557483731,0.8213552361396305,4.690831556503198,1.597051597051597,3.4482758620689653,0.3676470588235294,0,59.16334661354582,0,0,2.957486136783734,9.613059250302298,0.5856515373352855,17.865429234338748,1.1210762331838564,23.424878836833603,0.9623797025371827,0.43956043956043955,0.5326231691078562,0.6856023506366308,29.677914110429448,0.14825796886582654,4.0169133192389,1.5599343185550083,,38.562872364570524
NNPS,0,0,0,0,0,0.408997955010225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10770059235325795,0,0,0.13315579227696406,0,0,0,0,0,,66.99660404436707
NNS,0,0,0,0,0,15.746421267893659,10.386965376782078,0,0,0,1.0266940451745379,13.00639658848614,19.41031941031941,9.852216748768473,0.9803921568627451,0,3.187250996015936,0.48413125336202256,0,2.5878003696857674,0.7255139056831923,1.610541727672035,0,0.8968609865470852,11.362412493268712,0.17497812773403326,0,1.7976031957390146,1.0773751224289911,0,0.2965159377316531,2.466525722339676,7.224958949096879,,28.949419849594854
PRP,0,0,0,0,0,0,30.14256619144603,96.78832116788321,0,0,0,0.8528784648187633,0,0,0,0,0,0,12.444444444444445,0,0,0,0,0,0,70.16622922134734,0,0,0.7835455435847208,50.61349693251533,0,7.470049330514447,0,,47.37114338223885
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.77777777777777,0,0,0,0,0,0,0,0,0,0,0,0.6671608598962194,0,0,,99.20710561608622
RB,0,0,0,0,0.576923076923077,4.9079754601226995,0.40733197556008144,0,22.58064516129032,0.6507592190889371,2.4640657084188913,7.889125799573561,1.1056511056511056,14.532019704433496,0.3676470588235294,0.4024144869215292,0,0,0,2.2181146025878005,33.13180169286578,0.5856515373352855,41.183294663573086,4.147982062780269,1.2385568120624662,0,0.43956043956043955,2.9960053262316912,22.820763956904997,0.15337423312883436,24.610822831727205,1.127554615926709,1.6420361247947455,,31.942305681670234
RBR,0,0,0,0,0,0,0.40733197556008144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1958863858961802,0,0,0,0,,74.00879536042218
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7389162561576355,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.845070422535215,0,0,0,0,0,0,8.584686774941995,0,0,0,0,0,0,0,0,0,9.688013136289,,71.44682748269317
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8464328899637243,0,0.580046403712297,0,0,0,0,0,0,0,0,0,0,,70.87711629409117
VB,0,0,0,0,0,0.408997955010225,0,0,0.43988269794721413,44.46854663774403,1.0266940451745379,1.7057569296375266,0.6142506142506142,0.6157635467980296,0.3676470588235294,0,0,0,0,1.2939001848428837,1.0278113663845223,0,0.23201856148491878,2.242152466367713,0.2154011847065159,0.4374453193350831,0.21978021978021978,0.5326231691078562,1.0773751224289911,0,5.040770941438103,59.68992248062015,0.8210180623973727,,59.36629009633949
VBD,0,0,0,0,92.11538461538461,1.8404907975460123,0.8146639511201629,0,0.5865102639296188,2.8199566160520604,3.9014373716632447,19.402985074626866,0.36855036855036855,0.8620689655172413,75.49019607843137,0,0,0,0,0,0,0,12.180974477958237,14.573991031390134,0.8616047388260636,0,0.6593406593406593,67.84287616511318,6.953966699314397,0,4.077094143810229,5.567300916138125,0.24630541871921183,,42.193952346335074
VBG,0,0,0,0,0,2.658486707566462,17.718940936863543,0,1.906158357771261,1.5184381778741864,1.4373716632443532,20.255863539445627,1.71990171990172,2.70935960591133,1.3480392156862746,0.8048289738430584,1.1952191235059761,0.591715976331361,0,0,0.6650544135429262,0,2.436194895591647,6.053811659192825,0.9154550350026925,0,4.5054945054945055,9.653794940079893,21.057786483839372,0.15337423312883436,0.6671608598962194,1.7618040873854828,1.3957307060755337,,31.722876380886973
VBN,0,0,0,0,0,0,2.4439918533604885,0,1.6129032258064515,0.43383947939262474,3.696098562628337,1.4925373134328357,0.85995085995086,2.0935960591133003,0,0.6036217303822937,0,0,0,0.36968576709796674,0.12091898428053204,0,0.34802784222737815,0.4484304932735426,1.56165858912224,0,0.21978021978021978,3.062583222370173,14.495592556317336,0,8.302446256486286,1.620859760394644,1.9704433497536946,,36.100750533900744
VBP,0,0,0,0,2.1153846153846154,0,0.40733197556008144,0,0,31.453362255965295,1.2320328542094456,0.42643923240938164,0,0.7389162561576355,0,0,0.5976095617529881,0,0,0,0.18137847642079807,0,0.34802784222737815,0.8968609865470852,0,0,0,0.2663115845539281,2.644466209598433,0,15.122312824314307,0.6342494714587738,0.16420361247947454,,59.766629256315504
VBZ,0,0,0,0,0.38461538461538464,0.408997955010225,0.8146639511201629,0,0,0,1.4373716632443532,0.42643923240938164,1.597051597051597,0,0,0,0,0,0,0,0.24183796856106407,0,1.5081206496519721,17.713004484304935,0,0,0,1.6644474034620507,2.840352595494613,0,0,0.14094432699083861,0.41050903119868637,,60.07248128488711
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46403712296983757,0,0,0,0,0,0,3.834355828220859,0,0,0,,89.51973090598938
