Class,to,and,CLASS1281,CLASS2480,CLASS2531,CLASS2541,CLASS2555,CLASS2557,CLASS2576,CLASS2577,CLASS2591,CLASS2598,CLASS2601,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2610,CLASS2614,CLASS2615,CLASS2616,CLASS2617,CLASS2619,CLASS2622,CLASS2623,CLASS2624,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,,Focus
CC,0,100.0,0,0,0,0,0,1.5406162464985995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.147935180345009,0,4.459691252144083,0,0,0,,86.8897052533535
CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9988901220865706,0,0,0,0,0,0,0,0,0,0.34305317324185247,4.6082949308755765,0.31982942430703626,11.252115059221659,,68.55057135261906
DT,0,0,0,100.0,0,99.88479262672811,0,0,0,0,0,75.0915750915751,0,1.6304347826086956,2.8785982478097623,0,0,0,0,0,0,0,0,0,0,1.2908777969018932,1.5011547344110854,0,0,0,0,1.0138248847926268,0,0.7614213197969544,,54.49790405481433
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.540447504302927,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0,99.22928709055877,0,0,0,1.6985138004246285,3.9215686274509802,78.34757834757835,0,0,0,0,0,0.5006257822277848,0,0,0,0,0.8717310087173101,26.082130965593787,0,0,0,0.182648401826484,25.21514629948365,0,0,25.457396759017247,91.07551487414187,6.689536878216123,0,0,0,,42.389744697618234
JJ,0,0,0,0,2.73224043715847,0,2.1231422505307855,0,6.41025641025641,2.7522935779816518,2.717391304347826,6.227106227106227,17.226277372262775,1.956521739130435,13.141426783479348,4.055944055944056,39.50413223140496,0,8.91238670694864,1.1207970112079702,2.5527192008879025,64.61336828309305,5.717916137229987,0,8.858447488584476,0,5.658198614318707,0,0.26136957658128596,0.9153318077803204,1.2006861063464835,4.516129032258064,3.304904051172708,6.514382402707277,,34.70765373800337
JJR,0,0,0,0,0.7285974499089253,0,0,0,0,2.2018348623853212,0,0,0,0,0.37546933667083854,8.951048951048952,0,0,0,0,0,0,0.25412960609911056,0,0,0,0,0,0,0,0,0.18433179723502305,1.5991471215351813,0.25380710659898476,,63.23183754000634
JJS,0,0,0,0,1.092896174863388,0,0,0,0,0,0,1.8315018315018317,0.291970802919708,0,0,0,2.809917355371901,0,0.7552870090634441,0,0,0.2621231979030144,0.25412960609911056,0,0,0,0,0,0.10454783063251437,0,0,0,0,0.1692047377326565,,45.63301406548499
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.62126642771804,0,0,1.7321016166281753,0,0,0,0,0,3.624733475479744,0,,88.41794528219876
NN,0,0,0,0,38.61566484517304,0.1152073732718894,3.1847133757961785,0.42016806722689076,0.5698005698005698,51.92660550458715,24.818840579710145,4.395604395604396,66.27737226277372,2.282608695652174,8.51063829787234,43.07692307692308,29.586776859504134,0,29.154078549848943,0.62266500622665,8.102108768035517,6.684141546526867,58.19567979669632,0,2.5570776255707766,0.4302925989672977,9.122401847575059,0,3.868269733403032,0.4576659038901602,5.145797598627787,10.138248847926267,5.6503198294243075,52.96108291032149,,24.829477474837272
