Class,to,of,CLASS2388,CLASS2482,CLASS2526,CLASS2529,CLASS2579,CLASS2581,CLASS2583,CLASS2594,CLASS2597,CLASS2599,CLASS2603,CLASS2604,CLASS2606,CLASS2608,CLASS2609,CLASS2611,CLASS2612,CLASS2614,CLASS2615,CLASS2617,CLASS2619,CLASS2620,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2629,CLASS2630,CLASS2631,CLASS2632,,Focus
CC,0,0,0,0,0,99.79013641133263,0,0,0,0,0,0,0,0,0,0,12.915129151291513,0,0,0,0,0,0,0,0,0,1.193058568329718,0,0,0,0,0,0,0,0,,87.98429938732183
CD,0,0,2.0454545454545454,0,0,0,0,0,0,0,0,5.06993006993007,0,0,0,0,0,0,0,14.71004243281471,7.320644216691069,0,0,0,0,0.2640845070422535,0,0,0,0,0.7537688442211055,0,0,0,0,,55.7292893290084
DT,0,0,0,100.0,0,0,0,1.7287234042553192,0,4.978354978354979,0,0,0,0,0,0,0.8118081180811807,0,98.54604200323102,1.272984441301273,2.1961932650073206,0,0,9.599156118143458,0,0,24.18655097613883,0,0,0,0,0,0,1.364877161055505,0,,56.72546967448997
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.915377616014559,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09713453132588634,,100.0
IN,0,100.0,0,0,0,0,0,0,0,0,0.6944444444444444,0,0,83.15665488810366,0,0,8.487084870848708,0,0,0,0,90.69069069069069,0,0,5.365296803652968,0,10.84598698481562,4.007820136852395,0,0,1.7587939698492463,0.205761316872428,82.24471021159154,0,0,,43.70248941703867
JJ,0,0,0,0,0,0,2.8169014084507045,1.5957446808510638,0,5.627705627705628,17.881944444444446,4.370629370629371,43.600867678958785,5.064782096584216,12.982456140350877,5.131004366812228,1.3284132841328413,85.52631578947368,0,0,5.856515373352855,0.7507507507507507,0,14.135021097046414,7.191780821917808,2.992957746478873,5.748373101952278,1.3685239491691104,10.27944111776447,1.7751479289940828,0.25125628140703515,0,0,0,6.313744536182613,,38.82315130677333
JJR,0,0,0,0,0,0,0,0,0,0.8658008658008658,0.5208333333333333,0,0,0,0.5263157894736842,0.21834061135371177,0,0,0,0,0,0,0,0.21097046413502107,7.30593607305936,1.3204225352112675,0,0,0,0,0,0,0,0,0.582807187955318,,63.96619034195983
JJS,0,0,0,0,0,0,0,0,0,0,0,0,5.639913232104121,0.23557126030624262,0,0.21834061135371177,0,0,0,0,0,0.3003003003003003,0,0,0,0,1.0845986984815619,0,0,0,0,0,0,0,0.291403593977659,,73.33058436295242
MD,0,0,0,0,0,0,0,1.9946808510638299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.056338028169012,0,7.624633431085044,0,0,0,0,0,0,0,,75.49519109840135
