Class,to,CLASS1215,CLASS2474,CLASS2481,CLASS2524,CLASS2551,CLASS2554,CLASS2565,CLASS2579,CLASS2587,CLASS2593,CLASS2594,CLASS2598,CLASS2601,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2610,CLASS2611,CLASS2612,CLASS2613,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2621,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,,Focus
CC,0,0,0,0,99.79013641133263,0,0,0,0,0,0,0,0,0,1.105527638190955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74938574938575,0,,89.59896790333659
CD,0,0,0,1.8218623481781375,0,0,0,0,0,0,0,5.0492610837438425,0,0,0.6030150753768844,0,14.71004243281471,0,1.2517385257301807,0,0,0,0,0,0,3.913630229419703,0.32085561497326204,0,0,0,0,0,0,0,0,0,,56.93294267184334
DT,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,98.38709677419355,1.272984441301273,0,5.4242002781641165,0,0,0,0,0,0,0,0,0,29.303547963206306,0,1.726121979286536,0,0,0,5.589680589680589,0,,57.809040887038186
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.745684695051784,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0.27972027972027974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,99.22928709055877,0,0,0,6.223175965665236,81.7658349328215,0,0,1.023391812865497,0,0,0,43.42342342342342,8.241206030150753,0,0,0,0,0,0,97.19827586206897,90.6060606060606,0,8.674463937621832,0,2.2459893048128343,0,0,0.2911208151382824,0,0,0,0,7.862407862407863,0,,39.82454129925274
JJ,0,0.3853564547206166,0,0,0,1.2875536480686696,9.213051823416507,0,6.666666666666667,0,6.726457399103139,22.536945812807883,0.4195804195804196,1.4414414414414414,0.20100502512562815,0.3763440860215054,0,10.625909752547306,6.536856745479833,7.36949846468782,5.3884711779448615,0.21551724137931033,0.45454545454545453,19.349593495934958,0.1949317738791423,14.979757085020243,0.6417112299465241,0,5.519053876478318,43.8136826783115,0,1.9157088122605364,10.74074074074074,0,0.36855036855036855,3.975903614457831,,29.042615984795216
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3070624360286591,0.2506265664160401,0,0,10.731707317073171,2.631578947368421,0,0,0,0,0,0,0,0.6481481481481481,0,0,0,,75.2246768950081
JJS,0,0,0,0,0,0,0,0,0,0,0,0.49261083743842365,0,0,0,0,0,0,0,1.9447287615148412,0.2506265664160401,0,0.30303030303030304,0,0,0.9446693657219973,0,0.2254791431792559,1.314060446780552,0.1455604075691412,0,0,0,0,0,0,,44.171220927917474
MD,0,0,0,0,0,0,0,0,3.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.313840155945419,0,0,38.331454340473506,0,0,0,0,0,0,0,0,,85.00260677652265
NN,0,0,0,7.08502024291498,0,0.4291845493562232,0.3838771593090211,1.3353115727002967,11.904761904761903,0.43859649122807015,15.919282511210762,14.039408866995073,2.097902097902098,9.18918918918919,0.3015075376884422,0.4838709677419355,0,5.094614264919942,9.735744089012517,57.11361310133061,56.64160401002506,0.43103448275862066,5.151515151515151,4.0650406504065035,6.237816764132553,27.800269905533064,6.310160427807486,0,20.2365308804205,34.861717612809315,0.5753739930955121,6.896551724137931,39.07407407407407,0,3.2555282555282554,62.77108433734939,,25.60063473667689
NNP,0,0,0,90.08097165991903,0,0.4291845493562232,0.3838771593090211,0,0.9523809523809524,0.43859649122807015,19.05829596412556,36.82266009852217,0,0,1.2060301507537687,0,0,0.2911208151382824,3.477051460361613,2.7635619242579326,2.0050125313283207,0.646551724137931,0.30303030303030304,1.3008130081300813,1.8518518518518516,41.43049932523617,0.9625668449197862,0,3.5479632063074904,2.547307132459971,0,6.385696040868455,5.092592592592593,0.44493882091212456,11.117936117936118,9.63855421686747,,42.20957667842297
