Class,to,and,CLASS71,CLASS1280,CLASS2226,CLASS2387,CLASS2475,CLASS2544,CLASS2555,CLASS2558,CLASS2563,CLASS2584,CLASS2594,CLASS2595,CLASS2597,CLASS2599,CLASS2600,CLASS2601,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2613,CLASS2614,CLASS2617,CLASS2618,CLASS2619,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,,Focus
CC,0,100.0,0,0,0,0,0,0,0,0,0,0,0.5706134094151213,0,0,0,0,0,0,1.3333333333333335,0,0,0,15.50695825049702,0,0,0,0,12.808988764044942,0,0,0,0,0,0,0,0,,77.65107970352503
CD,0,0,0,0,0,2.0361990950226243,0,0,0,0,0,0,0,0,0,0,0,2.71343481138319,0,0,0,3.062302006335797,0,0,0,14.71004243281471,0,0,0,0.3516998827667058,0.7086614173228346,0.6230529595015576,0,0,0,0,0,,62.467549462093416
DT,0,0,99.87841945288753,0,0,0,100.0,0,0,0,0,1.8337408312958436,12.981455064194009,40.666666666666664,0,0,0,0,2.994791666666667,0,0,0,0,0,0,1.272984441301273,1.1320754716981132,0,0.8239700374531835,0,0,0,0,0,30.42895442359249,1.1893870082342177,0,,49.406764555473195
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.511756569847856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0,0,99.22928709055877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.333333333333334,0,0,0,0,82.1954484605087,0,78.71698113207547,0,8.014981273408239,0,0.7086614173228346,2.1806853582554515,0,0.8383233532934131,0,0.36596523330283626,75.70422535211267,,45.0768168175304
JJ,0,0,0,0,0,0,0,0,2.8169014084507045,3.282275711159737,3.7037037037037033,0,6.276747503566334,0,0,29.01907356948229,0,15.751158173395103,6.640625,0.24242424242424243,15.299334811529933,7.9197465681098205,0,16.302186878727635,0,0,4.377358490566038,5.465116279069767,0.8988764044943821,3.399765533411489,0.39370078740157477,0.4153686396677051,2.0581113801452786,2.874251497005988,50.93833780160858,18.389752973467523,0.9389671361502347,,31.338069537185536
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0.7132667617689016,0,0,0,0,0,10.416666666666668,0,0,0.31678986272439286,0,0,0,0,0,0.23255813953488372,0,1.7584994138335288,0,0,0,0,0,0,0,,78.17861203209807
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2724795640326975,0,0.26472534745201853,0,0,0,0.9503695881731784,0,3.3797216699801194,0.2677376171352075,0,0.1509433962264151,0,0,0,0,0,0,0,1.6085790884718498,0,0,,54.756974048993165
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.995884773662551,0,0,0,0,0,3.325942350332594,0,0,0,0,0,0,0,0,30.71512309495897,6.141732283464567,0,0,0,0,0,0,,67.30313676211281
