Class,to,of,CLASS2391,CLASS2476,CLASS2511,CLASS2531,CLASS2537,CLASS2543,CLASS2570,CLASS2575,CLASS2579,CLASS2584,CLASS2587,CLASS2591,CLASS2593,CLASS2594,CLASS2600,CLASS2602,CLASS2603,CLASS2605,CLASS2607,CLASS2610,CLASS2611,CLASS2612,CLASS2613,CLASS2615,CLASS2616,CLASS2617,CLASS2618,CLASS2620,CLASS2621,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,,Focus
CC,0,0,0,0,0,97.8395061728395,0,0,0,0,0,0,0,0,0,0,34.791252485089466,0,0,0,1.2956419316843346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,76.84406518339154
CD,0,0,2.0689655172413794,0,0,0,0,0,0,0,0,0,0,0.4878048780487805,0,0,0,0,0,0,0.7067137809187279,0,3.694267515923567,0,0,0,0,0,0,0,9.620721554116558,5.72737686139748,0,0,0,0,0,0,,51.98729646382686
DT,0,0,0,100.0,0,0,0,27.532467532467532,0,0,0,0,0,0,0,0,0,0,0,98.75876956287102,0,0,0,0,0,0,0,0.8685581933989578,0,0,0.8325624421831638,28.29324169530355,0,0,0,0,0,0,,55.338368854161914
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.43956043956044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11580775911986102,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7713717693836974,42.42957746478873,0,0,9.069493521790342,0,0,0,0,45.94202898550724,0,77.30167921250724,0,56.11510791366906,0,0,0.9656652360515022,1.384083044982699,7.2727272727272725,0.15527950310559005,0,0.44893378226711567,,41.48943662257329
JJ,0,0,0,0,3.571428571428571,0,4.595185995623632,0,8.558558558558559,4.398148148148148,0.6147540983606558,4.325699745547073,7.172131147540983,9.59349593495935,0,0,1.1928429423459244,5.633802816901409,0,0,0.7067137809187279,0,23.949044585987263,7.180851063829788,65.63307493540051,0.5797101449275363,0.7155635062611807,3.126809496236248,14.268142681426815,0,4.995374653098982,8.59106529209622,1.2875536480686696,0.8073817762399077,1.316614420062696,7.220496894409938,0,16.947250280583614,,33.866897282302325
JJR,0,0,0,0,2.857142857142857,0,0.87527352297593,0,0.6756756756756757,0,0,0,0,2.4390243902439024,0,0,0,10.73943661971831,0,0,0,0,0.6369426751592357,0,0,0,0,0,0,0,0.27752081406105455,0,0,0,0,0.15527950310559005,0,0,,60.00353936637216
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0.819672131147541,0,0,0,0,0,0,0,0,0,2.547770700636943,0.26595744680851063,0.2583979328165375,0.2898550724637681,0,0.11580775911986102,0.4920049200492005,0,0.18501387604070307,1.145475372279496,0,0,0,0,0,0,,46.83893882657306
MD,0,0,0,0,0,0,0,0,0,0,15.983606557377051,0,0,2.4390243902439024,7.4074074074074066,0,0,0,0,0,0,46.619217081850536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,67.83144244650191
NN,0,0,8.505747126436782,0,49.047619047619044,0,42.88840262582057,11.948051948051948,2.4774774774774775,31.25,0,6.870229007633588,36.27049180327869,9.43089430894309,4.139433551198257,0,5.7654075546719685,10.73943661971831,1.3736263736263736,0.48569886670264434,0.35335689045936397,0,13.885350318471337,61.303191489361694,7.751937984496124,4.3478260869565215,2.5044722719141324,0.8685581933989578,51.78351783517835,2.014388489208633,55.87419056429233,11.912943871706757,2.467811158798283,1.7301038062283738,6.206896551724138,4.037267080745342,0,54.65768799102132,,23.366636557847283
