Class,to,and,CLASS351,CLASS2395,CLASS2484,CLASS2540,CLASS2547,CLASS2553,CLASS2577,CLASS2578,CLASS2582,CLASS2584,CLASS2585,CLASS2587,CLASS2589,CLASS2591,CLASS2594,CLASS2597,CLASS2598,CLASS2603,CLASS2605,CLASS2607,CLASS2608,CLASS2610,CLASS2611,CLASS2612,CLASS2613,CLASS2614,CLASS2617,CLASS2618,CLASS2620,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,,Focus
CC,0,100.0,0,0,0,1.478494623655914,0,0,0,0,0,0,0,0,0,0,9.547123623011016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36749116607774,0,0,0,0,0,,81.50745595728267
CD,0,0,0,2.0454545454545454,0,0,0,0,0.7792207792207793,0,0,0,0,0,0,0,0,0,0,0,0,1.8404907975460123,0,0,14.71004243281471,0,0,0,0,0,0.6276150627615062,2.430349733254298,0,0,0,2.7540360873694207,0,0,0,,59.95361354323683
DT,0,0,0,0,100.0,0,0,0,0,0,0,0,1.8337408312958436,0,0,0,0,0,37.3469387755102,0,0,2.658486707566462,0,0,1.272984441301273,2.388535031847134,0,0,0,0,0,0,0,0.7773851590106008,93.4065934065934,0,0,0,7.332796132151491,,55.97397980061638
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.511756569847856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35398230088495575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0,99.22928709055877,0,0,3.763440860215054,0,0,0,0,0,0,0,0,0,0,67.31946144430844,0,0,0,0,0,0,100.0,0,67.35668789808918,0,40.50420168067227,91.86746987951807,0,2.7196652719665275,0.23710729104919975,0,12.15547703180212,0,0,1.1282051282051282,0,0,,37.904067736832346
JJ,0,0,0,0,0,0.2688172043010753,0,1.7013232514177694,8.051948051948052,0,2.5974025974025974,1.015228426395939,0,5.7654075546719685,4.375,0,5.263157894736842,0,2.4489795918367347,0,60.23668639053255,10.020449897750511,5.489773950484392,0,0,1.2738853503184715,0.8836524300441826,2.1848739495798317,0.30120481927710846,5.020352781546811,0.41841004184100417,18.435091879075284,9.523809523809524,1.4134275618374559,1.6983016983016983,7.78727445394112,1.2307692307692308,0,18.372280419016924,,36.43346671805068
JJR,0,0,0,0,0,0,0,2.2684310018903595,0,0,0,0,0,4.3737574552683895,0,0,0,0,0,0,0,0,0.2152852529601722,0,0,0,0,0,0,0,0,0,8.236808236808237,0,0,0.2849002849002849,0,0,0.16116035455278002,,60.48326819668123
JJS,0,0,0,0,0,0,0,0.3780718336483932,0,0,0,0,0,0.3976143141153081,0,0,0,0,0,0,0,0,0.2152852529601722,0,0,0,0,0,0.30120481927710846,0,0,0.6520450503852994,0,0,0.5994005994005994,1.6144349477682813,0,0,0,,44.830130676687006
MD,0,0,0,0,0,0,0,0,0,8.478802992518704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.58615611192931,0,0,2.03527815468114,0,0,0,0,0,0,8.0,0,0,,69.74486204791974
NN,0,0,0,7.954545454545454,0,0.4032258064516129,0,56.33270321361059,5.974025974025974,2.493765586034913,6.204906204906205,1.015228426395939,1.1002444987775062,48.111332007952285,28.541666666666664,1.9469026548672566,1.101591187270502,0,1.2244897959183674,0.6915629322268326,22.24852071005917,10.429447852760736,64.90850376749194,0,0,1.5923566878980893,0.4418262150220913,11.260504201680673,4.518072289156627,8.819538670284938,7.426778242677824,23.888559573206877,64.73616473616474,4.734982332155477,1.1988011988011988,53.941120607787276,0.5128205128205128,0,5.3182917002417405,,26.79527709893606
NNP,0,0,0.3853564547206166,89.54545454545455,0,1.0752688172043012,0,7.561436672967864,0,4.239401496259352,7.215007215007215,0,0,12.326043737574553,5.0,0,0.24479804161566704,0.4914004914004914,0,0,0.4733727810650888,3.885480572597137,2.3681377825618943,0,0,1.5923566878980893,0,0.6722689075630253,0.6024096385542169,0.9497964721845319,0.9414225941422595,42.679312388855955,2.0592020592020592,9.045936395759718,0.14985014985014986,2.3741690408357075,0.5128205128205128,0.44493882091212456,9.99194198227236,,47.15187679412837
NNPS,0,0,0,0,0,0,0,0.3780718336483932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408997955010225,0,0,0,0,0,0,0,0,0,0.11855364552459988,0,0,0,0,0,0,0,,61.601070641653024
NNS,0,0,0,0,0,1.3440860215053763,0,17.76937618147448,0,0,6.0606060606060606,0,0,19.880715705765407,12.083333333333334,3.5398230088495577,0.6119951040391677,0.4914004914004914,0.6122448979591837,0,2.0118343195266273,13.905930470347649,17.545748116254035,0,0,0.9554140127388535,0,2.0168067226890756,0.4518072289156626,1.4925373134328357,0.41841004184100417,6.283343212803794,5.148005148005148,0.49469964664310956,0.24975024975024976,9.021842355175687,0,0.22246941045606228,1.20870265914585,,28.08140180040998
PRP,0,0,0,0,0,0,0,0,0,0,31.601731601731604,0,97.06601466992664,0,21.666666666666668,0,0,0,0,73.16735822959889,0,0.81799591002045,0,0,0,0,0,0,0,1.0854816824966078,1.5690376569037656,0,0,0,0,0,0,89.21023359288098,0,,47.1363809211019
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.8953323903819,0,0,0,0,0,0,0,0,0,0,0.8547008547008548,0,0,0,,98.94533586273295
RB,0,0,0,0,0,0.4032258064516129,0,1.5122873345935728,1.0389610389610389,0.7481296758104738,1.2987012987012987,39.847715736040605,0,3.180914512922465,0.4166666666666667,3.0088495575221237,1.7135862913096693,81.32678132678133,23.877551020408163,0.2766251728907331,3.195266272189349,25.562372188139058,1.1840688912809472,0,0,1.5923566878980893,36.671575846833576,1.0084033613445378,0.30120481927710846,16.689280868385346,0.7322175732217573,0.8891523414344991,2.445302445302445,14.20494699646643,1.7482517482517483,1.1396011396011396,0,0,38.114423851732475,,33.94861769025982
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16116035455278002,,76.62757480779258
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8547008547008548,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,26.14213197969543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2436974789916,0,0,0,0,0,0,0,11.20607787274454,0,0,0,,59.90342218907979
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9893992932862191,0,0,0,0,0.40290088638195,,76.01975254922253
VB,0,0,0,0,0,0.6720430107526881,0,0.945179584120983,17.142857142857142,38.403990024937656,39.53823953823954,0.5076142131979695,0,0,0,0,0.24479804161566704,0.7371007371007371,0,0,0.8284023668639053,2.044989775051125,0,0,0,3.1847133757961785,0,0,0,2.03527815468114,65.3765690376569,0.23710729104919975,0,1.5547703180212016,0,0.949667616334283,0.41025641025641024,0,0.7252215954875101,,47.735468976321194
VBD,0,0,0,0,0,83.06451612903226,94.56740442655935,1.7013232514177694,3.3766233766233764,3.2418952618453867,0.5772005772005772,6.598984771573605,0,0.7952286282306162,0.8333333333333334,77.69911504424779,2.937576499388005,0,1.6326530612244898,0,1.183431952662722,4.4989775051124745,0.32292787944025836,0,0,9.235668789808917,0.29455081001472755,0.33613445378151263,0,12.211668928086839,9.100418410041842,0.23710729104919975,0.7722007722007722,0,0.0999000999000999,1.1396011396011396,68.0,0,10.95890410958904,,38.88666462128117
VBG,0,0,0.3853564547206166,0.45454545454545453,0,1.478494623655914,0,1.890359168241966,1.5584415584415585,1.7456359102244388,1.443001443001443,0,0,0.9940357852882704,19.166666666666668,6.725663716814159,5.507955936352509,0,24.897959183673468,0,2.485207100591716,14.92842535787321,1.7222820236813776,0,0.4243281471004243,8.121019108280255,0.4418262150220913,3.0252100840336134,0,21.845318860244234,5.02092050209205,0.7705986959098993,1.9305019305019304,0.7773851590106008,0.6493506493506493,0.6647673314339981,2.051282051282051,0,1.9339242546333604,,28.9692173793081
VBN,0,0,0,0,0,0,0,1.7013232514177694,1.8181818181818181,0.4987531172069825,0.7215007215007215,24.36548223350254,0,1.3916500994035785,2.083333333333333,2.1238938053097343,2.4479804161566707,0,6.530612244897959,0,2.485207100591716,1.0224948875255624,0.7534983853606028,0,0,0.47770700636942676,0.29455081001472755,7.563025210084033,0,13.025780189959294,2.928870292887029,0,1.287001287001287,0,0,1.3295346628679963,1.0256410256410255,0,2.49798549556809,,35.560834576356285
VBP,0,0,0,0,0,0.4032258064516129,0.4024144869215292,0,51.94805194805194,33.915211970074814,0.8658008658008658,0,0,0.3976143141153081,0,1.9469026548672566,0.7343941248470013,0,0,0,0.2366863905325444,0.408997955010225,0.32292787944025836,0,0,0.9554140127388535,0.4418262150220913,0.33613445378151263,0,3.934871099050204,1.5690376569037656,0.17783046828689983,0.2574002574002574,0,0,0,0.20512820512820512,0,0,,61.287268123497405
VBZ,0,0,0,0,0,0.5376344086021506,0.4024144869215292,0.3780718336483932,0,0,0,0,0,0.3976143141153081,0.8333333333333334,1.0619469026548671,0.4895960832313341,0,1.0204081632653061,0,0,0,1.829924650161464,0,0,0.6369426751592357,0,0.8403361344537815,0,6.241519674355495,0.5230125523012552,0,0,0,0,0,15.487179487179487,0,0.7252215954875101,,52.277632403531136
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.915629322268327,0.4733727810650888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,93.64420455665756
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.437067773167358,0,0,0,0,0,0,0,0,0.30120481927710846,0,0,0,0,9.540636042402827,0,0,0,0,0,,68.71816904237974
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24174053182917005,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.953316953316953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2574002574002574,9.540636042402827,0,0,0,0,0,,71.86868101185345

Focus,100.0,100.0,99.20991120338721,89.63439876042915,100.0,87.3228181034669,99.13505525507625,61.89322977428059,59.42517085020207,54.085500225009056,51.099708525129785,52.438309237149426,97.00969653363065,53.48379664503919,42.59110889979373,78.85061331638063,68.84928211141937,82.57584395112463,49.62242219679709,73.91995635053591,66.11469614276514,36.46241775751021,68.74185607116995,100.0,84.20003177896054,68.08216116454086,67.14886597670157,50.59318812282021,93.05815277997422,33.68325360208155,66.09807790905643,52.548470794669086,67.51542371356871,32.96672264202159,93.45989144229755,57.46639329658779,70.34619838896447,99.23886423841178,44.43024752417316

Adjective,0,0,0,0,0,0.2688172043010753,0,4.347826086956522,8.051948051948052,0,2.5974025974025974,1.015228426395939,0,10.536779324055667,4.375,0,5.263157894736842,0,2.4489795918367347,0,60.23668639053255,10.020449897750511,5.920344456404737,0,0,1.2738853503184715,0.8836524300441826,2.1848739495798317,0.6024096385542169,5.020352781546811,0.41841004184100417,19.087136929460584,17.760617760617762,1.4134275618374559,2.2977022977022976,9.686609686609685,1.2307692307692308,0,18.533440773569705,,33.58062115863681
Adverb,0,0,0,0,0,0.4032258064516129,0,1.5122873345935728,1.0389610389610389,0.7481296758104738,1.2987012987012987,39.847715736040605,0,3.180914512922465,0.8333333333333334,3.0088495575221237,1.7135862913096693,98.28009828009829,23.877551020408163,0.2766251728907331,3.195266272189349,25.562372188139058,1.1840688912809472,0,0,1.5923566878980893,36.671575846833576,1.0084033613445378,0.30120481927710846,16.689280868385346,0.7322175732217573,0.8891523414344991,2.7027027027027026,23.745583038869256,1.7482517482517483,1.9943019943019944,0,0,38.27558420628525,,35.22446840772329
Conjunction,0,100.0,0,0,0,1.478494623655914,0,0,0,0,0,0,0,0,0,0,9.547123623011016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36749116607774,0,0,0,0,0,,81.50745595728267
Determiner,0,0,0,0,100.0,0,0,0,0,0,0,0,1.8337408312958436,0,0,0,0,0,37.3469387755102,6.915629322268327,0.4733727810650888,2.658486707566462,0,0,1.272984441301273,2.388535031847134,0,0,0,0,0,0,0,0.7773851590106008,93.4065934065934,0,0,0,7.332796132151491,,54.279730161617834
GrammarOther,0,0,0,0,0,0,0,0,0,8.478802992518704,0,26.14213197969543,0,0,0,0,0,0,0,10.511756569847856,0,0,0,0,0,0,38.58615611192931,29.2436974789916,0,2.03527815468114,0,0,0,0,0,11.20607787274454,8.0,0,0,,40.94314160073308
Noun,0,0,0.3853564547206166,97.5,0,2.82258064516129,0,82.04158790170133,5.974025974025974,6.733167082294265,19.480519480519483,1.015228426395939,1.1002444987775062,80.31809145129225,45.625,5.486725663716815,1.9583843329253368,0.9828009828009828,1.836734693877551,0.6915629322268326,24.733727810650887,28.629856850715747,84.82238966630786,0,0,4.140127388535032,0.4418262150220913,13.949579831932773,5.572289156626507,11.261872455902306,8.786610878661087,72.96976882039124,71.94337194337196,14.275618374558304,1.5984015984015985,65.33713200379867,1.0256410256410255,0.6674082313681868,16.518936341659952,,23.921795070885306
Other,0,0,0,2.0454545454545454,0,0,0,0,0.7792207792207793,0,0,0,0,0,0,0.35398230088495575,0,0,0,0,0,1.8404907975460123,0,0,14.71004243281471,0,0,0,0,0,0.6276150627615062,2.430349733254298,0,0.9893992932862191,0,2.7540360873694207,0,0,0.40290088638195,,55.9315931656991
Preposition,100.0,0,99.22928709055877,0,0,3.763440860215054,0,0,0,0,0,0,0,0,0,0,67.31946144430844,0,0,0,0,0,0,100.0,0,67.35668789808918,0,40.50420168067227,91.86746987951807,0,2.7196652719665275,0.23710729104919975,0,12.15547703180212,0,0,1.1282051282051282,0,0,,34.711299473308394
Pronoun,0,0,0,0,0,0,0,0,0,0,31.601731601731604,0,97.06601466992664,0,21.666666666666668,0,0,0,0,81.60442600276625,0,0.81799591002045,0,0,81.8953323903819,0,0,0,0.30120481927710846,1.0854816824966078,1.5690376569037656,0,0,9.540636042402827,0,0.8547008547008548,0,89.21023359288098,0.24174053182917005,,40.49330057711506
Verb,0,0,0.3853564547206166,0.45454545454545453,0,86.15591397849462,95.37223340040241,6.616257088846881,75.84415584415584,77.80548628428927,43.14574314574315,31.472081218274113,0,3.9761431411530808,22.916666666666664,89.5575221238938,12.362301101591187,0.7371007371007371,34.08163265306123,0,7.218934911242603,22.903885480572594,4.951560818083961,0,0.4243281471004243,22.611464968152866,1.4727540500736378,12.100840336134455,0,59.2944369063772,84.51882845188284,1.4226437462951986,4.247104247104247,2.3321554770318023,0.7492507492507492,4.083570750237417,87.17948717948717,0,16.841257050765513,,22.064062069176938

Focus,100.0,100.0,99.14494672893441,97.24334022251011,100.0,89.88060387609067,100.0,85.6800248988448,81.40504841309821,81.7818067807623,51.35421016782151,50.521655176007016,96.76078376477314,80.67711736202688,51.64708078386258,90.20269812939723,66.59978029518699,98.09568420234856,49.008122920146924,80.40287501163691,63.967351407552506,40.39628878258013,86.4801728824779,100.0,82.77300708564087,67.82724116905506,63.73648332155087,45.95655564316489,92.53001444234391,60.948092458329775,83.82014778390239,74.91517534234981,73.82577106649009,32.325396857951475,92.9232583385865,65.91363089605605,87.5160317819509,99.17766315260505,40.97727387045345

