Class,to,you,CLASS75,CLASS2386,CLASS2407,CLASS2473,CLASS2500,CLASS2550,CLASS2561,CLASS2570,CLASS2572,CLASS2576,CLASS2581,CLASS2583,CLASS2585,CLASS2591,CLASS2595,CLASS2596,CLASS2597,CLASS2598,CLASS2599,CLASS2600,CLASS2601,CLASS2602,CLASS2603,CLASS2604,CLASS2608,CLASS2611,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2619,CLASS2620,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,,Focus
CC,0,0,99.77142857142857,0,0,0,0,0,0,0,0,0,0,0,37.582417582417584,0,0,0,0,0,0,0,0,0,0,1.3480392156862746,0,0.49019607843137253,0,0,4.020618556701031,0,0,0,0,0,0,0,0,0,,73.73537864073816
CD,0,0,0,2.0689655172413794,0,0,0,7.441016333938294,0,0,0,0,0,0,0,1.6885553470919326,0,0,0,0,0.7692307692307693,0,0,0,0,0.7352941176470588,14.772727272727273,0,4.809286898839138,0,0,0,0,0,0,0,0,0,0,0,,52.390111422180254
DT,0,0,0,0,0,100.0,0,0,0,0,0,0,1.8337408312958436,0,0,5.253283302063791,0,0,0,0,0,0,0,0,0,0,1.278409090909091,11.151960784313726,0,0,94.3298969072165,0,0,0,0,0,20.3281677301732,0,0.9113504556752278,0,,57.937375128937255
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.511756569847856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0.3629764065335753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
IN,0,0,0,0,98.9247311827957,0,0,0,0,8.779443254817988,79.47761194029852,0,0,0,5.274725274725275,0,0.45871559633027525,99.07834101382488,0,0,0,0,0,1.6826923076923077,0,9.436274509803921,0,0.24509803921568626,0,0,0,0,77.11088504577823,0,0.6548175865294669,0,0,0,58.57497928748965,0,,40.330422829587945
JJ,0,0,0,0,0,0,0,3.6297640653357535,6.695464362850973,2.569593147751606,8.955223880597014,13.86861313868613,0,3.5422343324250685,0.43956043956043955,6.0037523452157595,13.646788990825687,0.4608294930875576,0,0,4.102564102564102,10.514786418400876,0.35398230088495575,0.9615384615384616,0,0,0,5.147058823529411,5.804311774461028,0.6564551422319475,0.36082474226804123,10.616113744075829,0,8.034433285509325,1.8709073900841908,6.048387096774194,5.469462169553328,58.03571428571429,0.16570008285004142,16.977225672877847,,31.66725498314792
JJR,0,0,0,0,0,0,0,0,0.6479481641468683,0,0,0,0,0,0,0,0.22935779816513763,0,0,0,0,2.08105147864184,13.982300884955754,0,0,0,0,0,0,0,0,0,0,0,0,0.2688172043010753,0,0,0,0,,81.74887448613782
JJS,0,0,0,0,0,0,0.3738317757009346,0,0,0,0,1.4598540145985401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6633499170812603,0,0,0,0,0,0,0.2688172043010753,0.9115770282588878,0.2232142857142857,0.16570008285004142,1.3802622498274673,,40.969860656162666
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.952965235173824,0,0,0,0,0,59.54545454545455,0,0,0,0,0,0,0,0,2.1520803443328553,7.296538821328344,0,0,0,0,0,,78.97627450092348
