Class,CLASS2654,CLASS2655,CLASS2660,CLASS2661,CLASS2662,,Focus
CC,0,0,1.1123787792355961,16.459434255517564,0,,92.29067718865439
CD,0,0.0752823086574655,1.5687393040501996,0,1.0167533217793183,,60.66566038148108
DT,0.4443127962085308,4.592220828105395,36.65145464917285,1.6474976686353746,0.5430387059503178,,79.86975468813058
EX,2.251184834123223,0,0,0,0,,100.0
FW,0,0,0,0.031084861672365557,0,,100.0
IN,9.774881516587678,0.8782936010037641,2.852253280091272,37.79919179359652,0.5199306759098787,,68.09651255267637
JJ,2.4289099526066353,1.4554579673776662,1.9965772960638906,0.979173142679515,14.62738301559792,,60.36159786354977
JJR,0,0.6775407779171895,0,0.031084861672365557,0.878105141536684,,60.10134993566497
JJS,0,0,0.1426126640045636,0.031084861672365557,0.41594454072790293,,66.97877607818046
MD,0,9.385194479297365,0.2139189960068454,0,0,,97.23828300738637
NN,0.5035545023696683,2.484316185696361,3.9788933257273245,2.0982281628846753,34.99711149624494,,74.54805697367551
NNP,0.32582938388625593,0.7779171894604767,1.0125499144324015,2.8442648430214486,16.279607163489313,,71.52206451307823
NNPS,0,0.05018820577164366,0,0,0.046216060080878106,,61.32381714251578
NNS,0.08886255924170616,0.7779171894604767,0.8984597832287506,0.48181535592166613,8.781051415366841,,74.79886968849226
PRP,62.944312796208536,0,3.3371363377067884,0.12433944668946223,1.2478336221837087,,91.40595504644175
PRP$,0,0,8.38562464346834,0,0,,100.0
RB,6.48696682464455,5.746549560853199,8.49971477467199,5.828411563568542,6.689774696707105,,7.47386213515739
RBR,0,0,0.028522532800912718,0,0.023108030040439053,,61.795921173671665
RBS,0,0,0,0,0.10398613518197573,,100.0
RP,0,0,2.895037079292641,0,2.218370883882149,,62.12445626353386
TO,0,0,0,11.345974510413429,0,,100.0
UH,0,0,0,0.2175940317065589,0.05777007510109763,,76.52104460236009
VB,0.1481042654028436,7.227101631116688,11.722760981175128,1.1035125893689772,0.5892547660311959,,55.04847505767007
VBD,0,41.63111668757842,2.424415288077581,10.537768106931924,2.564991334488735,,67.85024497593074
VBG,0,5.34504391468005,4.335424985738734,1.0413428660242463,3.0387059503177354,,36.16572240249912
VBN,0.05924170616113744,0.9284818067754078,4.306902452937821,0.419645632576935,1.2016175621028307,,54.74837867402969
VBP,0,6.624843161856964,2.053622361665716,0.2953061858874728,0.09243212016175621,,69.50027616483673
VBZ,0.11848341232227488,4.416562107904642,0.3280091272104963,0.27976375505129003,0.5199306759098787,,72.71164309571343
WDT,1.481042654028436,0,0.057045065601825436,0,0,,95.4315511093921
WP,1.8068720379146919,0,0,2.1293130245570406,0,,61.57873092227245
WP$,0,0,0,0,0.03466204506065858,,100.0
WRB,0,0.05018820577164366,0,3.1706558905812874,0,,98.0638177404197

Focus,71.30108894880418,46.20803748761752,39.286808467113794,42.86453045989377,42.111862393148805

Adjective,2.4289099526066353,2.132998745294856,2.139189960068454,1.041342866024246,15.921432697862507,,59.31377911629345
Adverb,6.48696682464455,5.796737766624843,8.528237307472903,8.999067454149829,6.81686886192952,,8.385173960679621
Conjunction,0,0,1.1123787792355961,16.459434255517564,0,,92.29067718865439
Determiner,1.925355450236967,4.592220828105395,36.708499714774675,1.6474976686353746,0.5430387059503178,,76.38443864854423
GrammarOther,2.251184834123223,9.385194479297365,3.1089560752994867,0,2.218370883882149,,46.688794221489125
Noun,0.9182464454976303,4.090338770388958,5.889903023388477,5.424308361827791,60.10398613518198,,73.52300261500396
Other,0,0.0752823086574655,1.5687393040501996,0.24867889337892446,1.074523396880416,,52.23967044277214
Preposition,9.774881516587678,0.8782936010037641,2.852253280091272,49.14516630400995,0.5199306759098787,,73.44135137727991
Pronoun,64.75118483412322,0,11.722760981175128,2.253652471246503,1.2824956672443673,,77.25476082387641
Verb,0.32582938388625593,66.17314930991218,25.171135196805476,13.677339135840846,8.006932409012133,,51.19277063284673

Focus,70.7391661643649,68.63310256069886,38.10747362900406,47.83922364741561,60.37151308441552

