Class,CLASS2651,CLASS2657,CLASS2658,CLASS2659,CLASS2660,CLASS2661,,Focus
CC,28.637101135749056,0,0,1.8275538894095593,0,0,,92.98723352543217
CD,0.16224986479177933,0.15579020252726328,0.1829640170766416,2.436738519212746,0,1.120147307043118,,57.469755752335416
DT,2.4607896160086535,4.344815648260343,0.3049400284610693,59.81724461105904,0,0.16878932023937393,,87.20238059459705
EX,0,0,1.5450294775360847,0,0,0,,100.0
FW,0,0,0,0,0.046696240952603316,0,,100.0
IN,13.980530016224987,36.714557728925044,0,9.090909090909092,0.1634368433341116,0.13810035292312414,,58.34866733290968
JJ,0.1081665765278529,4.033235243205816,4.0658670461475905,0.5857544517338332,0.8405323371468596,17.047721344176768,,58.903977111540925
JJR,0,1.107841440193872,0.04065867046147591,0,0.6303992528601448,0.18413380389749884,,56.30436658961073
JJS,0.05408328826392645,0.17310022503029254,0,0,0,0.5524014116924966,,68.3701589804345
MD,0,0,0.3049400284610693,0,8.732197058136821,0,,96.00778291227633
NN,2.893455922120065,3.790894928163407,3.964220369993901,4.428303655107778,1.9145458790567358,42.458186282031605,,65.80560005076444
NNP,5.029745808545159,1.6444521377877792,11.018499695059973,0.5623242736644799,0.5603548914312398,12.79729937087617,,42.0492386642309
NNPS,0,0,0,0,0.046696240952603316,0.06137793463249962,,64.11496372551015
NNS,0.5949161709031909,2.3714730829150077,0.5285627159991868,1.9681349578256795,0.6537473733364464,9.068589841951818,,53.18899620922861
PRP,0,1.9041024753332179,43.36247204716406,3.467666354264293,0,1.288936627282492,,84.26218887028087
PRP$,0,0,0,12.089971883786317,0,1.1048028233849931,,90.3256914826228
RB,8.923742563547863,8.464601003981304,13.478349257979264,0.21087160262417995,4.64627597478403,4.726100966702471,,27.646657917358787
RBR,0,0,0.04065867046147591,0.046860356138706656,0,0,,63.48328667671588
RBS,0,0,0,0,0,0.13810035292312414,,100.0
RP,0,3.513934568114938,1.5043708070746087,0,0,1.8106490716587387,,51.0222649605369
TO,0,0,0,0,17.04412794770021,0,,100.0
UH,0.3785830178474851,0,0.10164667615368977,0,0,0,,77.42946885019579
VB,0.6760411032990805,15.07702960013848,0.447245375076235,0,6.514125612888162,0.6137793463249962,,63.015285774982
VBD,16.657652785289343,2.8215336679937684,6.505387273836146,0.14058106841611998,36.77328975017511,0.7518796992481203,,54.5704493324798
VBG,0.6760411032990805,7.443309676302579,2.8664362675340516,2.108716026241799,2.2881158066775624,0.966702470461869,,36.78611217301659
VBN,0,4.137095378223991,2.6428135799959342,0.28116213683223995,1.0740135419098762,0.6905017646156207,,44.45481250938661
VBP,0.08112493239588967,0.43275056257573136,0.6911973978450905,0,8.498715853373803,0.13810035292312414,,83.86696649331833
VBZ,0,0.6924009001211702,0.9961374263061598,0.09372071227741331,3.689003035255662,0.23016725487187356,,59.915673150337966
WDT,0,0,1.0977841024598496,0,0,0,,100.0
WP,3.704705246078962,0,1.2400894490750154,0,0,0,,74.09839908725606
WP$,0,0,0.06098800569221387,0,0,0,,100.0
WRB,5.516495402920498,0,0,0,0.046696240952603316,0,,98.99616188507886

Focus,39.45333474557348,40.32384387931137,47.136570114030114,61.30752217070587,43.68393506111689,48.68139961200001

Adjective,0.16224986479177936,5.314176908429981,4.106525716609067,0.5857544517338332,1.4709315900070044,17.784256559766764,,55.17330383383461
Adverb,14.440237966468361,8.464601003981304,13.51900792844074,0.2577319587628866,4.692972215736633,4.864201319625595,,29.241656203764066
Conjunction,28.637101135749056,0,0,1.8275538894095593,0,0,,92.98723352543217
Determiner,2.4607896160086535,4.344815648260343,1.4027241309209189,59.81724461105904,0,0.16878932023937393,,85.45387771634371
GrammarOther,0,3.513934568114938,3.354340313071763,0,8.732197058136821,1.8106490716587387,,45.63262516561245
Noun,8.518117901568415,7.806820148866194,15.51128278105306,6.958762886597937,3.1753443847770253,64.38545342949209,,53.4484081874524
Other,0.5408328826392644,0.15579020252726328,0.2846106932303314,2.436738519212746,0.046696240952603316,1.120147307043118,,48.31421966361599
Preposition,13.980530016224987,36.714557728925044,0,9.090909090909092,17.207564791034322,0.13810035292312414,,43.32576522175689
Pronoun,3.704705246078962,1.9041024753332179,44.66354950193129,15.557638238050611,0,2.393739450667485,,61.85892231109903
Verb,18.090859924283397,30.604119785355724,14.149217320593616,2.6241799437675724,58.837263600280174,3.3911308884456037,,40.4787999773292

Focus,33.42802058121052,41.36181245920953,44.912626200287725,58.07636108996714,61.12747952996839,65.7006440664819

