Class,CLASS2646,CLASS2651,CLASS2655,CLASS2656,CLASS2657,CLASS2659,CLASS2660,,Focus
CC,0,27.27272727272727,0,0,2.1098187719772787,0,0,,91.89587722337407
CD,0,0.1545197012619109,1.2674271229404308,0.21216407355021216,0.08114687584527995,2.9385771100309324,0,,62.37677515828717
DT,0,0.28328611898017,0.38022813688212925,62.423385195662426,0,0.1988510826336721,3.5527690700104495,,92.42963273896872
EX,0,0,1.9264892268694551,0,0,0,0,,100.0
FW,0,0,0,0,0,0.04418912947414936,0,,100.0
IN,0,20.911666237445274,0,0.0942951438000943,0,0,33.22884012539185,,66.68814055511812
JJ,32.14574898785425,0.1545197012619109,3.2953105196451205,1.2258368694012258,1.1360562618339194,8.462218294299602,3.015375429168533,,60.96744710597293
JJR,0.2834008097165992,0.05150656708730364,0.050697084917617236,0,0.4057343792263998,1.7454706142288996,0,,65.65145418936315
JJS,0.688259109311741,0.05150656708730364,0,0,0,0.41979673000441897,0.14927601134497687,,54.124523053660226
MD,0,0,0,0,9.196645929131728,0,0.7314524555903866,,91.69280515839414
NN,23.765182186234817,3.064640741694566,2.737642585551331,4.455445544554455,1.7581823099810656,48.519664162615996,4.403642334676817,,52.43174075228346
NNP,25.506072874493928,4.9446304403811485,11.939163498098859,0.7779349363507779,0.054097917230186636,6.142288996906761,1.477832512315271,,46.96950505913666
NNPS,0.08097165991902834,0,0,0,0.054097917230186636,0.04418912947414936,0,,49.85222353487
NNS,5.870445344129554,0.56657223796034,0.2788339670468948,3.536067892503536,0.7573708412226129,9.787892178524082,1.328556500970294,,42.43774510089074
PRP,0,0,53.865652724968314,5.563413484205563,0,0,1.701746529332736,,86.5874058964611
PRP$,0,0,0,13.649222065063649,0,0.1988510826336721,0,,98.33492132542585
RB,6.761133603238867,9.193922225083698,9.074778200253487,0.9665252239509665,5.409791723018664,8.594785682722051,7.254814151365875,,16.207557333273442
RBR,0,0,0,0.04714757190004715,0,0,0.02985520226899537,,66.78956967501878
RBS,0,0,0,0,0,0.1988510826336721,0,,100.0
RP,0,0,1.875792141951838,0,0,2.6071586389748123,3.0303030303030303,,48.61310078315826
TO,0,0,0,0,19.745739789018124,0,0,,100.0
UH,0,0.36054596961112545,0.12674271229404308,0,0,0,0,,74.22648834473662
VB,0.12145748987854252,3.476693278392995,0.2788339670468948,0.2828854314002829,1.6229375169055993,0.4860804242156429,14.8380355276907,,67.04644094892733
VBD,0.6477732793522267,16.43059490084986,0.050697084917617236,0.7072135785007072,43.602921287530435,2.9385771100309324,4.448425138080311,,61.26101598094402
VBG,0.44534412955465585,0.7725985063095545,0.3548795944233207,4.21970768505422,2.975385447660265,1.2372956252761822,6.672637707120465,,37.70754153823384
VBN,0.44534412955465585,0.23177955189286636,0.6083650190114068,0.2828854314002829,1.1360562618339194,0.9500662836942113,4.9410359755187345,,51.435947327820166
VBP,0.12145748987854252,0.3090394025238218,0.050697084917617236,0,3.0024344062753583,0.15466195315952277,4.478280340349306,,59.207915612153464
VBZ,0,0,0.10139416983523447,0.1885902876001886,0.6491750067622396,0.7070260715863897,2.955665024630542,,60.65386322731864
WDT,0,0,1.2674271229404308,0,0,0.08837825894829872,0,,92.61836044312278
WP,0,3.528199845480299,1.5462610899873257,0,0,0,0,,71.10919730728617
WP$,0,0,0,0,0.08114687584527995,0,0,,100.0
WRB,0,5.25366984290497,0,0,0.054097917230186636,0,0,,98.81601851622372

Focus,47.74388576246142,38.739188009541955,60.33425858986926,64.26321400399988,50.716151108726024,51.66909519550338,37.16886335383279

Adjective,33.11740890688259,0.25753283543651817,3.346007604562738,1.2258368694012258,1.5417906410603193,10.62748563853292,3.1646514405135098,,58.379881586985896
Adverb,6.761133603238867,14.44759206798867,9.074778200253487,1.0136727958510137,5.46388964024885,8.793636765355723,7.284669353634871,,20.36140089008156
Conjunction,0,27.27272727272727,0,0,2.1098187719772787,0,0,,91.89587722337407
Determiner,0,0.28328611898017,1.64765525982256,62.423385195662426,0,0.28722934158197083,3.5527690700104495,,90.26545289686072
GrammarOther,0,0,3.8022813688212933,0,9.196645929131728,2.6071586389748123,3.761755485893417,,45.442633137718545
Noun,55.222672064777335,8.575843420036055,14.955640050697085,8.769448373408768,2.6237489856640517,64.49403446752099,7.210031347962381,,41.67493131450551
Other,0,0.5150656708730363,1.3941698352344738,0.21216407355021216,0.08114687584527995,2.982766239505082,0,,56.34404227074322
Preposition,0,20.911666237445274,0,0.0942951438000943,19.745739789018124,0,33.22884012539185,,49.50021084544316
Pronoun,0,3.528199845480299,55.41191381495564,19.212635549269212,0.08114687584527995,0.1988510826336721,1.701746529332736,,67.89977522805395
Verb,1.7813765182186234,21.220705639969097,1.4448669201520912,5.681282413955682,52.98890992696782,6.473707467962882,38.334079713390054,,41.95676825487405

Focus,62.08878098692578,34.10823326969088,58.77970740144751,62.35896560258251,55.55208157458321,64.43287878590375,44.928957422776286

