Class,CLASS2632,CLASS2646,CLASS2648,CLASS2650,CLASS2653,CLASS2654,CLASS2656,CLASS2657,CLASS2658,,Focus
CC,8.450704225352112,0,0,0,0,0,2.336028751123091,29.38404577583305,0,,72.83779277197911
CD,0.2726033621081327,0,0,0,1.483994064023744,0.09057971014492754,3.1147050014974544,0,0.3144654088050315,,60.27873707692204
DT,0,0,0,0.6147540983606558,0.7207971168115328,0,75.77118897873615,7.505890272635477,2.0789657582110412,,86.23440430125395
EX,0,0,0,3.114754098360656,0,0,0,0,0,,100.0
FW,0,0,0,0,0.0423998304006784,0,0,0,0,,100.0
IN,24.352567014993184,53.83022774327122,0.17072129748186088,0,0,0,0,29.24941097273645,5.817610062893082,,50.79878850999048
JJ,0.49977283053157656,2.236024844720497,31.75416133162612,0,9.921560313758745,0.36231884057971014,0.05989817310572028,1.3463480309660047,4.8567435359888185,,60.52352583875694
JJR,0,0,0.08536064874093044,0,0.4663981344074624,0.4528985507246377,0,0,1.1530398322851152,,54.786103226718765
JJS,0.09086778736937755,0,0.2560819462227913,0,0.6359974560101759,0,0,0.3365870077415012,0,,50.72029334320727
MD,0,0,0,0,0,11.292270531400966,0,0,0.2620545073375262,,97.47445364648978
NN,4.4525215810995,0.4968944099378882,40.71702944942381,0.5737704918032787,39.17744329022684,2.143719806763285,0.2695417789757413,0.3365870077415012,9.48637316561845,,51.50119744123589
NNP,6.497046796910495,0.16563146997929606,2.176696542893726,0.16393442622950818,18.25312698749205,0.7548309178743962,0,0.3365870077415012,10.604472396925226,,49.06875005146483
NNPS,0,0,0,0,0.0847996608013568,0.06038647342995169,0,0,0,,67.33532086769894
NNS,0.817810086324398,0,7.469056764831413,0.08196721311475409,9.26436294254823,0.7246376811594203,0.2695417789757413,0.7068327162571525,3.5290006988120197,,45.86933722260112
PRP,0,0,0,87.09016393442623,0,0,0,0,6.114605171208945,,92.84798066450335
PRP$,0,0,0,0,0.19079923680305277,0,17.340521114106018,0,0,,98.78152668390085
RB,16.810540663334848,2.236024844720497,11.22492530943235,0.08196721311475409,5.02437990248039,6.008454106280194,0,1.178054527095254,14.640111809923132,,33.532659632913756
RBR,0,0,0.08536064874093044,0,0,0,0,0,0.034940600978336823,,73.23300054332377
RBS,0,0,0,0,0.19079923680305277,0,0,0,0,,100.0
RP,0,8.405797101449275,0,0,2.5015899936400254,0,0,0,1.2928022361984626,,68.48178442189487
TO,0,30.22774327122153,0,0,0,0,0,0,0,,100.0
UH,0.6360745115856429,0,0,0,0,0,0,0,0.08735150244584207,,87.24241681051255
VB,1.3630168105406633,0,0.2560819462227913,0,0.48759804960780156,8.303140096618357,0,0.572197913160552,15.478686233403213,,61.21544347862582
VBD,2.0899591094956835,0.7867494824016562,0.4694835680751174,0,3.7311850752596993,47.40338164251207,0,21.440592393133624,4.716981132075472,,59.199407670708105
VBG,2.271694684234439,0.33126293995859213,1.3230900554844216,0,1.165995336018656,2.5060386473429954,0.41928721174004197,1.2453719286435545,9.940600978336828,,47.5866816960842
VBN,0.09086778736937755,0.2070393374741201,0.8536064874093043,0,1.3567945728217088,1.177536231884058,0,0.5385392123864019,5.695317959468903,,54.31152532863428
VBP,0.2271694684234439,0.2484472049689441,0,0,0.1695993216027136,10.778985507246377,0,0.2019522046449007,0.9259259259259258,,84.38265172785775
VBZ,0,0.2484472049689441,0.4694835680751174,0,0.48759804960780156,0.4227053140096618,0,5.250757320767418,0.9783368273934312,,63.84100765086917
WDT,0,0,0,2.0491803278688523,0,0,0,0,0.06988120195667365,,96.34561138418384
WP,6.224443434802362,0,0,2.5,0,0,0,0,0,,73.48543045300083
WP$,0,0,0,0,0.0635997456010176,0,0,0,0,,100.0
WRB,9.26851431167651,0,0,0,0,0.06038647342995169,0,0,0,,99.27385887938172

Focus,37.17828106802843,61.44065284420096,53.170128727554264,90.32059781344857,45.86886293747436,53.47308110111166,77.48156879582832,45.57638292744843,26.812053593513053

Adjective,0.5906406179009541,2.236024844720497,32.09560392658984,0,11.023955904176383,0.8152173913043479,0.05989817310572028,1.682935038707506,6.009783368273934,,57.270761255706184
Adverb,26.07905497501136,2.236024844720497,11.310285958173282,0.08196721311475409,5.215179139283443,6.0688405797101455,0,1.178054527095254,14.675052410901468,,38.78173739372169
Conjunction,8.450704225352112,0,0,0,0,0,2.336028751123091,29.38404577583305,0,,72.83779277197911
Determiner,0,0,0,2.663934426229508,0.7207971168115328,0,75.77118897873615,7.505890272635477,2.148846960167715,,83.88564166090134
GrammarOther,0,8.405797101449275,0,3.114754098360656,2.5015899936400254,11.292270531400966,0,0,1.5548567435359888,,46.09142550922704
Noun,11.767378464334394,0.6625258799171843,50.362782757148956,0.8196721311475409,66.77973288106847,3.683574879227053,0.5390835579514826,1.380006731740155,23.619846261355697,,46.413419585275854
Other,0.9086778736937755,0,0,0,1.5263938944244222,0.09057971014492754,3.1147050014974544,0,0.40181691125087354,,52.57556990836919
Preposition,24.352567014993184,84.05797101449275,0.17072129748186088,0,0,0,0,29.24941097273645,5.817610062893082,,58.398880351778125
Pronoun,6.224443434802362,0,0,89.59016393442623,0.2543989824040704,0,17.340521114106018,0,6.114605171208945,,73.26287223935138
Verb,6.042707860063608,1.8219461697722568,3.3717456252667524,0,7.3987704049183804,70.59178743961353,0.41928721174004197,29.24941097273645,37.735849056603776,,46.14154215355103

Focus,36.33811640115906,83.22516196856064,56.896445099227236,92.37113529441217,67.75249988800923,74.73850190468985,75.34154741345226,42.90268606454185,39.48666816721824

