Class,CLASS2630,CLASS2647,CLASS2648,CLASS2649,CLASS2652,CLASS2653,CLASS2654,CLASS2655,CLASS2656,CLASS2657
CC,0.30075187969924816,0.3270889087124591,42.66862170087977,0,0,0,9.991974317817014,0,0,0
CD,0,0.7136485280999109,0,5.087987758224942,0,0,1.6452648475120384,0,0.10873504893077202,0
DT,13.759398496240602,4.727921498661909,1.9550342130987293,0.42081101759755163,0.2344454463480613,2.4786324786324787,0.6019261637239166,18.828078524687687,2.7183762232693005,48.01993907504846
EX,0,2.2598870056497176,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0.0594883997620464,0,0
IN,32.857142857142854,2.527505203687184,20.527859237536656,8.990053557765876,5.446348061316502,12.008547008547009,32.102728731942214,10.797144556811421,3.334541500543675,0.7477153143173636
JJ,2.4060150375939853,4.579244721974428,4.887585532746823,3.7490436113236423,7.772768259693417,4.102564102564102,2.929373996789727,11.273051754907792,5.5092424791591155,2.6031570202160066
JJR,0,0.20814748736247396,0,0.26778882938026016,1.3165013525698828,0.3418803418803419,0,0.2379535990481856,0,0.05538631957906397
JJS,0.15037593984962408,0.5649717514124294,0,0.1530221882172915,0.03606853020739405,0.5555555555555556,0,0.1189767995240928,0.07249003262051468,0.05538631957906397
MD,0,0.4162949747249479,4.105571847507331,0.9946442234123948,1.7853922452660054,1.9230769230769231,0,0.446162998215348,3.8419717288872777,0
NN,11.052631578947368,17.900683913172763,2.1505376344086025,17.712318286151493,16.735798016230838,9.52991452991453,4.253611556982344,11.481261154074955,13.591881116346501,7.892550540016615
NNP,8.1203007518797,5.91733571216176,0.43988269794721413,4.284621270084163,12.281334535617674,1.2393162393162394,1.4847512038523276,4.074955383700178,8.082638637187387,4.707837164220438
NNPS,0,0,0,0.07651109410864575,0,0,0.08025682182985554,0,0.07249003262051468,0
NNS,0.2255639097744361,3.2114183764495987,1.2218963831867058,3.098699311400153,5.03155996393147,4.572649572649572,0.6420545746388443,4.074955383700178,3.008336353751359,1.3569648296870673
PRP,2.330827067669173,0,0,22.87681713848508,2.146077547339946,32.136752136752136,15.008025682182986,0.5651397977394408,1.6672707502718376,14.843533647189144
PRP$,0,7.404103479036575,0,0,3.0477908025247973,2.264957264957265,0,0,4.240666908300109,0
RB,12.857142857142856,13.172762414510853,1.270772238514174,12.968630451415455,8.710550045085663,3.290598290598291,1.3643659711075442,4.431885782272457,2.537151141718014,5.7047909166435895
RBR,0,0,0,0,0,0,0.08025682182985554,0,0,0.05538631957906397
RBS,0,0,0,0,0,0.38461538461538464,0,0,0,0
