Class,the,on,and,she,it,what,as,for,that,at,all,not,CLASS63,CLASS252,CLASS1252,CLASS1269,CLASS1975,CLASS2094,CLASS2114,CLASS2160,CLASS2232,CLASS2330,CLASS2353,CLASS2356,CLASS2380,CLASS2394,CLASS2407,CLASS2416,CLASS2417,CLASS2418,CLASS2430,CLASS2434,CLASS2436,CLASS2444,CLASS2445,CLASS2447,CLASS2462,CLASS2466,CLASS2470,CLASS2476,CLASS2478,CLASS2479,CLASS2481,CLASS2482,CLASS2486,CLASS2487,CLASS2488,CLASS2490,CLASS2491,CLASS2493,CLASS2496,CLASS2497,CLASS2498,CLASS2500,CLASS2503,CLASS2508,CLASS2510,CLASS2513,CLASS2514,CLASS2515,CLASS2516,CLASS2517,CLASS2518,CLASS2519,CLASS2521,CLASS2522,CLASS2523,CLASS2524,CLASS2525,CLASS2527,CLASS2528,CLASS2529,CLASS2530,CLASS2532,CLASS2533,CLASS2534,CLASS2535,CLASS2537,CLASS2541,CLASS2542,CLASS2546,CLASS2547,CLASS2548,CLASS2549,CLASS2551,CLASS2552,CLASS2554,CLASS2555,CLASS2556,CLASS2557,CLASS2558,CLASS2559,CLASS2560,CLASS2561,CLASS2562,CLASS2563,CLASS2564,CLASS2565,CLASS2566,CLASS2567
CC,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.36123348017621,0,0,0,0,0,0,0,0,0,0,1.2698412698412698,5.445544554455446,37.41794310722101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508474576,2.0361990950226243,0,0,0,0,0,0,0,5.7324840764331215,0,0,0,0,0,0,14.285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61344537815126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.70308788598575,0,0,0,0,0,0,0,0,0,0.8955223880597015,0,0,0
DT,100.0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,10.273972602739725,0,6.395348837209303,0,0,0,0,0,0,0,0,0,0,8.280254777070063,0,29.850746268656714,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.57407407407408,0,0,0,0,0,0,0,0,28.888888888888886,0,0,0,0,0,0,2.137767220902613,0,0,0,0,0,6.147540983606557,0,0,0,0,0,3.52760736196319,0
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.175257731958766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9389671361502347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,100.0,0,0,0,0,100.0,100.0,100.0,100.0,0,0,0,0,0,99.22928709055877,0,0,0,0,0,0,0,0,0,98.1981981981982,0,0,0,0,0,0,0,0,0,29.120879120879124,0,0,0,0,0,0,0,3.0120481927710845,0,2.5547445255474455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.248826291079812,0,0,0,96.05522682445759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6349206349206349,38.11881188118812,26.477024070021884,0.851063829787234,0.9732360097323601,0,49.40239043824701,0,0,0,0,0,0,54.50819672131148,53.20754716981132,0,0,0,0,0.6134969325153374,0
JJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5151515151515151,0,0,0,0,7.514450867052023,1.1299435028248588,0,0.9009009009009009,35.41666666666667,3.7593984962406015,8.51063829787234,0,2.797202797202797,0,10.828025477707007,3.91304347826087,25.37313432835821,0,1.282051282051282,0,7.76255707762557,2.955665024630542,0,0,0,18.67469879518072,3.571428571428571,4.37956204379562,0,0,0,10.948905109489052,0,65.13157894736842,1.3888888888888888,91.3907284768212,0,13.23529411764706,11.069418386491558,0,6.0606060606060606,13.302752293577983,10.552763819095476,3.755868544600939,0,2.7472527472527473,5.6722689075630255,0,33.33333333333333,0.3179650238473768,0,0,0,94.2982456140351,2.8169014084507045,83.6283185840708,7.879924953095685,7.795698924731183,16.666666666666664,3.2327586206896552,1.461988304093567,0,0,0.87527352297593,2.127659574468085,0.48661800486618007,0,0.796812749003984,0,4.032258064516129,1.2711864406779663,28.333333333333332,0,0.6651884700665188,2.459016393442623,16.22641509433962,0,2.0289855072463765,0,5.617977528089887,11.042944785276074,14.831460674157304
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4705882352941175,0,0,0,0,0,0,0,0,0.42016806722689076,0,0,0,0,0,0,0,30.046948356807512,0,2.25140712945591,0,0,0,0,0.6349206349206349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.477611940298507,0,1.0736196319018405,0
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8901734104046244,0,0,0,0,0,0,0,0,0,0,1.7391304347826086,7.462686567164178,1.098901098901099,1.282051282051282,0,0,0,0,0,0,0,0,0,0,0,0,9.48905109489051,0,0,0,1.3245033112582782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8771929824561403,0,0,0.37523452157598497,0,1.1111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5797101449275363,0,0,0.3067484662576687,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.954198473282442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.166666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.28571428571429,0,0,0,0,0,8.358208955223882,0,0,3.3707865168539324
