Class,CLASS2606,CLASS2626,CLASS2630,CLASS2632,CLASS2633,CLASS2636,CLASS2638,CLASS2641,CLASS2644,CLASS2645,CLASS2647,CLASS2648,CLASS2649,CLASS2650,CLASS2652
CC,0,0,0,0,0,5.098039215686274,0,0,0,0,0,0,0,0,30.025517436915226
CD,0,0,0,0,0.7188498402555911,0.39215686274509803,0,0.20533880903490762,2.493765586034913,7.017543859649122,0,0,0,0.9767598518019536,0
DT,2.259332023575639,1.1320754716981132,93.82839939789262,0,0,0,15.07996953541508,0,0.6483790523690772,47.233468286099864,0,0,0,0,2.891976183725546
EX,0,5.735849056603773,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,0.19646365422396855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0.3929273084479371,0,0,0,22.44408945686901,8.366013071895424,77.3038842345773,0,0,0,41.14960030452988,0.2967359050445104,0,0.1684068710003368,14.658349872412815
JJ,7.662082514734774,6.415094339622642,1.7059708981435024,0,0,1.3725490196078431,0.456968773800457,2.121834360027379,8.5785536159601,0,2.1317091739626948,3.9924467224170486,29.124820659971306,12.226338834624453,0.1701162461015027
JJR,6.974459724950884,0,0,0,0,0,0,1.0266940451745379,0.0997506234413965,0,0,0,0,0.5052206130010104,0.05670541536716756
JJS,0.19646365422396855,0,0.5017561465127948,0,0,0,0,0,0,0,0,0,0.2869440459110474,0.9430784776018861,0.05670541536716756
MD,0,0,0,0,0,0,0,20.26009582477755,0,0,0,2.508767197194497,0,0,0
NN,44.00785854616896,1.509433962264151,0.7526342197691922,0,2.9552715654952078,8.366013071895424,0.456968773800457,2.8062970568104038,13.815461346633418,0,2.77883517320137,3.3180469382249798,47.34576757532281,43.583698214887164,3.0337397221434648
NNP,21.807465618860512,0.1509433962264151,0.15052684395383845,0.9466437177280551,31.469648562300318,0.5882352941176471,0.38080731150038083,1.3004791238877482,7.630922693266832,0,0.30452988199467074,0.2967359050445104,1.7694882831181253,20.30986864264062,6.464417351857102
NNPS,0,0,0,0,0,0,0,0,0,0,0,0.05395198273536552,0,0.13472549680026946,0
NNS,7.760314341846758,0.22641509433962265,0.5519317611640743,0.17211703958691912,0,4.640522875816994,0.15232292460015232,0,7.531172069825437,0,0.723258469737343,1.2948475856487724,8.417025346724055,10.441226002020883,0.4536433229373405
PRP,0,59.924528301886795,0,69.01893287435456,42.25239616613419,6.928104575163399,0,0,7.581047381546134,5.668016194331984,0,0.21580793094146208,0,0,0
PRP$,0,0,0,0,0,0,0,0,0,39.068825910931174,0,0,0,0.30313236780060626,0
RB,1.768172888015717,15.320754716981133,1.7561465127947817,1.6351118760757317,0,1.1764705882352942,0.15232292460015232,12.320328542094455,25.187032418952622,0,2.436239055957366,10.709468572970056,8.082257293161167,1.0441226002020882,10.12191664303941
RBR,0,0,0,0,0,0,0,0,0.0997506234413965,0,0,0.05395198273536552,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30313236780060626,0
RP,0,0,0,0,0,0,0,0,0,0,15.036162923486868,0,0,0,0
TO,0,0,0,0,0,0,0,0,0,0,27.788351732013705,0,0,0,0
UH,0,0,0,0,0,0,0,0,0.24937655860349126,0,0,0,0,0,0.396937907570173
VB,0,0,0,0.4302925989672977,0,55.490196078431374,1.0662604722010662,18.275154004106774,1.2468827930174564,0,0.30452988199467074,0.7823037496628,0.1434720229555237,0.5725833614011452,0.5670541536716757
VBD,1.9646365422396856,0,0,0,0,1.6339869281045754,1.1424219345011426,1.7796030116358659,7.680798004987531,0,1.1419870574800153,48.71864041003507,0.3347680535628886,1.0104412260020208,17.46526793308761
VBG,0.68762278978389,0,0.5519317611640743,0,0.1597444089456869,2.679738562091503,2.8941355674028943,1.0951403148528405,8.778054862842893,0.20242914979757085,3.7685572896840505,10.115996762881036,0.9086561453849833,1.4146177164028293,0.5103487383045081
VBN,0.3929273084479371,0.1509433962264151,0,0,0,0.8496732026143791,0,0.6160164271047228,3.4912718204488775,0,1.446516939474686,7.850013487995684,0.5260640841702534,0.9093971034018189,0.1984689537850865
VBP,0.19646365422396855,0,0,0,0,1.045751633986928,0.6092916984006093,23.682409308692677,0.24937655860349126,0,0.3806623524933384,1.1329916374426758,0,0.10104412260020208,0.08505812305075135
VBZ,0,0.3018867924528302,0,0,0,0,0.30464584920030463,0,1.0473815461346634,0,0.15226494099733537,5.799838144051794,0.5260640841702534,0.23576961940047153,0
WDT,0,3.7735849056603774,0,0,0,0,0,0,0.199501246882793,0,0,0,0,0,0
WP,0,4.60377358490566,0,0,0,0,0,0,0,0,0,0,0,0,3.8843209526509783
WP$,0,0,0,0,0,0,0,0,0.14962593516209477,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0.13689253935660506,0,0,0,0,0,0,5.783952367451092

Focus,51.020959732264025,61.94237535310256,93.89098933657121,95.50701064258541,55.74251584222893,56.970922706287794,78.18500447802352,42.41122596509163,32.83210218785948,61.13017597266865,50.571593442258724,51.896169184943055,56.76832700134311,51.50104681020847,38.96757779837435

Adjective,14.833005893909625,6.415094339622642,2.207727044656297,0,0,1.3725490196078431,0.456968773800457,3.1485284052019167,8.678304239401497,0,2.1317091739626948,3.9924467224170486,29.41176470588235,13.674637925227351,0.28352707683583783
Adverb,1.768172888015717,15.320754716981133,1.7561465127947817,1.6351118760757317,0,1.1764705882352942,0.15232292460015232,12.45722108145106,25.286783042394017,0,2.436239055957366,10.763420555705421,8.082257293161167,1.3472549680026944,15.905869010490502
Conjunction,0,0,0,0,0,5.098039215686274,0,0,0,0,0,0,0,0,30.025517436915226
Determiner,2.259332023575639,4.90566037735849,93.82839939789262,0,0,0,15.07996953541508,0,0.8478802992518703,47.233468286099864,0,0,0,0,2.891976183725546
GrammarOther,0,5.735849056603773,0,0,0,0,0,20.26009582477755,0,0,15.036162923486868,2.508767197194497,0,0,0
Noun,73.57563850687623,1.8867924528301887,1.455092824887105,1.1187607573149743,34.424920127795524,13.594771241830063,0.9900990099009901,4.1067761806981515,28.97755610972569,0,3.806623524933384,4.963582411653628,57.532281205164985,74.46951835634894,9.951800396937907
Other,0.19646365422396855,0,0,0,0.7188498402555911,0.39215686274509803,0,0.20533880903490762,2.743142144638404,7.017543859649122,0,0,0,0.9767598518019536,0.396937907570173
Preposition,0.3929273084479371,0,0,0,22.44408945686901,8.366013071895424,77.3038842345773,0,0,0,68.93795203654359,0.2967359050445104,0,0.1684068710003368,14.658349872412815
Pronoun,0,64.52830188679246,0,69.01893287435456,42.25239616613419,6.928104575163399,0,0,7.730673316708229,44.73684210526316,0,0.21580793094146208,0,0.30313236780060626,3.8843209526509783
Verb,3.2416502946954813,0.4528301886792453,0.5519317611640743,0.4302925989672977,0.1597444089456869,61.69934640522875,6.016755521706017,45.44832306639288,22.493765586034907,0.20242914979757085,7.194518462124096,74.39978419206905,2.4390243902439024,4.243853149208488,18.82619790189963

Focus,75.27111747797112,62.97460083645042,93.39067162690428,95.1334164261392,52.436411464024324,60.13901389115851,76.30865441476587,54.009336514500305,37.61536891738525,61.02697627390178,67.5093496110353,74.82266765527052,62.09326074281566,77.104687043952,32.82370207521089

