Class,and,CLASS2600,CLASS2602,CLASS2604,CLASS2606,CLASS2626,CLASS2627,CLASS2630,CLASS2632,CLASS2633,CLASS2635,CLASS2636,CLASS2638,CLASS2640,CLASS2641,CLASS2642,CLASS2644,CLASS2645,CLASS2646,CLASS2647
CC,100.0,0,1.3237063778580023,0,0,0,0,0,0,0,9.599561162918267,5.098039215686274,0,0,0,0,0,0,0,0
CD,0,0,0,3.5409035409035408,0,0,0,0,0,0.7188498402555911,0,0.39215686274509803,0,0,0.20533880903490762,0,2.493765586034913,7.017543859649122,0,0
DT,0,0,0,0,2.259332023575639,1.1320754716981132,0,93.82839939789262,0,0,5.595172792100932,0,15.07996953541508,0,0,0,0.6483790523690772,47.233468286099864,0,0
EX,0,0,0,0,0,5.735849056603773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0.19646365422396855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,9.265944645006016,0,0.3929273084479371,0,0,0,0,22.44408945686901,24.136039495337354,8.366013071895424,77.3038842345773,0.3774879890185312,0,0,0,0,0.23255813953488372,41.14960030452988
JJ,0,5.897114178168131,0.24067388688327318,5.738705738705739,7.662082514734774,6.415094339622642,1.008827238335435,1.7059708981435024,0,0,0.21941854086670326,1.3725490196078431,0.456968773800457,4.804392587508579,2.121834360027379,43.431221020092735,8.5785536159601,0,14.69767441860465,2.1317091739626948
JJR,0,0,0,0.3663003663003663,6.974459724950884,0,0,0,0,0,0.10970927043335163,0,0,0,1.0266940451745379,0,0.0997506234413965,0,0.5581395348837209,0
JJS,0,0.5018820577164366,0,0.4884004884004884,0.19646365422396855,0,0,0.5017561465127948,0,0,0.10970927043335163,0,0,0,0,0.1545595054095827,0,0,1.1162790697674418,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1914893617021276,20.26009582477755,0,0,0,0,0
NN,0,64.74278544542032,0.36101083032490977,68.00976800976801,44.00785854616896,1.509433962264151,4.03530895334174,0.7526342197691922,0,2.9552715654952078,5.704882062534284,8.366013071895424,0.456968773800457,3.1228551818805768,2.8062970568104038,36.6306027820711,13.815461346633418,0,34.27906976744186,2.77883517320137
NNP,0,1.631116687578419,1.5643802647412757,2.31990231990232,21.807465618860512,0.1509433962264151,0.25220680958385877,0.15052684395383845,0.9466437177280551,31.469648562300318,11.793746571585299,0.5882352941176471,0.38080731150038083,0.3088538091969801,1.3004791238877482,1.8547140649149922,7.630922693266832,0,27.162790697674417,0.30452988199467074
NNPS,0,0,0,0,0,0,0.25220680958385877,0,0,0,0,0,0,0,0,0,0,0,0.18604651162790697,0
NNS,0,20.075282308657467,0.9626955475330927,8.302808302808302,7.760314341846758,0.22641509433962265,3.278688524590164,0.5519317611640743,0.17211703958691912,0,0.4388370817334065,4.640522875816994,0.15232292460015232,0.7549759780370624,0,1.2364760432766615,7.531172069825437,0,11.255813953488373,0.723258469737343
PRP,0,0,0,0,0,59.924528301886795,0,0,69.01893287435456,42.25239616613419,0,6.928104575163399,0,0.27453671928620454,0,0,7.581047381546134,5.668016194331984,0,0
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.068825910931174,0.4186046511627907,0
RB,0,1.0037641154328731,0.36101083032490977,1.465201465201465,1.768172888015717,15.320754716981133,3.278688524590164,1.7561465127947817,1.6351118760757317,0,19.41854086670324,1.1764705882352942,0.15232292460015232,12.731640356897737,12.320328542094455,12.442040185471406,25.187032418952622,0,0.8837209302325582,2.436239055957366
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06863417982155114,0,0,0.0997506234413965,0,0,0
RBS,0,0,0,1.098901098901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.036162923486868
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.788351732013705
UH,0,0,0,0,0,0,0,0,0,0,0.7679648930334613,0,0,0,0,0,0.24937655860349126,0,0,0
VB,0,0,0.36101083032490977,1.465201465201465,0,0,0.7566204287515763,0,0.4302925989672977,0,0.9325287986834888,55.490196078431374,1.0662604722010662,0.789293067947838,18.275154004106774,0.23183925811437403,1.2468827930174564,0,0.23255813953488372,0.30452988199467074
VBD,0,0.37641154328732745,74.12755716004813,0.3663003663003663,1.9646365422396856,0,64.56494325346785,0,0,0,0,1.6339869281045754,1.1424219345011426,44.40631434454359,1.7796030116358659,0.3091190108191654,7.680798004987531,0,1.255813953488372,1.1419870574800153
VBG,0,1.7565872020075282,0.601684717208183,1.8315018315018317,0.68762278978389,0,15.258511979823455,0.5519317611640743,0,0.1597444089456869,0.7131102578167855,2.679738562091503,2.8941355674028943,8.716540837336993,1.0951403148528405,0.38639876352395675,8.778054862842893,0.20242914979757085,1.255813953488372,3.7685572896840505
VBN,0,0,0,1.3431013431013432,0.3929273084479371,0.1509433962264151,4.03530895334174,0,0,0,0.38398244651673064,0.8496732026143791,0,8.888126286890872,0.6160164271047228,0.8500772797527048,3.4912718204488775,0,0.7441860465116279,1.446516939474686
VBP,0,0,0.36101083032490977,0,0.19646365422396855,0,0.25220680958385877,0,0,0,0,1.045751633986928,0.6092916984006093,1.3726835964310227,23.682409308692677,0,0.24937655860349126,0,0.13953488372093023,0.3806623524933384
VBZ,0,1.3801756587202008,0,0.6105006105006106,0,0.3018867924528302,0.6305170239596469,0,0,0,0,0,0.30464584920030463,7.20658888126287,0,0,1.0473815461346634,0,0.09302325581395349,0.15226494099733537
WDT,0,0,0,0,0,3.7735849056603774,0,0,0,0,0,0,0,0,0,0,0.199501246882793,0,0,0
WP,0,0,0,0,0,4.60377358490566,0,0,0,0,7.515085024684585,0,0,0,0,0,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14962593516209477,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,11.190345584201864,0,0,0,0.13689253935660506,0,0,0,0,0

