Class,and,CLASS63,CLASS1269,CLASS2479,CLASS2562,CLASS2583,CLASS2590,CLASS2591,CLASS2600,CLASS2602,CLASS2604,CLASS2605,CLASS2606,CLASS2608,CLASS2610,CLASS2612,CLASS2618,CLASS2620,CLASS2624,CLASS2626,CLASS2627,CLASS2628,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637
CC,100.0,0,0,0,0,0,0,0,0,1.3237063778580023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.599561162918267,5.098039215686274,0
CD,0,0,0,0,0,0,0,0,0,0,3.5409035409035408,0,0,0,13.147914032869783,0,0,0,0.3456221198156682,0,0,0,0,0,0,0.7188498402555911,0,0,0.39215686274509803,3.7650602409638556
DT,0,0,0,100.0,0,0,0,0,0,0,0,0,2.259332023575639,0,1.1378002528445006,0,0,0,0,1.1320754716981132,0,0,93.82839939789262,24.937027707808564,0,0,0,5.595172792100932,0,0.9789156626506025
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.735849056603773,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0.19646365422396855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,99.22928709055877,0,0,0,0,0.7153075822603719,0,9.265944645006016,0,35.338345864661655,0.3929273084479371,0,0,0,68.78048780487805,0,0,0,0,0,0,62.97229219143576,0,22.44408945686901,0.6100942872989462,24.136039495337354,8.366013071895424,0
JJ,0,0,0,0,0,23.065693430656932,0.33726812816188867,10.44349070100143,5.897114178168131,0.24067388688327318,5.738705738705739,1.2030075187969926,7.662082514734774,7.7834179357022,0,66.33825944170772,3.902439024390244,14.32791728212703,3.3410138248847927,6.415094339622642,1.008827238335435,16.747070985527223,1.7059708981435024,0.7556675062972292,0,0,5.213533000554631,0.21941854086670326,1.3725490196078431,5.647590361445784
JJR,0,0,0,0,0,0,0,1.7167381974248928,0,0,0.3663003663003663,0,6.974459724950884,0,0,0,0,0,1.7281105990783412,0,0,0,0,0,0,0,0,0.10970927043335163,0,0.15060240963855423
JJS,0,0,0,0,0,0,0,0.28612303290414876,0.5018820577164366,0,0.4884004884004884,0,0.19646365422396855,0,0,0.3284072249589491,0,0,0,0,0,1.5161957270847692,0.5017561465127948,0,0,0,0,0.10970927043335163,0,0
MD,0,0,0,0,0,0,5.733558178752108,0,0,0,0,0,0,0,0,0,0,0,30.184331797235025,0,0,0,0,0,0,0,5.158069883527454,0,0,0
NN,0,0,0,0,0,65.985401459854,1.6863406408094435,48.497854077253216,64.74278544542032,0.36101083032490977,68.00976800976801,8.571428571428571,44.00785854616896,3.7225042301184432,0,3.6124794745484397,1.3008130081300813,7.680945347119645,3.571428571428571,1.509433962264151,4.03530895334174,27.42935906271537,0.7526342197691922,0.7556675062972292,0,2.9552715654952078,3.826955074875208,5.704882062534284,8.366013071895424,16.94277108433735
NNP,0,0,0,0,0,2.335766423357664,2.866779089376054,3.719599427753934,1.631116687578419,1.5643802647412757,2.31990231990232,0,21.807465618860512,0.8460236886632826,0,1.3136288998357963,0.6504065040650406,2.806499261447563,0.2304147465437788,0.1509433962264151,0.25220680958385877,38.456237077877326,0.15052684395383845,0.6297229219143577,0.9466437177280551,31.469648562300318,0.22185246810870773,11.793746571585299,0.5882352941176471,10.090361445783133
NNPS,0,0,0,0,0,0,0,0.28612303290414876,0,0,0,0,0,0,0,0,0,0,0,0,0.25220680958385877,0.13783597518952445,0,0,0,0,0,0,0,0
NNS,0,0,0,0,0,2.335766423357664,0,18.025751072961373,20.075282308657467,0.9626955475330927,8.302808302808302,2.1052631578947367,7.760314341846758,2.3688663282571913,0,0,0.40650406504065045,1.4771048744460855,0,0.22641509433962265,3.278688524590164,7.994486560992418,0.5519317611640743,0.2518891687657431,0.17211703958691912,0,0.44370493621741547,0.4388370817334065,4.640522875816994,10.617469879518072
PRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.619469026548673,0,0,0,0,59.924528301886795,0,0,0,0,69.01893287435456,42.25239616613419,0.44370493621741547,0,6.928104575163399,11.44578313253012
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.19848293299621,0,0,0,0,0,0,0.6202618883528601,0,0,0,0,0,0,0,0
RB,0,0,0,0,0.576923076923077,1.313868613138686,1.1804384485666104,2.0028612303290414,1.0037641154328731,0.36101083032490977,1.465201465201465,6.917293233082707,1.768172888015717,32.82571912013537,0,24.958949096880133,1.4634146341463417,45.347119645494836,19.930875576036865,15.320754716981133,3.278688524590164,0.34458993797381116,1.7561465127947817,0.2518891687657431,1.6351118760757317,0,9.650582362728786,19.41854086670324,1.1764705882352942,14.909638554216867
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11092623405435387,0,0,0.15060240963855423
RBS,0,0,0,0,0,0,0,0,0,0,1.098901098901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,41.65413533834587,0,0,0,0,9.59349593495935,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,99.72677595628416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7679648930334613,0,0.37650602409638556
VB,0,0,0.3853564547206166,0,0,0,35.91905564924115,0.7153075822603719,0,0.36101083032490977,1.465201465201465,0,0,0,0,0.49261083743842365,0.6504065040650406,1.03397341211226,6.221198156682028,0,0.7566204287515763,0,0,1.5113350125944585,0.4302925989672977,0,1.2756516916250693,0.9325287986834888,55.490196078431374,1.355421686746988
VBD,0,0,0,0,92.11538461538461,0.583941605839416,2.5295109612141653,2.7181688125894135,0.37641154328732745,74.12755716004813,0.3663003663003663,0,1.9646365422396856,1.6920473773265652,0,0,2.4390243902439024,16.248153618906944,1.2672811059907834,0,64.56494325346785,0.5513439007580978,0,1.8891687657430731,0,0,44.647809206877426,0,1.6339869281045754,3.313253012048193
VBG,0,0,0.3853564547206166,0,0,0.7299270072992701,2.1922428330522767,1.859799713876967,1.7565872020075282,0.601684717208183,1.8315018315018317,0.9022556390977444,0.68762278978389,29.103214890016922,0.37926675094816686,0,7.560975609756097,3.5450516986706058,0.3456221198156682,0,15.258511979823455,0.9648518263266712,0.5519317611640743,4.534005037783375,0,0.1597444089456869,4.547975596228508,0.7131102578167855,2.679738562091503,11.44578313253012
VBN,0,0,0,0,0,1.6058394160583942,1.5177065767284992,1.4306151645207439,0,0,1.3431013431013432,2.706766917293233,0.3929273084479371,19.627749576988155,0,0,1.6260162601626018,1.9202363367799113,0,0.1509433962264151,4.03530895334174,0.41350792556857335,0,0,0,0,7.931225734886301,0.38398244651673064,0.8496732026143791,4.292168674698795
VBP,0,0,0,0,2.1153846153846154,0,41.8212478920742,0,0,0.36101083032490977,0,0.30075187969924816,0.19646365422396855,0,0,0,0.6504065040650406,0.4431314623338257,11.29032258064516,0,0.25220680958385877,0.20675396278428668,0,1.0075566750629723,0,0,1.6084303937881308,0,1.045751633986928,0.15060240963855423
VBZ,0,0,0,0,0.38461538461538464,0,0,0.28612303290414876,1.3801756587202008,0,0.6105006105006106,0,0,0.8460236886632826,0,0,0.3252032520325203,1.6248153618906942,0,0.3018867924528302,0.6305170239596469,0,0,0.5037783375314862,0,0,11.259012756516915,0,0,0.7530120481927711
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5908419497784343,0,3.7735849056603774,0,0,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60377358490566,0,0,0,0,0,0,0,7.515085024684585,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4431314623338257,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2304147465437788,0,0,0,0,0,0,0,0,11.190345584201864,0,0

Focus,100.0,100.0,99.20991120338721,100.0,96.70786039149645,70.54568635368481,56.54970108616097,55.686250266621705,68.95572874465722,82.99344302318023,70.19559326930484,54.33862821879438,51.020959732264025,47.41151237872342,75.54728015915857,72.28267384727226,69.55425560313056,50.55677395118312,47.15323705584384,61.94237535310256,67.34563846591581,51.4013930045208,93.89098933657121,66.86714719041531,95.50701064258541,55.74251584222893,48.16420547571791,35.33834922133048,56.970922706287794,30.117058099285586

Adjective,0,0,0,0,0,23.065693430656932,0.33726812816188867,12.44635193133047,6.398996235884567,0.24067388688327318,6.593406593406593,1.2030075187969926,14.833005893909625,7.7834179357022,0,66.66666666666667,3.902439024390244,14.32791728212703,5.0691244239631335,6.415094339622642,1.008827238335435,18.263266712611994,2.207727044656297,0.7556675062972292,0,0,5.213533000554631,0.4388370817334065,1.3725490196078431,5.798192771084338
Adverb,0,0,0,0,0.576923076923077,1.313868613138686,1.1804384485666104,2.0028612303290414,1.0037641154328731,0.36101083032490977,2.564102564102564,6.917293233082707,1.768172888015717,32.82571912013537,0,24.958949096880133,1.4634146341463417,45.347119645494836,20.161290322580644,15.320754716981133,3.278688524590164,0.34458993797381116,1.7561465127947817,0.2518891687657431,1.6351118760757317,0,9.76150859678314,30.608886450905104,1.1764705882352942,15.06024096385542
Conjunction,100.0,0,0,0,0,0,0,0,0,1.3237063778580023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.599561162918267,5.098039215686274,0
Determiner,0,0,0,100.0,0,0,0,0,0,0,0,0,2.259332023575639,0,1.1378002528445006,0,0,0.5908419497784343,0,4.90566037735849,0,0,93.82839939789262,24.937027707808564,0,0,0,5.595172792100932,0,0.9789156626506025
GrammarOther,0,0,0,0,0,0,5.733558178752108,0,0,0,0,41.65413533834587,0,0,0,0,9.59349593495935,0,30.184331797235025,5.735849056603773,0,0,0,0,0,0,5.158069883527454,0,0,0
