Class,the,and,CLASS63,CLASS1269,CLASS2232,CLASS2380,CLASS2479,CLASS2521,CLASS2537,CLASS2562,CLASS2563,CLASS2567,CLASS2571,CLASS2573,CLASS2575,CLASS2583,CLASS2585,CLASS2589,CLASS2590,CLASS2591,CLASS2598,CLASS2600,CLASS2602,CLASS2604,CLASS2605,CLASS2606,CLASS2608,CLASS2610,CLASS2612,CLASS2615,CLASS2616,CLASS2617,CLASS2618,CLASS2620,CLASS2621,CLASS2622,CLASS2624,CLASS2625,CLASS2626,CLASS2627
CC,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0.8771929824561403,0,0,0,0,0,0,0,1.3237063778580023,0,0,0,0,0,0,0,7.317073170731707,12.509144111192391,0,0,0,0,0,0,0,0
CD,0,0,0,0,0,2.0361990950226243,0,8.61344537815126,0,0,0,0,0,0,0,0,0,2.608695652173913,0,0,0,0,0,3.5409035409035408,0,0,0,13.147914032869783,0,0,0.5628517823639775,0,0,0,0,0,0.3456221198156682,0,0,0
DT,100.0,0,0,0,0,0,100.0,0,0,0,0,0,64.85714285714286,0,19.956140350877195,0,0,3.768115942028986,0,0,46.37002341920375,0,0,0,0,2.259332023575639,0,1.1378002528445006,0,0,0,0.8046817849305048,0,0,0,0,0,0,1.1320754716981132,0
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.735849056603773,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19646365422396855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,99.22928709055877,0,0,0,0,0,0,0,0,0,0,0.43859649122807015,0,100.0,0,0,0.7153075822603719,31.147540983606557,0,9.265944645006016,0,35.338345864661655,0.3929273084479371,0,0,0,0,12.007504690431519,32.04096561814191,68.78048780487805,0,34.69135802469136,0,0,0.8100147275405009,0,0
JJ,0,0,0,0,0,0,0,5.6722689075630255,3.2327586206896552,0,2.0289855072463765,14.831460674157304,9.714285714285714,2.9585798816568047,0,23.065693430656932,0,9.565217391304348,0.33726812816188867,10.44349070100143,1.405152224824356,5.897114178168131,0.24067388688327318,5.738705738705739,1.2030075187969926,7.662082514734774,7.7834179357022,0,66.33825944170772,0,0.5628517823639775,0.2926115581565472,3.902439024390244,14.32791728212703,0,21.338155515370705,3.3410138248847927,2.0618556701030926,6.415094339622642,1.008827238335435
JJR,0,0,0,0,0,0,0,0.42016806722689076,0,0,0,0,0,0,0.43859649122807015,0,0,0,0,1.7167381974248928,0,0,0,0.3663003663003663,0,6.974459724950884,0,0,0,0,0,0,0,0,0,0,1.7281105990783412,0,0,0
JJS,0,0,0,0,0,0,0,0,0,0,0.5797101449275363,0,2.857142857142857,0,0,0,0,0,0,0.28612303290414876,0,0.5018820577164366,0,0.4884004884004884,0,0.19646365422396855,0,0,0.3284072249589491,0,0,0.1463057790782736,0,0,0,1.8083182640144666,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,3.3707865168539324,0,0,0,0,0,0,5.733558178752108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.184331797235025,5.743740795287187,0,0
