Class,CLASS2657,CLASS2660,CLASS2661,CLASS2663
CC,0,0,1.1126961483594866,9.450294485097269
CD,0.05804953560371517,0.47713063507732806,2.282453637660485,0.08031411743708727
DT,0,0.3784139519578809,36.84736091298145,2.8109941102980547
EX,0,0,0,0.6782081028020703
FW,0,0.03290556103981573,0,0
IN,0.21284829721362228,0.14807502467917077,1.825962910128388,25.825450651436732
JJ,3.4636222910216716,17.275419545903258,3.238231098430813,1.3653399964304838
JJR,0.29024767801857587,1.4149391247120764,0.028530670470756064,0.01784758165268606
JJS,0,0.5923000987166831,0.14265335235378032,0.01784758165268606
MD,7.527089783281733,0,0,0
NN,3.1733746130030958,44.94899638038829,5.991440798858773,2.168481170801356
NNP,0.5804953560371517,14.18229680816058,2.353780313837375,5.782616455470284
NNPS,0.03869969040247678,0.06581112207963145,0,0
NNS,0.9287925696594427,9.295820993747943,3.3238231098430813,0.37479921470640726
PRP,0.15479876160990713,0,4.878744650499287,18.96305550597894
PRP$,0,0.14807502467917077,8.25962910128388,0
RB,11.16486068111455,3.5867061533399145,7.960057061340942,5.755845082991255
RBR,0.03869969040247678,0,0.028530670470756064,0
RBS,0,0.14807502467917077,0,0
RP,0,0,0,3.5248973764054967
TO,0,0,0,6.5143673032304115
UH,0,0,0.07132667617689016,0.12493307156880243
VB,5.727554179566564,0.3290556103981573,12.467902995720399,0.41941816883812244
VBD,35.44891640866873,0.9378084896347483,2.5534950071326676,5.898625736212743
VBG,7.565789473684211,1.1187890753537348,3.295292439372325,1.4010351597358557
VBN,5.8049535603715166,0.6910167818361304,1.1840228245363766,0.41941816883812244
VBP,7.507739938080496,0.08226390259953932,0.2995720399429387,0.18739960735320363
VBZ,4.160216718266254,0.29615004935834155,0.2995720399429387,0.10708548991611637
WDT,0,0,0.05706134094151213,0.44618954131715155
WP,0,0,0,1.7669105836159202
WP$,0,0,0.042796005706134094,0
WRB,0.03869969040247678,0,0,1.8204533285739781

Focus,35.48416532181224,47.66214334747353,37.473601688871845,31.069515917238544

Adjective,3.7538699690402475,19.28265876933202,3.40941512125535,1.4010351597358557
Adverb,11.242260061919506,3.734781178019085,7.988587731811698,7.576298411565233
Conjunction,0,0,1.1126961483594866,9.450294485097269
Determiner,0,0.3784139519578809,36.90442225392296,3.257183651615206
GrammarOther,7.527089783281733,0,0,4.203105479207567
Noun,4.721362229102167,68.49292530437644,11.66904422253923,8.325896840978046
Other,0.05804953560371517,0.5100361961171438,2.353780313837375,0.2052471890058897
Preposition,0.21284829721362228,0.14807502467917077,1.825962910128388,32.33981795466714
Pronoun,0.15479876160990713,0.14807502467917077,13.1811697574893,20.72996608959486
Verb,66.21517027863777,3.455083909180652,20.099857346647646,8.432982330894163

Focus,68.50115988991345,70.75126843824503,36.903842915024356,32.4674774030078

