Class,the,and,it,that,CLASS63,CLASS1269,CLASS2232,CLASS2380,CLASS2479,CLASS2486,CLASS2487,CLASS2521,CLASS2537,CLASS2541,CLASS2557,CLASS2558,CLASS2559,CLASS2561,CLASS2562,CLASS2563,CLASS2567,CLASS2571,CLASS2573,CLASS2574,CLASS2575,CLASS2576,CLASS2579,CLASS2580,CLASS2581,CLASS2583,CLASS2585,CLASS2589,CLASS2590,CLASS2591,CLASS2598,CLASS2600,CLASS2601,CLASS2602,CLASS2604,CLASS2605,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2612,CLASS2613,CLASS2614,CLASS2615,CLASS2616,CLASS2617
CC,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8771929824561403,0,0,0,0,0,0,0,0,0,0,0,0,1.3237063778580023,0,0,0,0,0,0,0,0,0,0,7.317073170731707,12.509144111192391
CD,0,0,0,0,0,0,0,2.0361990950226243,0,0,0,8.61344537815126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.608695652173913,0,0,0,0,0,0,3.5409035409035408,0,0,0.5424954792043399,0,13.147914032869783,0,0,0,0,0.5628517823639775,0
DT,100.0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,64.85714285714286,0,0,19.956140350877195,0,0,0,4.411764705882353,0,0,3.768115942028986,0,0,46.37002341920375,0,0,0,0,0,2.259332023575639,0,0,1.1378002528445006,0,0,0,0,0,0.8046817849305048
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.35294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19646365422396855,0,0,0,0,0,0,0,0,0
IN,0,0,0,100.0,0,99.22928709055877,0,0,0,0,2.5547445255474455,0,0,0,0,0,0,53.20754716981132,0,0,0,0,0,0,0.43859649122807015,0,0,0.5270092226613966,0,0,100.0,0,0,0.7153075822603719,31.147540983606557,0,0,9.265944645006016,0,35.338345864661655,0.3929273084479371,0,0,0,0,0,73.05699481865285,0,12.007504690431519,32.04096561814191
JJ,0,0,0,0,0,0,0,0,0,3.571428571428571,4.37956204379562,5.6722689075630255,3.2327586206896552,1.461988304093567,28.333333333333332,0,0.6651884700665188,16.22641509433962,0,2.0289855072463765,14.831460674157304,9.714285714285714,2.9585798816568047,53.125,0,0,0.6153846153846154,1.844532279314888,0,23.065693430656932,0,9.565217391304348,0.33726812816188867,10.44349070100143,1.405152224824356,5.897114178168131,21.91435768261965,0.24067388688327318,5.738705738705739,1.2030075187969926,7.662082514734774,5.244122965641953,7.7834179357022,0,66.33825944170772,10.146699266503667,0.5181347150259068,0,0.5628517823639775,0.2926115581565472
JJR,0,0,0,0,0,0,0,0,0,0,0,0.42016806722689076,0,0,0,0,0,0,0,0,0,0,0,0,0.43859649122807015,0,0,0,0,0,0,0,0,1.7167381974248928,0,0,0,0,0.3663003663003663,0,6.974459724950884,2.7124773960216997,0,0,0,0,0,0,0,0
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5797101449275363,0,2.857142857142857,0,5.208333333333334,0,0,0,0,0,0,0,0,0,0.28612303290414876,0,0.5018820577164366,0,0,0.4884004884004884,0,0.19646365422396855,0,0,0,0.3284072249589491,0.6112469437652812,0,0,0,0.1463057790782736
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.28571428571429,0,0,0,0,3.3707865168539324,0,0,0,0,0,24.0,0,0,0,0,0,5.733558178752108,0,0,0,0,0,0,0,0,5.063291139240507,0,0,0,0,0,0,0,0
