Class,CLASS2656,CLASS2657,CLASS2660,CLASS2661,CLASS2662
CC,0,0,0,1.1126961483594866,14.182402571313782
CD,0.2407060711420166,0.05804953560371517,0.47713063507732806,2.282453637660485,0
DT,0.4011767852366943,0,0.3784139519578809,36.84736091298145,4.017677782241864
EX,2.032629045199251,0,0,0,0
FW,0,0,0.03290556103981573,0,0
IN,7.515378443434074,0.21284829721362228,0.14807502467917077,1.825962910128388,34.993973483326634
JJ,2.2733351163412676,3.4636222910216716,17.275419545903258,3.238231098430813,0.9106736306414892
JJR,0,0.29024767801857587,1.4149391247120764,0.028530670470756064,0.026784518548279096
JJS,0,0,0.5923000987166831,0.14265335235378032,0.026784518548279096
MD,0,7.527089783281733,0,0,0
NN,1.5244717838994384,3.1733746130030958,44.94899638038829,5.991440798858773,2.490960224989956
NNP,10.885263439422307,0.5804953560371517,14.18229680816058,2.353780313837375,3.2275344850676313
NNPS,0,0.03869969040247678,0.06581112207963145,0,0
NNS,0.1337255950788981,0.9287925696594427,9.295820993747943,3.3238231098430813,0.49551359314316323
PRP,56.83337790853169,0.15479876160990713,0,4.878744650499287,0
PRP$,0,0,0.14807502467917077,8.25962910128388,0
RB,5.937416421503076,11.16486068111455,3.5867061533399145,7.960057061340942,5.6649256729610284
RBR,0,0.03869969040247678,0,0.028530670470756064,0
RBS,0,0,0.14807502467917077,0,0
RP,0,0,0,0,5.289942413285121
TO,0,0,0,0,9.77634927012187
UH,0,0,0,0.07132667617689016,0.18749162983795367
VB,0.1337255950788981,5.727554179566564,0.3290556103981573,12.467902995720399,0.5624748895138609
VBD,0,35.44891640866873,0.9378084896347483,2.5534950071326676,8.852283380206242
VBG,0.05349023803155924,7.565789473684211,1.1187890753537348,3.295292439372325,2.07580018749163
VBN,0.05349023803155924,5.8049535603715166,0.6910167818361304,1.1840228245363766,0.6026516673362796
VBP,0,7.507739938080496,0.08226390259953932,0.2995720399429387,0.28123744475693047
VBZ,0.10698047606311847,4.160216718266254,0.29615004935834155,0.2995720399429387,0.10713807419311638
WDT,1.3372559507889812,0,0,0.05706134094151213,0
WP,1.631452259962557,0,0,0,1.834739520557118
WP$,0,0,0,0.042796005706134094,0
WRB,0,0.03869969040247678,0,0,2.7320208919244675

Focus,55.96351527629503,35.48416532181224,47.66214334747353,37.473601688871845,36.29906394280176

Adjective,2.2733351163412676,3.7538699690402475,19.28265876933202,3.40941512125535,0.9642426677380475
Adverb,5.937416421503076,11.242260061919506,3.734781178019085,7.988587731811698,8.396946564885496
Conjunction,0,0,0,1.1126961483594866,14.182402571313782
Determiner,1.7384327360256755,0,0.3784139519578809,36.90442225392296,4.017677782241864
GrammarOther,2.032629045199251,7.527089783281733,0,0,5.289942413285121
Noun,12.543460818400643,4.721362229102167,68.49292530437644,11.66904422253923,6.2140083032007505
Other,0.2407060711420166,0.05804953560371517,0.5100361961171438,2.353780313837375,0.18749162983795367
Preposition,7.515378443434074,0.21284829721362228,0.14807502467917077,1.825962910128388,44.770322753448504
Pronoun,58.464830168494245,0.15479876160990713,0.14807502467917077,13.1811697574893,1.834739520557118
Verb,0.34768654720513503,66.21517027863777,3.455083909180652,20.099857346647646,12.481585643498061

Focus,61.77380630591279,68.50115988991345,70.75126843824503,36.903842915024356,42.225345593460624

