Class,the,on,and,it,as,that,all,CLASS63,CLASS1269,CLASS2232,CLASS2380,CLASS2394,CLASS2470,CLASS2476,CLASS2478,CLASS2479,CLASS2481,CLASS2486,CLASS2487,CLASS2503,CLASS2508,CLASS2514,CLASS2515,CLASS2516,CLASS2517,CLASS2518,CLASS2521,CLASS2522,CLASS2523,CLASS2524,CLASS2525,CLASS2529,CLASS2530,CLASS2534,CLASS2537,CLASS2541,CLASS2546,CLASS2551,CLASS2552,CLASS2556,CLASS2557,CLASS2558,CLASS2559,CLASS2560,CLASS2561,CLASS2562,CLASS2563,CLASS2564,CLASS2567,CLASS2571,CLASS2573,CLASS2574,CLASS2575,CLASS2576,CLASS2579,CLASS2580,CLASS2581,CLASS2582,CLASS2583,CLASS2584,CLASS2585,CLASS2586,CLASS2589,CLASS2590,CLASS2591,CLASS2593,CLASS2594,CLASS2595,CLASS2596,CLASS2597
CC,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.36123348017621,0,0,0,0,0,5.445544554455446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8771929824561403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.503173164097914,0
CD,0,0,0,0,0,0,0,0,0,0,2.0361990950226243,0,0,14.285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,8.61344537815126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8955223880597015,0,0,0,0,0,0,0,0,0,18.30985915492958,0,0,0,0,2.608695652173913,0,0,0,1.0204081632653061,0,0,0
DT,100.0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.147540983606557,0,0,0,0,0,64.85714285714286,0,0,19.956140350877195,0,0,0,4.411764705882353,1.584507042253521,0,2.857142857142857,0,0,3.768115942028986,0,0,0,0,0,0.9972801450589301,0
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.35294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9389671361502347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,100.0,0,0,100.0,100.0,0,0,99.22928709055877,0,0,98.1981981981982,0,0,0,0,0,0,2.5547445255474455,0,0,0,0,0,19.248826291079812,0,0,96.05522682445759,0,0,0,0,0,0,0,0,38.11881188118812,0,49.40239043824701,0,0,0,0,54.50819672131148,53.20754716981132,0,0,0,0,0,0,0,0.43859649122807015,0,0,0.5270092226613966,0,0,0,0.4968944099378882,100.0,0,0,0,0.7153075822603719,0,0.6802721088435374,0,15.775158658204896,0
JJ,0,0,0,0,0,0,0,0,0,0,0,0.9009009009009009,7.76255707762557,2.955665024630542,0,0,0,3.571428571428571,4.37956204379562,0,13.23529411764706,6.0606060606060606,13.302752293577983,10.552763819095476,3.755868544600939,0,5.6722689075630255,0,33.33333333333333,0.3179650238473768,0,94.2982456140351,2.8169014084507045,7.795698924731183,3.2327586206896552,1.461988304093567,0,0,0.796812749003984,1.2711864406779663,28.333333333333332,0,0.6651884700665188,2.459016393442623,16.22641509433962,0,2.0289855072463765,0,14.831460674157304,9.714285714285714,2.9585798816568047,53.125,0,0,0.6153846153846154,1.844532279314888,0,0,23.065693430656932,8.944099378881988,0,49.60629921259843,9.565217391304348,0.33726812816188867,10.44349070100143,11.754684838160136,0.6802721088435374,7.79436152570481,0.3626473254759746,3.3980582524271843
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4705882352941175,0,0,0,0,0,0.42016806722689076,0,0,0,0,0,30.046948356807512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.477611940298507,0,0,0,0,0.43859649122807015,0,0,0,0,0,0,0.8695652173913043,0,0,0,0,1.7167381974248928,0,0,0,0,0
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8771929824561403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5797101449275363,0,0,2.857142857142857,0,5.208333333333334,0,0,0,0,0,0,0,0.2484472049689441,0,0,0,0,0.28612303290414876,0.8517887563884157,0,0.6633499170812603,0.1813236627379873,0.9708737864077669
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.28571428571429,0,0,0,0,0,8.358208955223882,3.3707865168539324,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,5.733558178752108,0,0,0,0,0,0
NN,0,0,0,0,0,0,0,0,0,0,8.3710407239819,0.9009009009009009,5.0228310502283104,63.05418719211823,0,0,46.391752577319586,12.5,0.7299270072992701,0,70.09803921568627,18.181818181818183,14.220183486238533,5.025125628140704,23.004694835680752,0,8.61344537815126,1.7751479289940828,3.535353535353535,0,0,0,51.173708920187785,2.956989247311828,6.25,9.35672514619883,1.4851485148514851,3.10077519379845,11.952191235059761,2.11864406779661,1.0,0,0,2.459016393442623,0,0,37.68115942028986,0,13.258426966292136,4.285714285714286,26.429980276134124,0,12.06140350877193,1.7518248175182483,0,1.0540184453227932,1.4705882352941175,0,65.985401459854,42.11180124223603,0,5.774278215223097,14.492753623188406,1.6863406408094435,48.497854077253216,38.50085178875639,11.73469387755102,70.64676616915423,4.4424297370806896,69.41747572815534
NNP,0,0,0,0,0,0,0,0,0,0,89.14027149321268,0,0,4.926108374384237,0,0,0,6.785714285714286,0,0.7504690431519699,0,39.82683982683983,0,0,0,2.8688524590163933,18.487394957983195,0.39447731755424065,0,1.4308426073131957,0,3.508771929824561,0,1.3440860215053763,0,0.5847953216374269,1.9801980198019802,0,0.796812749003984,0.847457627118644,0,0,0,2.0491803278688523,1.509433962264151,0,42.89855072463768,0.5970149253731344,0.44943820224719105,0.8571428571428572,5.128205128205128,34.72222222222222,44.95614035087719,0.291970802919708,0,0.2635046113306983,0,0,2.335766423357664,27.577639751552795,0,0,5.797101449275362,2.866779089376054,3.719599427753934,37.13798977853492,1.1904761904761905,2.155887230514096,0.9066183136899365,2.1844660194174756
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8658008658008658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5847953216374269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28612303290414876,0,0,0,0,0
NNS,0,0,0,0,0,0,0,0,0,0,0,0,0.91324200913242,7.8817733990147785,0,0,36.08247422680412,2.142857142857143,0,0.37523452157598497,3.431372549019608,23.809523809523807,0,1.0050251256281406,6.572769953051644,0,1.2605042016806722,0,1.0101010101010102,0.9538950715421303,0,0,5.633802816901409,3.225806451612903,14.00862068965517,2.3391812865497075,0.9900990099009901,0,0.796812749003984,0,1.0,0,3.9911308203991127,0.819672131147541,1.8867924528301887,0,7.246376811594203,0,1.7977528089887642,3.1428571428571432,17.357001972386588,0,0.6578947368421052,0,0,0,0,0,2.335766423357664,8.322981366459627,0,0,13.623188405797102,0,18.025751072961373,6.132879045996593,0.6802721088435374,14.925373134328357,0.45330915684496825,10.922330097087379
PRP,0,0,0,100.0,0,0,0,0,0,95.06493506493506,0,0,0,0,0,0,0,0,0,81.80112570356472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.844827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7977528089887642,0,29.191321499013807,0,0,96.78832116788321,0,0,38.529411764705884,14.788732394366196,0,0,0,0,1.1594202898550725,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.27354260089686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,65.3169014084507,0,0,0,0,0,0,0,0,0,0,0,0
RB,0,0,0,0,0,0,0,0,0,4.935064935064935,0,0,47.48858447488584,1.9704433497536946,0,0,0,28.92857142857143,2.9197080291970803,0,1.4705882352941175,0,0,67.33668341708542,0.9389671361502347,0,35.714285714285715,0,46.464646464646464,0,0,0,0,24.193548387096776,1.9396551724137931,0,1.4851485148514851,17.05426356589147,2.788844621513944,1.694915254237288,67.0,1.5873015873015872,5.764966740576496,0.819672131147541,5.283018867924529,0.576923076923077,1.4492753623188406,50.14925373134328,2.0224719101123596,10.0,0.39447731755424065,0,4.385964912280701,0,0,20.685111989459813,0.5882352941176471,0,1.313868613138686,2.236024844720497,0,39.89501312335958,7.536231884057972,1.1804384485666104,2.0028612303290414,0,0.3401360544217687,1.3266998341625207,30.28105167724388,1.2135922330097086
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44943820224719105,0,0.39447731755424065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1844660194174756
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.74178403755869,0,0,0,0,0,0,0,0,0,0,0,0,78.68217054263566,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,0,0,0,99.72677595628416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.050420168067227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.070175438596491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,0,0,0,0,0,0,0,0,0.3853564547206166,0,0,0,0,0,0,0,0,1.4285714285714286,0.7299270072992701,0,3.431372549019608,0,24.770642201834864,0,0,2.0491803278688523,1.2605042016806722,0,1.5151515151515151,0.47694753577106513,64.75770925110133,0,0,0,44.827586206896555,1.1695906432748537,0,0,20.717131474103585,1.694915254237288,0,0,0.4434589800443459,4.918032786885246,1.509433962264151,0,0,0,2.9213483146067416,0,0,0,0,0,0,1.0540184453227932,0,0,0,0,0,0.7874015748031495,3.4782608695652173,35.91905564924115,0.7153075822603719,0,75.17006802721087,0,1.5412511332728922,1.2135922330097086
VBD,0,0,0,0,0,0,0,0,0,0,0,0,0.91324200913242,0,0,0,0,36.78571428571429,15.328467153284672,0,1.4705882352941175,0,4.128440366972478,3.5175879396984926,0,0,4.201680672268908,0.39447731755424065,0,93.0047694753577,0,0,3.755868544600939,2.1505376344086025,1.293103448275862,63.1578947368421,15.346534653465346,0,4.382470119521913,4.23728813559322,0,0,65.6319290465632,6.147540983606557,6.7924528301886795,92.11538461538461,1.1594202898550725,0.5970149253731344,25.168539325842698,0,0.7889546351084813,0,0,0,75.38461538461539,53.49143610013175,0,0,0.583941605839416,1.4906832298136645,0,0,5.797101449275362,2.5295109612141653,2.7181688125894135,0.6814310051107325,1.3605442176870748,0.4975124378109453,0,0
VBG,0,0,0,0,0,0,0,0,0.3853564547206166,0,0.4524886877828055,0,14.15525114155251,0,1.345291479820628,0,6.185567010309279,2.857142857142857,1.824817518248175,0,0,0.8658008658008658,0,2.512562814070352,2.8169014084507045,0,2.941176470588235,0.9861932938856016,5.555555555555555,0.3179650238473768,0,0,0.9389671361502347,37.903225806451616,0,9.941520467836257,1.4851485148514851,0,5.9760956175298805,35.59322033898305,0,0.9523809523809524,19.290465631929045,14.754098360655737,1.509433962264151,0,2.608695652173913,0,13.93258426966292,3.1428571428571432,11.834319526627219,0,0.8771929824561403,0,0,1.9762845849802373,0,0,0.7299270072992701,0.6211180124223602,0,0,22.608695652173914,2.1922428330522767,1.859799713876967,0.5110732538330494,4.421768707482993,0.33167495854063017,0.8159564823209429,3.640776699029126
VBN,0,0,0,0,0,0,0,0,0,0,0,0,22.831050228310502,0,0,0,0,0,2.5547445255474455,0,4.411764705882353,0,0,1.507537688442211,7.042253521126761,0,8.823529411764707,0,5.05050505050505,0,0,0,0.9389671361502347,17.741935483870968,1.0775862068965518,5.847953216374268,0,1.1627906976744187,0,0.847457627118644,0.6666666666666667,0,2.6607538802660753,0,6.7924528301886795,0,0.5797101449275363,0,6.51685393258427,0,1.9723865877712032,0,1.5350877192982455,0,0,14.09749670619236,0,0,1.6058394160583942,0.2484472049689441,0,0,1.4492753623188406,1.5177065767284992,1.4306151645207439,0.6814310051107325,1.3605442176870748,0,0,0.48543689320388345
VBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.862385321100916,1.507537688442211,0.9389671361502347,0,0.42016806722689076,0,0,0.47694753577106513,0,0,0.9389671361502347,0,2.1551724137931036,0.5847953216374269,0,0,2.3904382470119523,0.847457627118644,0,0.9523809523809524,0,3.278688524590164,2.2641509433962264,2.1153846153846154,0,5.6716417910447765,6.51685393258427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.8212478920742,0,0.5110732538330494,0,0,0,0
VBZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.670103092783505,1.7857142857142856,60.21897810218978,0,0,0,0,3.015075376884422,0,0,0.42016806722689076,0,0,0,0,0,0,1.3440860215053763,0,1.461988304093567,0,0,0,0,1.3333333333333335,0,0,1.639344262295082,1.509433962264151,0.38461538461538464,0,0,2.4719101123595504,0,0.7889546351084813,0,0,0,0,3.557312252964427,0,0,0,0,0,0,1.1594202898550725,0,0.28612303290414876,0,0,0,0,1.2135922330097086
