Class,CLASS2649,CLASS2652,CLASS2653,CLASS2655,CLASS2656,CLASS2657,CLASS2658,CLASS2659
CC,0,30.025517436915226,0,0,0,0,0,2.2065063649222063
CD,0,0,0.72736393278154,0,0.2407060711420166,0.05804953560371517,2.9928057553956835,1.5841584158415842
DT,0,2.891976183725546,0.5768748432405317,5.025380710659898,0.4011767852366943,0,73.9568345323741,0.3677510608203678
EX,0,0,0,0,2.032629045199251,0,0,0
FW,0,0,0.05016302984700275,0,0,0,0,0
IN,0,14.658349872412815,0.2257336343115124,53.1979695431472,7.515378443434074,0.21284829721362228,0,3.6209335219236207
JJ,29.124820659971306,0.1701162461015027,11.060948081264108,1.5736040609137056,2.2733351163412676,3.4636222910216716,0.9784172661870504,5.4596888260254595
JJR,0,0.05670541536716756,2.1570102834211187,0,0,0.29024767801857587,0,0.056577086280056574
JJS,0.2869440459110474,0.05670541536716756,0.7524454477050414,0,0,0,0.28776978417266186,0
MD,0,0,0,0,0,7.527089783281733,0,0
NN,47.34576757532281,3.0337397221434648,43.6919989967394,2.0050761421319794,1.5244717838994384,3.1733746130030958,0.4316546762589928,11.456859971711458
NNP,1.7694882831181253,6.464417351857102,20.692249811888637,0.3299492385786802,10.885263439422307,0.5804953560371517,0.08633093525179857,4.582743988684583
NNPS,0,0,0.1003260596940055,0,0,0.03869969040247678,0,0
NNS,8.417025346724055,0.4536433229373405,9.756709305242037,0.532994923857868,0.1337255950788981,0.9287925696594427,0.3165467625899281,6.280056577086281
PRP,0,0,0,0,56.83337790853169,0.15479876160990713,2.41726618705036,7.298444130127299
PRP$,0,0,0.2257336343115124,0,0,0,16.66187050359712,0
RB,8.082257293161167,10.12191664303941,1.2289942312515676,1.6751269035532996,5.937416421503076,11.16486068111455,1.0071942446043165,14.794908062234796
RBR,0,0,0,0,0,0.03869969040247678,0,0.056577086280056574
RBS,0,0,0.2257336343115124,0,0,0,0,0
RP,0,0,0,10.025380710659897,0,0,0,0
TO,0,0,0,18.527918781725887,0,0,0,0
UH,0,0.396937907570173,0,0,0,0,0,0.14144271570014144
VB,0.1434720229555237,0.5670541536716757,0.4263857536995234,0.5583756345177665,0.1337255950788981,5.727554179566564,0,24.724186704384724
VBD,0.3347680535628886,17.46526793308761,1.254075746175069,1.1421319796954315,0,35.44891640866873,0,5.063649222065063
VBG,0.9086561453849833,0.5103487383045081,1.2289942312515676,3.4771573604060912,0.05349023803155924,7.565789473684211,0.4028776978417266,6.138613861386139
VBN,0.5260640841702534,0.1984689537850865,0.7775269626285428,0.9644670050761422,0.05349023803155924,5.8049535603715166,0,2.3479490806223478
VBP,0,0.08505812305075135,0.1254075746175069,0.4568527918781726,0,7.507739938080496,0,0.594059405940594
VBZ,0.5260640841702534,0,0.17557060446450964,0.20304568527918782,0.10698047606311847,4.160216718266254,0,0.594059405940594
WDT,0,0,0,0,1.3372559507889812,0,0,0.11315417256011315
WP,0,3.8843209526509783,0,0,1.631452259962557,0,0,0
WP$,0,0,0,0,0,0,0,0.08486562942008487
WRB,0,5.783952367451092,0,0,0,0.03869969040247678,0,0

Focus,51.20933016183138,34.330936585509264,47.07790262401703,53.65316547970329,55.96351527629503,35.48416532181224,73.34665541313608,27.96579746789459

Adjective,29.41176470588235,0.28352707683583783,13.970403812390268,1.5736040609137056,2.2733351163412676,3.7538699690402475,1.2661870503597124,5.516265912305516
Adverb,8.082257293161167,15.905869010490502,1.45472786556308,1.6751269035532996,5.937416421503076,11.242260061919506,1.0071942446043165,14.851485148514852
Conjunction,0,30.025517436915226,0,0,0,0,0,2.2065063649222063
Determiner,0,2.891976183725546,0.5768748432405317,5.025380710659898,1.7384327360256755,0,73.9568345323741,0.48090523338048097
GrammarOther,0,0,0,10.025380710659897,2.032629045199251,7.527089783281733,0,0
Noun,57.532281205164985,9.951800396937907,74.24128417356408,2.8680203045685273,12.543460818400643,4.721362229102167,0.8345323741007195,22.31966053748232
Other,0,0.396937907570173,0.7775269626285427,0,0.2407060711420166,0.05804953560371517,2.9928057553956835,1.7256011315417257
Preposition,0,14.658349872412815,0.2257336343115124,71.7258883248731,7.515378443434074,0.21284829721362228,0,3.6209335219236207
Pronoun,0,3.8843209526509783,0.2257336343115124,0,58.464830168494245,0.15479876160990713,19.07913669064748,7.383309759547384
Verb,2.4390243902439024,18.82619790189963,3.9879608728367195,6.802030456852791,0.34768654720513503,66.21517027863777,0.4028776978417266,39.46251768033946

Focus,62.09326074281566,32.82370207521089,76.62003436977905,69.62405398975174,61.77380630591279,68.50115988991345,73.7885000461912,40.85793085787762

