Class,CLASS2636,CLASS2644,CLASS2649,CLASS2652,CLASS2653,CLASS2655,CLASS2656,CLASS2657,CLASS2658
CC,5.098039215686274,0,0,30.025517436915226,0,0,0,0,0
CD,0.39215686274509803,2.493765586034913,0,0,0.72736393278154,0,0.2407060711420166,0.05804953560371517,2.9928057553956835
DT,0,0.6483790523690772,0,2.891976183725546,0.5768748432405317,5.025380710659898,0.4011767852366943,0,73.9568345323741
EX,0,0,0,0,0,0,2.032629045199251,0,0
FW,0,0,0,0,0.05016302984700275,0,0,0,0
IN,8.366013071895424,0,0,14.658349872412815,0.2257336343115124,53.1979695431472,7.515378443434074,0.21284829721362228,0
JJ,1.3725490196078431,8.5785536159601,29.124820659971306,0.1701162461015027,11.060948081264108,1.5736040609137056,2.2733351163412676,3.4636222910216716,0.9784172661870504
JJR,0,0.0997506234413965,0,0.05670541536716756,2.1570102834211187,0,0,0.29024767801857587,0
JJS,0,0,0.2869440459110474,0.05670541536716756,0.7524454477050414,0,0,0,0.28776978417266186
MD,0,0,0,0,0,0,0,7.527089783281733,0
NN,8.366013071895424,13.815461346633418,47.34576757532281,3.0337397221434648,43.6919989967394,2.0050761421319794,1.5244717838994384,3.1733746130030958,0.4316546762589928
NNP,0.5882352941176471,7.630922693266832,1.7694882831181253,6.464417351857102,20.692249811888637,0.3299492385786802,10.885263439422307,0.5804953560371517,0.08633093525179857
NNPS,0,0,0,0,0.1003260596940055,0,0,0.03869969040247678,0
NNS,4.640522875816994,7.531172069825437,8.417025346724055,0.4536433229373405,9.756709305242037,0.532994923857868,0.1337255950788981,0.9287925696594427,0.3165467625899281
PRP,6.928104575163399,7.581047381546134,0,0,0,0,56.83337790853169,0.15479876160990713,2.41726618705036
PRP$,0,0,0,0,0.2257336343115124,0,0,0,16.66187050359712
RB,1.1764705882352942,25.187032418952622,8.082257293161167,10.12191664303941,1.2289942312515676,1.6751269035532996,5.937416421503076,11.16486068111455,1.0071942446043165
RBR,0,0.0997506234413965,0,0,0,0,0,0.03869969040247678,0
RBS,0,0,0,0,0.2257336343115124,0,0,0,0
RP,0,0,0,0,0,10.025380710659897,0,0,0
TO,0,0,0,0,0,18.527918781725887,0,0,0
UH,0,0.24937655860349126,0,0.396937907570173,0,0,0,0,0
VB,55.490196078431374,1.2468827930174564,0.1434720229555237,0.5670541536716757,0.4263857536995234,0.5583756345177665,0.1337255950788981,5.727554179566564,0
VBD,1.6339869281045754,7.680798004987531,0.3347680535628886,17.46526793308761,1.254075746175069,1.1421319796954315,0,35.44891640866873,0
VBG,2.679738562091503,8.778054862842893,0.9086561453849833,0.5103487383045081,1.2289942312515676,3.4771573604060912,0.05349023803155924,7.565789473684211,0.4028776978417266
VBN,0.8496732026143791,3.4912718204488775,0.5260640841702534,0.1984689537850865,0.7775269626285428,0.9644670050761422,0.05349023803155924,5.8049535603715166,0
VBP,1.045751633986928,0.24937655860349126,0,0.08505812305075135,0.1254075746175069,0.4568527918781726,0,7.507739938080496,0
VBZ,0,1.0473815461346634,0.5260640841702534,0,0.17557060446450964,0.20304568527918782,0.10698047606311847,4.160216718266254,0
WDT,0,0.199501246882793,0,0,0,0,1.3372559507889812,0,0
WP,0,0,0,3.8843209526509783,0,0,1.631452259962557,0,0
WP$,0,0.14962593516209477,0,0,0,0,0,0,0
WRB,0,0,0,5.783952367451092,0,0,0,0.03869969040247678,0

Focus,56.970922706287794,32.83210218785948,56.76832700134311,38.96757779837435,51.20659123987311,56.250327719322456,63.307564989009414,40.77345846962923,75.53123509083974

Adjective,1.3725490196078431,8.678304239401497,29.41176470588235,0.28352707683583783,13.970403812390268,1.5736040609137056,2.2733351163412676,3.7538699690402475,1.2661870503597124
Adverb,1.1764705882352942,25.286783042394017,8.082257293161167,15.905869010490502,1.45472786556308,1.6751269035532996,5.937416421503076,11.242260061919506,1.0071942446043165
Conjunction,5.098039215686274,0,0,30.025517436915226,0,0,0,0,0
Determiner,0,0.8478802992518703,0,2.891976183725546,0.5768748432405317,5.025380710659898,1.7384327360256755,0,73.9568345323741
GrammarOther,0,0,0,0,0,10.025380710659897,2.032629045199251,7.527089783281733,0
Noun,13.594771241830063,28.97755610972569,57.532281205164985,9.951800396937907,74.24128417356408,2.8680203045685273,12.543460818400643,4.721362229102167,0.8345323741007195
Other,0.39215686274509803,2.743142144638404,0,0.396937907570173,0.7775269626285427,0,0.2407060711420166,0.05804953560371517,2.9928057553956835
Preposition,8.366013071895424,0,0,14.658349872412815,0.2257336343115124,71.7258883248731,7.515378443434074,0.21284829721362228,0
Pronoun,6.928104575163399,7.730673316708229,0,3.8843209526509783,0.2257336343115124,0,58.464830168494245,0.15479876160990713,19.07913669064748
Verb,61.69934640522875,22.493765586034907,2.4390243902439024,18.82619790189963,3.9879608728367195,6.802030456852791,0.34768654720513503,66.21517027863777,0.4028776978417266

Focus,60.13901389115851,37.61536891738525,62.09326074281566,32.82370207521089,76.62003436977905,69.62405398975174,61.77380630591279,68.50115988991345,73.7885000461912

