Class,CLASS2761,CLASS12479,CLASS12494,CLASS12501,CLASS12507,CLASS12510,CLASS12513,CLASS12520,CLASS12522,CLASS12524,CLASS12526,CLASS12527,CLASS12529,CLASS12531,CLASS12533,CLASS12534,CLASS12536,CLASS12537,CLASS12538,CLASS12539,CLASS12540,CLASS12541,CLASS12542,CLASS12543,CLASS12544
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.33479603914662,0,0,0,0,0,0,0,15.10503811117308,0,0.008532180540940246
CD,0,0,0,0,0,0,0,8.105995144632349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.957680384516936
DT,0,0,0,0,0,0,0,0.958729374974283,0,0,0,0,0,0,0,0,0,99.93869619058128,0,0,0,0.999911902035063,1.1216459069219804,0,1.3253320440260516
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9862098292934816,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0.008800492827598346,0,0,0,0,0,0,0,0,0,0,0,0.026974172230089688,0.005688120360626831
IN,99.98846431146359,0,74.51670609960182,0,0.011428571428571429,0,0.047122181083810166,11.422458132740813,0,68.83276618424829,0,0.01760098565519669,0.17196232461797006,0.031757793891917636,13.285602933110077,0,0,0,0,2.513344409487787,71.07644557308987,0.09030041406043521,26.343186465885854,0.06743543057522422,0.017064361081880492
JJ,0,25.248618784530386,0,3.1087908386662177,3.874285714285714,0,0.541905082463817,3.3164629881084635,20.607230840934815,0.8281743265958754,26.190476190476193,2.352665082577958,0.08988939695939345,8.24644048060128,0.09093796010277433,3.694627709707823,3.408055403681429,0.0049043047534973825,0.025159945366975776,6.369967125030931,0.014108067799342969,0.5770416703374152,0.1921051000805602,0.1449861757367321,2.6478200278717896
JJR,0,2.220994475138122,0,0,0,0,0,0.016458873390116445,0,0,0.015741833923652106,0.032268473701193935,0,0.19054676335150583,0,0.007540056550424128,0,0,0,0.014139771642687971,0,0.02202449123425249,0,0,0.005688120360626831
JJS,0,0.011049723756906077,0,0.006736274840013472,0.10857142857142858,0,0,0.5225692301361972,0,0,0.09445100354191263,0.1760098565519669,0.14069644741470277,0.20113269464881173,0,0.011310084825636191,0,0,0,0.12018805896284776,0,0.013214694740551494,0.7467311148292743,3.749409939982467,0.05972526378658173
MD,0,0,0,0,0,0,0,0,0,0,0,0.28748276570154596,0,0,0,0,0,0,0,0,0,0,0.731238768048584,56.362532874772405,0
NN,0,53.95580110497238,0,20.646682384641295,66.26857142857143,33.85024094896825,59.78795018512285,46.38933465004321,0.006658232904987016,4.727153458242794,29.586776859504134,6.3539558215260055,9.825301911126743,53.85063250939501,0.08949450041860331,71.59283694627709,12.192454893384364,0.0049043047534973825,14.305226080080512,3.559687511046697,0.6509865570268255,6.061139987666285,3.5787321063394684,13.94901881448513,7.6988709081084155
NNP,0.005767844268204759,0.9502762430939227,0.011541346875180334,62.22297069720445,0.13142857142857142,0,1.1982497475597442,0.5513722585689009,0,0.06969783936697962,33.84494293585203,0.7685763736102554,0.34783288388634853,9.675541205737574,0.3565345419902422,0.2865221489161169,0.7563331510843813,0.03555620946285602,0.5247645747969233,0.6115451235462547,0.07054033899671484,2.4755528147299795,8.158269814711533,0.0910378312765527,49.694263530616304
NNPS,0,0,0,0,0,0,0.555368562773477,0,0,0,0.16135379771743408,0,0,0.7516011221087175,0,0.015080113100848256,0,0,0,0,0,0.0044048982468504975,0.015492346780690338,0,0.056881203606268305
NNS,0.005767844268204759,4.911602209944752,0,8.619063657797238,28.137142857142855,0.030890893364636105,36.024907438572875,25.169732131835577,0,0.02049936451969989,5.029515938606847,0.40188917246032446,0.06643998905694298,24.098872598316838,0.011547677473368169,22.857681432610743,0.027337342810278838,0.0024521523767486912,0.8841923657537202,0.31460991904980734,0.004030876514097991,0.1717910316271694,0.052673979054347154,0,1.751941071073064
PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044048982468504975,0,0,15.986462273541708
PRP,0,0,0,0.7477265072414955,0,66.10651180032127,0,0,0,0,0,0,0,0,0,0,75.66368993378289,0,80.70951045934872,0.007069885821343986,0,0,0,0,0
PRP$,0,0,0,0.006736274840013472,0,0,0,0,72.37499167720887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,0,4.712707182320442,0,0.7679353317615358,0.32571428571428573,0,0.282733086502861,0.3168333127597416,0,8.667131318929114,2.3022432113341202,0.6395024788054797,0.26185172157736347,0.2381834541893823,6.228528537197956,0.0527803958529689,0.9355446206184315,0,3.5259866292861766,3.0930750468379937,0.014108067799342969,21.791031627169414,18.03619012207969,0.13824263267920966,1.3167998634851112
RBR,0,3.7955801104972373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
