Class,CLASS6433,CLASS12488,CLASS12491,CLASS12506,CLASS12512,CLASS12517,CLASS12518,CLASS12519,CLASS12523,CLASS12524,CLASS12527,CLASS12528,CLASS12529,CLASS12530,CLASS12531,CLASS12533,CLASS12534,CLASS12535,CLASS12537,CLASS12538,CLASS12539,CLASS12540,CLASS12541,CLASS12542,CLASS12544
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007067803797766573,0,57.745351800991884
CD,0,17.243929495870823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.721503211580864,0,0,0,0,0,0
DT,0,75.10168864784913,0,0,0,0,97.8959475950681,0,0,0,0,0,0,1.4108141702921069,0,0,0,0,0.5584315981209855,0,0,0,0,0,0.35762976428049237
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.415288390237612,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0.006898692697733779,0,0,0,0,0,0,0,0,0,0,0.006121824303642486,0,0.004711869198511049,0.02156633187503851,0
IN,99.9682832593276,0,74.52530732382986,0,0,0.016061676839062,0,3.009270263845971,0.017773038300897537,0.05863888793073713,99.57954350437618,0.3161979590859005,0.01433760275281973,0.012430080795525171,12.572582681141126,0.028109627547434998,0,0,0,0,0.04591368227731864,0,67.1888988361683,0.2526341733933083,17.615735709628343
JJ,0,4.19696782940959,0,0,24.582084243686804,0.40154192097654995,1.564012287666045,9.236985975754694,4.964009597440683,0.11382842951260735,0,0.4695060604608825,3.50315427260562,2.858918582970789,0.4418076243372886,29.744670883110796,1.4201625712417079,0,1.7208321349822646,20.607230840934815,0.09488827670645852,0.02516175413371675,0.014135607595533147,2.3907819335756977,0.13435814348659383
JJR,0,0,0,0,0.03048625577968599,0.032123353678124,0,1.9491323983836462,0.06753754554341064,0,0,0,0,0,0,0,0.009343174810800709,0,0.009586808551433228,0,0,0,0,0.027728140982192374,0
JJS,0,0,0,0,0.01016208525989533,0.010707784559374666,0,0.21392916567625386,0.1421843064071803,0.1379738539546756,0,0.019163512671872756,0.09080481743452494,0,0,0.018739751698289998,0.02802952443240213,0,0.25405042661298055,0,3.3853688399142947,0,0.037694953588088394,0.16020703678600037,0.24006638872972277
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1662075298439,0,0,0.30192864625053917,0.23315089605026573
NN,0,3.0506594354739307,0,55.51382123364047,56.958487881713324,5.948174322732626,0.004208104809863798,6.893273116234846,56.098818092952996,8.613017833120622,0.01716148961729878,2.5870742107028217,56.48537564519213,22.858918582970787,4.493814693259278,39.97189037245257,5.9656171166962535,0.09994519134668084,60.7324321733295,0,12.601775329048056,14.255930984902948,0.12015266456203175,4.827777435455049,1.1953923060204303
NNP,0.005766680122253618,0.01232589670898558,0,1.0857444685720994,0.9145876733905798,0.4550808437734232,0.05049725771836557,0.6798193487045401,16.073935839331735,0.20351143458314647,0.05148446885189634,0.3257797154218368,0.06690881284649207,59.80111870727159,0.016830766641420518,8.812368236120872,59.361861160422315,0.19666634426282362,0.3834723420573291,0.006658232904987016,0.06734006734006734,0.7476635514018692,10.992790840126277,1.2477663441986566,2.94501195392306
NNPS,0,0,0,0,0.01016208525989533,0,0,0,0.3554607660179508,0,0,0,0,0.006215040397762586,0,0.6886858749121574,0.06540222367560497,0,0.011983510689291535,0,0,0,0.009423738397022098,0,0.0049396376281835965
NNS,0.005766680122253618,0,0,0.02934444509654322,7.337025557644429,0.2623407217046793,0.014027016032879324,0.5134299976230092,17.863680796232114,0.05174019523300334,0,0.03832702534374551,37.87994647294972,4.58980733374767,0.05469999158461668,18.261888029983602,2.158273381294964,0.03224038430538092,29.860511935576646,0,0.006121824303642486,0.7692307692307693,0.044762757385854966,0.221825127857539,0.07409456442275394
PDT,0,0,0,0,0,0,0,0,0,0,0,0.009581756335936378,0,0,0,0,0,0,0,0,0,0,13.242708382415305,0,0
PRP,0,0,0,43.29479429543988,0,0,0,0,0,0,0,0,0,0.689869484151647,0,0,0.009343174810800709,91.02427700938195,0,0,0,80.71531272465852,0,0,0
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006215040397762586,0,0,0,0,0,72.37499167720887,0,0,0,0,0
RB,0,0.38210279797855295,0,0.0528200011737778,2.210253544027234,0.6906521040796659,0.41940777938309187,7.268837651533159,0.8548831422731715,0.1379738539546756,0,0.3641067407655823,0.5830625119480023,0.7022995649471722,8.305983337541024,0.65589130944015,13.902644118471457,0,0.14380212827149844,0,21.8304254667891,3.4867002156721782,0.11072892616500965,0.6100191016082321,10.019560965007607
RBR,0,0,0,0,3.4906762867740464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0.2417133208922065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009322560596643879,16.893882016325843,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.144660439283015,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023357937027001775,0,0,0,0,0,0,0,0.03852917349983205
VB,0,0,0,0.02347555607723458,0.015243127889842995,83.12453153442553,0.009818911223015528,1.9158545281673403,0.18661690215942417,0.2759477079093512,0,84.32424663440808,0.1003632192697381,5.24238657551274,0,0.1639728273600375,1.289358123890498,0,0.1653724475122232,0,0.3581267217630854,0,0.3416105168920511,6.6547538357261695,2.116140759913853
VBD,0,0,0,0,3.129922260047762,6.365777920548238,0.009818911223015528,17.556453529831234,0.053319114902692616,33.4724569694043,0,6.5012216739328315,0.043012808258459184,0.27656929770043504,0.05469999158461668,0.06090419301944249,6.974679996262729,1.2122384498823227,0.18933946889080627,0,4.43220079583716,0,5.8309381331574235,62.542362437611686,0.006915492679457035
VBG,0.020183380427887667,0.01232589670898558,0,0,1.1483156343681724,0.6531748581218546,0.032262136875622446,0.8557166627050155,1.4111792410912645,0.15177123935014317,0.3432297923459756,0.2730800555741868,0.12903842477537755,0.9726538222498446,0.008415383320710259,0.4263293511360975,7.516584135289171,0.006448076861076183,0.6447128750838846,0,0.024487297214569943,0,1.0531027658672194,5.0434407542054345,0.482108632510719
