Class,CLASS12462,CLASS12539,CLASS12545,CLASS12548,CLASS12552,CLASS12553,CLASS12555,CLASS12556,CLASS12558,CLASS12559
CC,92.1499828001376,1.726404174759186,0,6.934439603547933,0,0,0,0,0,0.0034133576060985326
CD,0,0,0,0,0,0,0,1.913327246945475,0,3.1835248606212314
DT,0,0,0,0.62835222440159,0,0.5445081436350117,73.92708023338655,0.2262970804762922,0,0
EX,0,4.512192729484236,0,0,0,0,0,0,0,0
FW,0,0,0,0.0034715592508375135,0.008098258874342016,0.003598071433711531,0,0,0,0.0022755717373990217
IN,0.030959752321981428,0,0,45.22053080140945,0.05803752193278445,0.935498572764998,0,2.7116800372953125,80.67412552804143,0
JJ,0.09287925696594426,0.05689286485001864,20.15614236509759,0.30723299369911994,0.11877446349034958,3.6268560051812226,6.324342360378396,2.383403585788932,0.09102638881524294,1.9820229832745477
JJR,0,0,0.6965174129353234,0,0,0.004797428578282041,0,0.009712321050484645,0,0.006826715212197065
JJS,0,0,0.17604286261002677,0.42179444897675794,1.5643136725603997,0.05517042865024347,0,0.13694372681183348,0,0.023893503242689726
MD,0,0,0,0.40964399159882664,22.69402078553111,0,0,0,0,0
NN,0,18.635355972769897,40.71029468044393,2.298172224054434,9.15238223781887,6.624049509462927,0.0036072108144180218,60.407723237699344,0.9473814447567033,13.281374445329389
NNP,0.20811833505331956,0.6022796382398524,16.35514734022197,6.002325944698061,0.16466459711162099,1.3756626448223752,0.0072144216288360435,4.78817427788893,0.05656008625413154,35.64683126635567
NNPS,0,0,0.4087256027554535,0.006943118501675027,0.004049129437171008,0.0023987142891410203,0,0.08255472892911948,0,0.020480145636591195
NNS,0.005159958720330237,0.01177093755517627,15.438193647148871,0.14580548853517558,0.06883520043190713,0.41617692916596705,0.0018036054072090109,24.842174782929625,0.01502377291125369,2.4416884742291503
PDT,0,0,0,0.0034715592508375135,0,0,0,0,0,6.39549436795995
PRP,0,69.86051438997116,0,0,0,0,0,0,0,25.803845716236207
PRP$,0,0,0,0,0,0,17.805192579967354,0,0,2.2732961656616224
RB,7.475060199518404,0.005885468777588135,2.219670876387294,14.481609414868688,9.767849912268863,2.3519393605027705,0,0.27388745362366695,1.737455149619103,1.6600295824325861
RBR,0,0,1.0516647531572905,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0.13208756628659116,0,0
RP,0,0,0,0,0,0,0,0,3.548261661099033,0.0034133576060985326
TO,0,0,0,0,0,0,0,0,12.002227053396258,0
UH,0,0,0,0.0763743035184253,0,0,0,0,0,0
VB,0.013759889920880633,0.007847291703450845,0.2127822426329889,3.7215115168978143,9.811040626265353,36.32133176617333,0.006312618925231538,0.05536022998776247,0.12019018329002952,0.37888269427693705
VBD,0.0034399724802201583,0.7376454201243796,0.18828932261768083,0.024300914755862598,19.576191118909435,27.03710811005301,0.004509013518022528,0.7255103824712029,0.04153631334287785,5.1621344862896805
VBG,0,0.003923645851725423,0.9445082280903176,3.0723299369911996,1.2511809960858415,0.9822735014032479,0.01803605407209011,0.817777432450807,0.7609099103876134,0.6485379451587212
VBN,0,0,1.4205893608878684,0.012150457377931299,0.1012282359292752,15.601237736573198,0,0.39820516306987047,0,0.4471498463989077
VBP,0.02063983488132095,0,0.0030616150019135095,0.03818715175921265,12.13254150357673,2.595408860850584,0.002705408110813516,0.006798624735339251,0.0017675026954416106,0.052338149960177494
VBZ,0,0.003923645851725423,0.015308075009567547,0.0763743035184253,13.277095424483736,1.5195855021708364,0,0.0844971931392164,0.003535005390883221,0.5791330071680509
WDT,0,0,0,7.661731266598393,0,0,0,0,0,0
WP,0,3.8353638200616014,0,1.3261356338199302,0,0,0,0,0,0
WP$,0,0,0,0,0,0,0.2840678516354192,0,0,0
WRB,0,0,0,7.123639582718579,0,0,0,0,0,0

Adjective,0.09287925696594426,0.05689286485001864,21.02870264064294,0.7290274426758778,1.6830881360507493,3.6868238624097485,6.324342360378396,2.53005963365125,0.09102638881524294,2.0127432017294344
Adverb,7.475060199518404,0.005885468777588135,3.2713356295445846,21.605248997587267,9.767849912268863,2.3519393605027705,0,0.4059750199102581,1.737455149619103,1.6600295824325861
Conjunction,92.1499828001376,1.726404174759186,0,6.934439603547933,0,0,0,0,0,0.0034133576060985326
Determiner,0,0,0,8.290083490999983,0,0.5445081436350117,73.92708023338655,0.2262970804762922,0,0
GrammarOther,0,4.512192729484236,0,0.41311555084966417,22.69402078553111,0,0,0,3.548261661099033,6.3989077255660485
Noun,0.2132782937736498,19.249406548564927,72.91236127057022,8.453246775789347,9.389931164799568,8.41828779774041,0.012625237850463076,90.12062702744703,1.0189653039220885,51.3903743315508
Other,0,0,0,0.07984586276926281,0.008098258874342016,0.003598071433711531,0,1.913327246945475,0,3.1858004323586306
Preposition,0.030959752321981428,0,0,45.22053080140945,0.05803752193278445,0.935498572764998,0,2.7116800372953125,92.67635258143768,0
Pronoun,0,73.69587821003276,0,1.3261356338199302,0,0,18.089260431602774,0,0,28.07714188189783
Verb,0.037839697282421744,0.7533400035312814,2.784538844240337,6.9448542813004455,56.14927790525037,84.0569454772242,0.031563094626157695,2.0881490258541984,0.9279389151068456,7.268176129252475
