Class,CLASS3477,CLASS3488,CLASS3490,CLASS3492,CLASS3493,CLASS3494,CLASS3495,CLASS3496,CLASS3497,CLASS3499
$,0,0,0,0,0,0,0,0,0,0.08365867261572783
CC,0,0,0,0,36.47990255785628,0,6.784335355763928,0,0,0
CD,0,0,0,2.168021680216802,0,0.423728813559322,0,1.653398652786283,0,0
DT,90.06849315068493,0,0.6329113924050633,2.5551684088269457,2.496954933008526,0.24213075060532688,0.6618863761720905,2.9393753827311695,2.0823004462072388,0.3067484662576687
EX,0,0,0,0,0,0,0,1.224739742804654,0,0
FW,0,0,0,0,0,0,0,0,0,0.11154489682097045
IN,0.3424657534246575,0.47043010752688175,4.351265822784811,0.6194347657762291,0.5481120584652862,0,17.04357418643133,1.8983466013472137,83.19286068418444,0.2230897936419409
JJ,1.1643835616438356,10.954301075268818,7.9113924050632916,14.94386372435153,20.34104750304507,24.818401937046005,1.8201875344732488,10.471524800979793,3.2226078334159642,12.130507529280536
JJR,0,0.47043010752688175,0.4746835443037975,0.19357336430507163,0.3045066991473812,0.423728813559322,0.11031439602868175,0.2449479485609308,0.09915716410510658,0.33463469046291133
JJS,0,0.4032258064516129,0,1.2775842044134729,0,0.9079903147699757,0,0,0,0.16731734523145567
MD,0,0.5376344086021506,0,0.27100271002710025,0,0,4.467733039161611,0.1224739742804654,0,0
NN,0.684931506849315,12.768817204301076,13.370253164556962,45.18002322880372,22.228989037758833,34.624697336561745,3.861003861003861,25.04592774035517,4.412493802677243,35.80591187953151
NNP,0.547945205479452,6.989247311827956,4.825949367088608,6.233062330623306,3.5322777101096223,19.188861985472155,4.743519029233315,16.77893447642376,2.4293505205751114,9.648633575013942
NNPS,0,0,0,0.15485869144405728,0,0.24213075060532688,0,0,0.09915716410510658,0.055772448410485224
NNS,0.4794520547945206,10.28225806451613,9.335443037974683,16.066589237320944,2.6187576126674785,11.198547215496369,1.3789299503585217,21.98407838334354,0.39662865642042633,26.742889012827664
PDT,0,0,0,0.15485869144405728,0,0,0,0,0,0
PRP,0,0.4032258064516129,1.4240506329113924,0,0,0,0,5.20514390691978,0,0.2509760178471835
PRP$,5.9589041095890405,0,0,0,0.6090133982947624,0,0,0.3061849357011635,0,0
RB,0.4794520547945206,4.166666666666666,17.405063291139243,2.748741773132017,2.192448233861145,1.2106537530266344,1.8201875344732488,4.3478260869565215,0.2974714923153198,2.7607361963190185
RBR,0,0,0,0.9291521486643438,0,0,0,0,0,0
RP,0,0,0,0.38714672861014326,0,0,0,0,0,0.3067484662576687
TO,0,0,0,0,0,0,15.88527302813017,0,0,0
VB,0.136986301369863,15.725806451612904,2.1360759493670884,0.15485869144405728,0,0.9685230024213075,0.9928295642581356,0.2449479485609308,0.5949429846306395,1.6174010039040714
VBD,0,1.14247311827957,1.661392405063291,0.5807200929152149,0.9744214372716199,0.6053268765133172,6.2879205736348585,0.5511328842620943,0.2478929102627665,0.8923591745677636
VBG,0.136986301369863,2.1505376344086025,3.5601265822784813,1.780874951606659,3.0450669914738127,0.7263922518159807,2.4820739106453393,1.9595835884874464,1.2890431333663859,1.2827663134411602
VBN,0,8.266129032258064,26.186708860759495,1.316298877274487,3.1668696711327646,1.2711864406779663,1.5444015444015444,1.1635027556644213,0.19831432821021316,2.3703290574456215
VBP,0,5.174731182795699,2.6107594936708862,0.5807200929152149,0.12180267965895249,0.12106537530266344,12.410369553226698,0.4286589099816289,0.5453644025780863,0.7529280535415505
VBZ,0,4.637096774193548,1.5822784810126582,0.9291521486643438,0.3045066991473812,0.5447941888619854,16.49200220628792,0.7348438456827924,0.5949429846306395,1.3664249860568878
WDT,0,14.180107526881722,0,0,0,0,0,0,0,0
WP,0,0,0.4746835443037975,0,0,0,0,0.612369871402327,0,0
WP$,0,0,0,0,0,0.12106537530266344,0,0,0,0
WRB,0,0.8064516129032258,1.2658227848101267,0.07742934572202864,0,0,0.5515719801434087,0,0,0

Adjective,1.1643835616438356,11.827956989247312,8.38607594936709,16.415021293070076,20.64555420219245,26.150121065375302,1.9305019305019304,10.716472749540724,3.321764997521071,12.632459564974903
Adverb,0.4794520547945206,4.973118279569892,18.67088607594937,3.7553232675183894,2.192448233861145,1.2106537530266344,2.3717595146166577,4.3478260869565215,0.2974714923153198,2.7607361963190185
Conjunction,0,0,0,0,36.47990255785628,0,6.784335355763928,0,0,0
Determiner,90.06849315068493,14.180107526881722,0.6329113924050633,2.5551684088269457,2.496954933008526,0.24213075060532688,0.6618863761720905,2.9393753827311695,2.0823004462072388,0.3067484662576687
GrammarOther,0,0.5376344086021506,0,0.8130081300813008,0,0,4.467733039161611,1.3472137170851195,0,0.3067484662576687
Noun,1.7123287671232879,30.04032258064516,27.531645569620252,67.63453348819202,28.380024360535934,65.25423728813558,9.983452840595698,63.80894060012247,7.337630143777887,72.25320691578361
Other,0,0,0,2.168021680216802,0,0.423728813559322,0,1.653398652786283,0,0.19520356943669828
Preposition,0.3424657534246575,0.47043010752688175,4.351265822784811,0.6194347657762291,0.5481120584652862,0,32.9288472145615,1.8983466013472137,83.19286068418444,0.2230897936419409
Pronoun,5.9589041095890405,0.4032258064516129,1.89873417721519,0,0.6090133982947624,0.12106537530266344,0,6.123698714023271,0,0.2509760178471835
Verb,0.273972602739726,37.096774193548384,37.7373417721519,5.342624854819977,7.612667478684531,4.237288135593221,40.209597352454495,5.082669932639314,3.4705007436787305,8.282208588957054
