Class,CLASS3482,CLASS3489,CLASS3490,CLASS3492,CLASS3494,CLASS3495,CLASS3498,CLASS3499,CLASS3500
$,0,0,0,0,0.1405152224824356,0,0,0,0
CC,0,0,0,0,0,0,0,0,15.503543053467897
CD,0,2.0285499624342602,0,0,0.8899297423887589,1.717408274785324,0,0,0
DT,84.62033462033463,3.7565740045078884,0,0,4.402810304449649,2.966432474629196,0,0,0.2576766158471119
EX,0,1.5026296018031555,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0.20736132711249353,0,0
IN,0,2.404207362885049,0.5477308294209703,1.5160349854227406,0.468384074941452,0.39032006245121,1.2960082944530846,0,43.11788705175005
JJ,4.633204633204633,4.808414725770098,17.52738654147105,10.612244897959183,20.0,16.510538641686182,3.784344219803007,29.994941831057158,1.2024908739531888
JJR,0,0,0.7824726134585289,0.2915451895043732,0.7494145199063231,0.351288056206089,0,0.25290844714213456,0.1073652566029633
JJS,0,0,0.1564945226917058,0.23323615160349853,0,1.56128024980484,0,0.7081436519979768,0
MD,0,0,2.190923317683881,0,0,0.195160031225605,0,0,1.3957483358385225
NN,1.9948519948519947,20.135236664162285,11.189358372456965,37.201166180758015,31.147540983606557,43.01327088212334,37.16951788491446,33.38391502276176,2.168778183379858
NNP,1.1583011583011582,16.829451540195343,3.3646322378716746,11.83673469387755,8.711943793911008,6.5183450429352074,11.508553654743391,13.201820940819422,3.006227184882972
NNPS,0,0.15026296018031557,0.3129890453834116,0.23323615160349853,0,0,0.10368066355624676,0,0
NNS,0.2574002574002574,7.513148009015777,7.511737089201878,17.784256559766764,14.988290398126464,18.071818891491024,34.473820632452046,13.707637835103693,1.0307064633884475
PDT,0,0.30052592036063114,0,0,0,0,0,0,0
PRP,0,6.3861758076634105,0.3129890453834116,1.0495626822157436,0.4215456674473068,0,0,0,0.04294610264118531
PRP$,5.598455598455598,0.30052592036063114,0,0,0.37470725995316156,0,0,0,0.06441915396177797
RB,0,4.583020285499624,15.805946791862285,3.7900874635568513,3.4192037470725993,2.498048399687744,2.9548989113530326,2.326757713707638,1.2239639252737813
RBR,0,0,0,0,1.1241217798594847,0,0,0,0
RP,0,0,0.3129890453834116,0,0,0.468384074941452,0.2592016588906169,0,0
TO,0,0,0,0,0,0,0,0,6.184238780330685
VB,0,0.6010518407212623,2.8169014084507045,0.9329446064139941,1.1241217798594847,0.624512099921936,0.8294453084499741,0.30349013657056145,5.432681984109942
VBD,0.1287001287001287,0.7513148009015778,2.895148669796557,1.2244897959183674,2.0140515222482436,0.312256049960968,0.20736132711249353,0.3540718259989884,2.297616491303414
VBG,0.8365508365508365,1.8031555221637865,2.5821596244131455,2.39067055393586,3.4192037470725993,0.819672131147541,1.0368066355624677,1.7703591299949417,1.6319519003650418
VBN,0.5148005148005148,3.831705484598046,25.508607198748045,7.055393586005831,3.185011709601874,1.366120218579235,2.021772939346812,0.4046535154274153,0.8803951041442989
VBP,0.1287001287001287,0,1.4084507042253522,0.8163265306122449,0.6088992974238876,0.6635441061670571,0.6220839813374806,0.30349013657056145,6.8069572686278725
VBZ,0,1.5777610818933134,1.643192488262911,1.0495626822157436,1.6861826697892273,0.78064012490242,1.244167962674961,1.3657056145675266,7.129053038436761
WDT,0,15.852742299023289,0,0,0,0,0,0,0
WP,0,0,0,0,0.468384074941452,0.234192037470726,0,0,0
WP$,0,0,0,0,0,0,0,0.10116337885685382,0
WRB,0,1.2021036814425246,0.9389671361502347,0,0,0,0.10368066355624676,0,0.2147305132059266

Adjective,4.633204633204633,4.808414725770098,18.466353677621285,11.137026239067055,20.749414519906324,18.423106947697114,3.784344219803007,30.95599393019727,1.309856130556152
Adverb,0,5.785123966942149,16.74491392801252,3.7900874635568513,4.543325526932084,2.498048399687744,3.0585795749092792,2.326757713707638,1.4386944384797078
Conjunction,0,2.404207362885049,0.5477308294209703,1.5160349854227406,0.468384074941452,0.39032006245121,1.2960082944530846,0,58.621430105217954
Determiner,84.62033462033463,19.609316303531177,0,0,4.402810304449649,2.966432474629196,0,0,0.2576766158471119
GrammarOther,0,1.8031555221637867,2.503912363067293,0,0,0.6635441061670571,0.2592016588906169,0,7.579987116169208
Noun,3.41055341055341,44.62809917355372,22.37871674491393,67.05539358600583,54.84777517564403,67.60343481654957,83.25557283566614,60.29337379868488,6.2057118316512785
Other,0,2.0285499624342602,0,0,1.0304449648711944,1.717408274785324,0.20736132711249353,0,0
Pronoun,5.598455598455598,6.686701728024041,0.3129890453834116,1.0495626822157436,1.2646370023419204,0.234192037470726,0,0.10116337885685382,0.10736525660296328
Verb,1.6087516087516085,8.564988730277987,36.85446009389671,13.46938775510204,12.037470725995316,4.566744730679157,5.961638154484189,4.501770359129995,24.17865578698733
